gene_id,gene_name
ENSG00000281376.1,ABALON
ENSG00000189149.12,ABCA15P
ENSG00000197150.13,ABCB8
ENSG00000114770.17,ABCC5
ENSG00000033050.9,ABCF2
ENSG00000285292.1,ABCF2-H2BK1
ENSG00000106077.19,ABHD11
ENSG00000100997.20,ABHD12
ENSG00000168792.5,ABHD15
ENSG00000127220.6,ABHD8
ENSG00000136754.18,ABI1
ENSG00000166016.6,ABTB2
ENSG00000060971.19,ACAA1
ENSG00000072778.20,ACADVL
ENSG00000114331.16,ACAP2
ENSG00000120437.9,ACAT2
ENSG00000144648.16,ACKR2
ENSG00000131473.17,ACLY
ENSG00000161533.12,ACOX1
ENSG00000204581.3,ACOXL-AS1
ENSG00000223548.1,ACSL6-AS1
ENSG00000154930.15,ACSS1
ENSG00000131069.20,ACSS2
ENSG00000288649.2,ACTL10
ENSG00000136518.17,ACTL6A
ENSG00000138107.13,ACTR1A
ENSG00000243989.9,ACY1
ENSG00000132744.8,ACY3
ENSG00000137845.15,ADAM10
ENSG00000151651.16,ADAM8
ENSG00000158859.10,ADAMTS4
ENSG00000203804.5,ADAMTSL4-AS1
ENSG00000213638.6,ADAT3
ENSG00000173137.12,ADCK5
ENSG00000235102.1,ADI1P1
ENSG00000182035.13,ADIG
ENSG00000259456.4,ADNP-AS1
ENSG00000236136.1,ADORA2BP1
ENSG00000169252.6,ADRB2
ENSG00000181026.15,AEN
ENSG00000196526.11,AFAP1
ENSG00000130396.22,AFDN
ENSG00000141385.12,AFG3L2
ENSG00000231636.1,AGBL5-AS1
ENSG00000106351.13,AGFG2
ENSG00000204310.13,AGPAT1
ENSG00000158467.17,AHCYL2
ENSG00000124942.14,AHNAK
ENSG00000170776.22,AKAP13
ENSG00000011243.19,AKAP8L
ENSG00000122787.15,AKR1D1
ENSG00000148218.16,ALAD
ENSG00000072210.19,ALDH3A2
ENSG00000171094.18,ALK
ENSG00000239382.11,ALKBH6
ENSG00000125652.8,ALKBH7
ENSG00000161905.13,ALOX15
ENSG00000179148.10,ALOXE3
ENSG00000181754.7,AMIGO1
ENSG00000167772.12,ANGPTL4
ENSG00000185722.18,ANKFY1
ENSG00000131503.21,ANKHD1
ENSG00000249637.4,ANKHD1-DT
ENSG00000254996.5,ANKHD1-EIF4EBP3
ENSG00000186106.11,ANKRD46
ENSG00000143401.15,ANP32E
ENSG00000274209.6,ANTXRL
ENSG00000230539.1,AOAH-IT1
ENSG00000131471.7,AOC3
ENSG00000196961.13,AP2A1
ENSG00000161203.14,AP2M1
ENSG00000042753.12,AP2S1
ENSG00000132842.15,AP3B1
ENSG00000166181.13,API5
ENSG00000169621.11,APLF
ENSG00000118137.10,APOA1
ENSG00000110243.12,APOA5
ENSG00000291128.1,APOC1P1
ENSG00000221963.6,APOL6
ENSG00000274823.1,APONP
ENSG00000214293.11,APTR
ENSG00000161798.7,AQP5
ENSG00000245148.2,ARAP1-AS2
ENSG00000213390.11,ARHGAP19
ENSG00000269891.2,ARHGAP19-SLIT1
ENSG00000186517.14,ARHGAP30
ENSG00000160007.20,ARHGAP35
ENSG00000147799.12,ARHGAP39
ENSG00000110237.5,ARHGEF17
ENSG00000224276.1,ARHGEF2-AS1
ENSG00000214087.9,ARL16
ENSG00000162980.17,ARL5A
ENSG00000198520.12,ARMH1
ENSG00000143437.21,ARNT
ENSG00000141480.18,ARRB2
ENSG00000140450.9,ARRDC4
ENSG00000153317.15,ASAP1
ENSG00000065802.12,ASB1
ENSG00000146926.11,ASB10
ENSG00000161664.7,ASB16
ENSG00000128203.7,ASPHD2
ENSG00000143970.18,ASXL2
ENSG00000156802.13,ATAD2
ENSG00000267281.3,ATF7-NPFF
ENSG00000085978.22,ATG16L1
ENSG00000110046.13,ATG2A
ENSG00000181652.20,ATG9B
ENSG00000105726.17,ATP13A1
ENSG00000159363.19,ATP13A2
ENSG00000124172.10,ATP5F1E
ENSG00000249256.2,ATP5MGP3
ENSG00000267376.1,ATP5MGP6
ENSG00000105929.16,ATP6V0A4
ENSG00000230201.5,ATP6V0CP1
ENSG00000159720.13,ATP6V0D1
ENSG00000270049.4,ATP6V0D1-DT
ENSG00000113732.9,ATP6V0E1
ENSG00000204934.10,ATP6V0E2-AS1
ENSG00000155097.12,ATP6V1C1
ENSG00000128524.5,ATP6V1F
ENSG00000136888.8,ATP6V1G1
ENSG00000130270.16,ATP8B3
ENSG00000054793.14,ATP9A
ENSG00000115307.17,AUP1
ENSG00000126895.16,AVPR2
ENSG00000103126.15,AXIN1
ENSG00000160862.13,AZGP1
ENSG00000235863.4,B3GALT4
ENSG00000176597.12,B3GNT5
ENSG00000117411.18,B4GALT2
ENSG00000108641.20,B9D1
ENSG00000236939.4,BAALC-AS2
ENSG00000186318.18,BACE1
ENSG00000140320.12,BAHD1
ENSG00000030110.14,BAK1
