Category,All_Genes,All_Genes_Pct,Regulatory_Genes,Regulatory_Genes_Pct,Fold_Enrichment
Upregulated,2121,5.631222620469932,508,9.945184025058731,1.766079001903994
Downregulated,969,2.5726802070888093,209,4.091620986687549,1.5904118107697267
