ensembl_id,gene_symbol,log2FoldChange,padj
ENSG00000142619,PADI3,6.37039214520852,2.79962680923549e-227
ENSG00000198910,L1CAM,4.9624335506547,4.6063243718650905e-205
ENSG00000117115,PADI2,5.41911899169539,2.4511228806220302e-197
ENSG00000125730,C3,7.40116025935837,9.0107553432513e-192
ENSG00000121904,CSMD2,4.42274808994446,1.19893830303708e-181
ENSG00000128510,CPA4,4.8560763398608,1.5115489036956199e-176
ENSG00000001617,SEMA3F,6.45082375102075,1.24235219475842e-150
ENSG00000106484,MEST,4.4856488686436,5.1167175967492e-148
ENSG00000172061,LRRC15,7.53927564754199,6.67553339659319e-148
ENSG00000173432,SAA1,9.73840951393646,4.59700324606213e-140
ENSG00000240583,AQP1,3.80488443680327,4.08827976585836e-127
ENSG00000182492,BGN,5.82786787211483,1.96387656770976e-126
ENSG00000163395,IGFN1,9.10584976618843,5.4617846262372e-123
ENSG00000133048,CHI3L1,7.4917367310569,9.992702719015799e-123
ENSG00000141750,STAC2,5.82128863433068,2.05429998342703e-114
ENSG00000189120,SP6,7.43108282064946,1.35967328571076e-106
ENSG00000064300,NGFR,5.61813307809602,1.35967328571076e-106
ENSG00000104415,WISP1,6.22370419556317,3.46341007778084e-106
ENSG00000095303,PTGS1,6.71222447725801,1.83096531391306e-105
ENSG00000198074,AKR1B10,4.75796556795603,8.1401805325554e-105
ENSG00000156510,HKDC1,3.92807000804584,4.62642448762853e-104
ENSG00000155066,PROM2,6.5966033015552,2.1004443483404798e-103
ENSG00000011347,SYT7,5.63872290328089,5.34386145852612e-102
ENSG00000131094,C1QL1,2.98688498692894,9.861124856858631e-98
ENSG00000141524,TMC6,3.81100605925471,8.507664137044361e-95
ENSG00000168528,SERINC2,4.4852125315999,3.0802388142065797e-94
ENSG00000135636,DYSF,5.33915097606465,8.5457004700142e-93
ENSG00000100302,RASD2,4.8461385164472,6.20072587031195e-91
ENSG00000133067,LGR6,9.44829749458613,3.7504388360108e-90
ENSG00000188064,WNT7B,4.47884502334291,3.97372095657229e-90
ENSG00000157087,ATP2B2,4.92365835070003,1.4276005947576699e-83
ENSG00000138944,SHISAL1,4.20856000820938,9.7220613253599e-83
ENSG00000170421,KRT8,3.30155065865864,9.10654750170708e-81
ENSG00000095383,TBC1D2,3.20796076764768,1.36644856061571e-80
ENSG00000142910,TINAGL1,4.5268022134883,5.3736367326905695e-79
ENSG00000166592,RRAD,6.50601535299116,1.43001142721643e-78
ENSG00000157570,TSPAN18,6.4380311616939,8.13173160930834e-77
ENSG00000116396,KCNC4,3.67571488822187,6.94669878467839e-75
ENSG00000188613,NANOS1,3.73089053791457,1.8480223236716902e-73
ENSG00000106789,CORO2A,2.97544431065461,6.4056556668187e-73
ENSG00000166448,TMEM130,5.01876507931955,7.126157965989e-73
ENSG00000163520,FBLN2,4.62365767885123,1.40956278767504e-72
ENSG00000146700,SSC4D,4.41584965616167,1.75538451870752e-72
ENSG00000141753,IGFBP4,3.93626789009797,7.180265431127879e-72
ENSG00000101187,SLCO4A1,3.54322778763325,9.52113100039046e-72
ENSG00000100985,MMP9,8.15544071631241,6.93179731224629e-71
ENSG00000100234,TIMP3,2.604330471447,4.29805629008903e-70
ENSG00000137699,TRIM29,9.09175899800804,1.1659159381235199e-69
ENSG00000130707,ASS1,3.21419786606548,1.46518007897908e-69
ENSG00000146072,TNFRSF21,2.86639370429625,3.3953629298890497e-69
ENSG00000137809,ITGA11,2.96489567063941,3.03930485599551e-68
ENSG00000130762,ARHGEF16,3.41355926954503,9.60524773175695e-68
ENSG00000141540,TTYH2,4.84388124147193,1.36432790863914e-66
ENSG00000151651,ADAM8,4.22863361005656,1.7584587895548e-66
ENSG00000137486,ARRB1,3.274781869874,4.05300318475303e-66
ENSG00000221955,SLC12A8,2.99925835875913,5.26442508683686e-66
ENSG00000167680,SEMA6B,3.02256269164407,8.82869546431342e-66
ENSG00000123689,G0S2,6.06724400127085,5.34834297127225e-64
ENSG00000161381,PLXDC1,5.00833773845989,8.85547031642323e-64
ENSG00000085117,CD82,2.87914202389699,2.20651446427884e-63
ENSG00000162591,MEGF6,3.12934181805514,4.52243343168163e-63
ENSG00000265190,ANXA8,10.528778881649,1.14663301374952e-62
ENSG00000197249,SERPINA1,4.1266706387614,2.46030299122535e-62
ENSG00000079308,TNS1,3.87782902736592,4.32958229855992e-62
ENSG00000186832,KRT16,3.479391040759,1.1706390675379802e-61
ENSG00000171631,P2RY6,3.32262301662997,2.38649628250757e-61
ENSG00000107954,NEURL1,4.49227733573215,2.7246446613064702e-61
ENSG00000075275,CELSR1,3.07243329196755,1.55418458294664e-60
ENSG00000158270,COLEC12,5.01091541081277,1.77865115891555e-60
ENSG00000086570,FAT2,4.07240610802113,1.94971554010822e-60
ENSG00000171303,KCNK3,4.76037578761197,1.9830804999918302e-60
ENSG00000028137,TNFRSF1B,4.55050525072298,7.99203937402272e-59
ENSG00000107731,UNC5B,2.38250201703976,2.5747615613621997e-58
ENSG00000116661,FBXO2,5.38731099503603,3.54254673937632e-57
ENSG00000233901,LINC01503,2.90690785005605,4.46761617894848e-57
ENSG00000115596,WNT6,6.45862889603893,5.6838176010202e-57
ENSG00000117266,CDK18,3.09975854938164,1.0178832348913999e-56
ENSG00000060656,PTPRU,2.51275744943841,3.5724168316410396e-56
ENSG00000182022,CHST15,3.1030604448755,4.0777591040318e-56
