Sample	picard_insertsizemetrics-summed_median	picard_insertsizemetrics-summed_mean	picard_mark_duplicates-PERCENT_DUPLICATION	samtools_flagstat-flagstat_total	samtools_flagstat-mapped_passed	samtools_flagstat-mapped_passed_pct	fastqc-percent_duplicates	fastqc-percent_gc	fastqc-avg_sequence_length	fastqc-median_sequence_length	fastqc-percent_fails	fastqc-total_sequences
GFP_1	208	240.806697	55.1785									
GFP_1_R1_001							51.567427975661666	53.0	150.0	150	36.36363636363637	85.886392
GFP_1_R1_paired							49.16458248679682	52.0	141.38110114051375	150	27.27272727272727	85.132423
GFP_1_R2_001							60.844329874212235	53.0	150.0	150	36.36363636363637	85.886392
GFP_1_R2_paired							59.371453688792535	53.0	148.98848325977988	150	36.36363636363637	85.132423
GFP_1_flagstat				126.654832	126.654832	100.0						
GFP_1_prededup_flagstat				126.654832	126.654832	100.0						
GFP_1_prefilter_flagstat				170.264846	146.268014	85.91						
GFP_2	205	227.644179	78.6239									
GFP_2_R1_001							66.94296577161879	48.0	150.0	150	36.36363636363637	90.868183
GFP_2_R1_paired							64.36788495356225	47.0	144.67624647694797	150	36.36363636363637	90.00754099999999
GFP_2_R2_001							78.02569737874629	48.0	150.0	150	36.36363636363637	90.868183
GFP_2_R2_paired							76.68974358031201	48.0	149.37951687848022	150	36.36363636363637	90.00754099999999
GFP_2_flagstat				145.099854	145.099854	100.0						
GFP_2_prededup_flagstat				145.099854	145.099854	100.0						
GFP_2_prefilter_flagstat				180.01508199999998	162.111448	90.05						
GFP_3	204	227.352973	48.3857									
GFP_3_R1_001							51.73709484793831	54.0	150.0	150	36.36363636363637	76.072069
GFP_3_R1_paired							49.137884650349626	52.0	139.24818469341156	150	27.27272727272727	75.30022799999999
GFP_3_R2_001							57.1393655776717	53.0	150.0	150	36.36363636363637	76.072069
GFP_3_R2_paired							55.47243902370626	53.0	148.77972694850274	150	36.36363636363637	75.30022799999999
GFP_3_flagstat				102.161808	102.161808	100.0						
GFP_3_prededup_flagstat				102.161808	102.161808	100.0						
GFP_3_prefilter_flagstat				150.60045599999998	119.825998	79.57						
YAF_1	213	241.908527	82.4306									
YAF_1_R1_001							71.70919831468211	45.0	150.0	150	36.36363636363637	90.582312
YAF_1_R1_paired							69.24709302632056	44.0	142.68794446978404	150	36.36363636363637	89.688324
YAF_1_R2_001							84.01134454950096	45.0	150.0	150	36.36363636363637	90.582312
YAF_1_R2_paired							82.66362768930001	45.0	149.33984487768998	150	36.36363636363637	89.688324
YAF_1_flagstat				120.116812	120.116812	100.0						
YAF_1_prededup_flagstat				120.116812	120.116812	100.0						
YAF_1_prefilter_flagstat				179.376648	138.25923	77.08						
YAF_2	202	219.074219	34.3142									
YAF_2_R1_001							44.40474196053825	55.0	150.0	150	36.36363636363637	132.932421
YAF_2_R1_paired							41.943605807407444	51.0	127.58856936113483	127	36.36363636363637	131.961898
YAF_2_R2_001							47.68392585103032	54.0	150.0	150	36.36363636363637	132.932421
YAF_2_R2_paired							46.15349897025756	54.0	148.9532389455326	150	36.36363636363637	131.961898
YAF_2_flagstat				146.442376	146.442376	100.0						
YAF_2_prededup_flagstat				146.442376	146.442376	100.0						
YAF_2_prefilter_flagstat				263.923796	198.94672	75.38						
YAF_3	204	221.57212500000003	46.6703									
YAF_3_R1_001							47.50986809259179	51.0	150.0	150	27.27272727272727	94.268086
YAF_3_R1_paired							45.10198088563217	49.0	137.8486167886156	150	27.27272727272727	93.38854599999999
YAF_3_R2_001							54.05300529487239	50.0	150.0	150	36.36363636363637	94.268086
YAF_3_R2_paired							52.47120178326388	50.0	149.03454630292669	150	36.36363636363637	93.38854599999999
YAF_3_flagstat				129.580782	129.580782	100.0						
YAF_3_prededup_flagstat				129.580782	129.580782	100.0						
YAF_3_prefilter_flagstat				186.77709199999998	155.92779	83.48						
