Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34
GFP_1_R1_001	(16.0, 5.0)	(17.0, 382.0)	(18.0, 5835.0)	(19.0, 30227.0)	(20.0, 72253.0)	(21.0, 103490.0)	(22.0, 127655.0)	(23.0, 146437.0)	(24.0, 176561.0)	(25.0, 205083.0)	(26.0, 253455.0)	(27.0, 302225.0)	(28.0, 392994.0)	(29.0, 505903.0)	(30.0, 732499.0)	(31.0, 1171548.0)	(32.0, 2709358.0)	(33.0, 5290297.0)	(34.0, 5771195.0)	(35.0, 4234762.0)	(36.0, 3645377.0)	(37.0, 4747937.0)	(38.0, 10101234.0)	(39.0, 39475016.0)	(40.0, 5684664.0)										
GFP_1_R1_paired	(19.0, 13.0)	(20.0, 375.0)	(21.0, 4652.0)	(22.0, 17608.0)	(23.0, 36123.0)	(24.0, 60039.0)	(25.0, 84573.0)	(26.0, 118194.0)	(27.0, 154173.0)	(28.0, 211913.0)	(29.0, 273769.0)	(30.0, 368799.0)	(31.0, 473190.0)	(32.0, 650787.0)	(33.0, 896987.0)	(34.0, 1320556.0)	(35.0, 1938325.0)	(36.0, 3669812.0)	(37.0, 7673256.0)	(38.0, 18694974.0)	(39.0, 42773411.0)	(40.0, 5710894.0)													
GFP_1_R2_001	(6.0, 5.0)	(7.0, 466.0)	(8.0, 1775.0)	(9.0, 2130.0)	(10.0, 2226.0)	(11.0, 2545.0)	(12.0, 3873.0)	(13.0, 4528.0)	(14.0, 4489.0)	(15.0, 6099.0)	(16.0, 16293.0)	(17.0, 17973.0)	(18.0, 42505.0)	(19.0, 69953.0)	(20.0, 93814.0)	(21.0, 97311.0)	(22.0, 100535.0)	(23.0, 105911.0)	(24.0, 123204.0)	(25.0, 135537.0)	(26.0, 157461.0)	(27.0, 173870.0)	(28.0, 204015.0)	(29.0, 230655.0)	(30.0, 273091.0)	(31.0, 307042.0)	(32.0, 385867.0)	(33.0, 478237.0)	(34.0, 664809.0)	(35.0, 957072.0)	(36.0, 1650242.0)	(37.0, 3104986.0)	(38.0, 9369091.0)	(39.0, 55342936.0)	(40.0, 11755846.0)
GFP_1_R2_paired	(16.0, 1.0)	(17.0, 41.0)	(18.0, 247.0)	(19.0, 1413.0)	(20.0, 7240.0)	(21.0, 21976.0)	(22.0, 42656.0)	(23.0, 57866.0)	(24.0, 74386.0)	(25.0, 83914.0)	(26.0, 98949.0)	(27.0, 113845.0)	(28.0, 144706.0)	(29.0, 176026.0)	(30.0, 226914.0)	(31.0, 285579.0)	(32.0, 382190.0)	(33.0, 495637.0)	(34.0, 700996.0)	(35.0, 1018601.0)	(36.0, 1726703.0)	(37.0, 3163823.0)	(38.0, 9279798.0)	(39.0, 55259233.0)	(40.0, 11769683.0)										
GFP_2_R1_001	(16.0, 4.0)	(17.0, 199.0)	(18.0, 4006.0)	(19.0, 21506.0)	(20.0, 53606.0)	(21.0, 81271.0)	(22.0, 106290.0)	(23.0, 124970.0)	(24.0, 153748.0)	(25.0, 178822.0)	(26.0, 220706.0)	(27.0, 262302.0)	(28.0, 338869.0)	(29.0, 435410.0)	(30.0, 636101.0)	(31.0, 1106893.0)	(32.0, 2528631.0)	(33.0, 3701185.0)	(34.0, 3213450.0)	(35.0, 2529415.0)	(36.0, 2937049.0)	(37.0, 4596117.0)	(38.0, 10901931.0)	(39.0, 48806684.0)	(40.0, 7929018.0)										
GFP_2_R1_paired	(19.0, 7.0)	(20.0, 341.0)	(21.0, 3600.0)	(22.0, 14056.0)	(23.0, 28744.0)	(24.0, 49394.0)	(25.0, 71236.0)	(26.0, 100707.0)	(27.0, 134468.0)	(28.0, 187815.0)	(29.0, 246254.0)	(30.0, 333428.0)	(31.0, 433494.0)	(32.0, 604638.0)	(33.0, 823808.0)	(34.0, 1170932.0)	(35.0, 1810856.0)	(36.0, 3549790.0)	(37.0, 6144142.0)	(38.0, 15617043.0)	(39.0, 50723368.0)	(40.0, 7959420.0)													
GFP_2_R2_001	(6.0, 8.0)	(7.0, 513.0)	(8.0, 1844.0)	(9.0, 1958.0)	(10.0, 2045.0)	(11.0, 2369.0)	(12.0, 4052.0)	(13.0, 4404.0)	(14.0, 3828.0)	(15.0, 5232.0)	(16.0, 15680.0)	(17.0, 11957.0)	(18.0, 27008.0)	(19.0, 44976.0)	(20.0, 61003.0)	(21.0, 66136.0)	(22.0, 71751.0)	(23.0, 79788.0)	(24.0, 95720.0)	(25.0, 107710.0)	(26.0, 125979.0)	(27.0, 139125.0)	(28.0, 163962.0)	(29.0, 186086.0)	(30.0, 221328.0)	(31.0, 244425.0)	(32.0, 307853.0)	(33.0, 384440.0)	(34.0, 536113.0)	(35.0, 781029.0)	(36.0, 1373388.0)	(37.0, 2649349.0)	(38.0, 7977261.0)	(39.0, 57275187.0)	(40.0, 17894676.0)
GFP_2_R2_paired	(17.0, 22.0)	(18.0, 178.0)	(19.0, 822.0)	(20.0, 4339.0)	(21.0, 13667.0)	(22.0, 27070.0)	(23.0, 37310.0)	(24.0, 48604.0)	(25.0, 56175.0)	(26.0, 67655.0)	(27.0, 80041.0)	(28.0, 104779.0)	(29.0, 130612.0)	(30.0, 172032.0)	(31.0, 220076.0)	(32.0, 299262.0)	(33.0, 393096.0)	(34.0, 562767.0)	(35.0, 829152.0)	(36.0, 1436069.0)	(37.0, 2705301.0)	(38.0, 7917911.0)	(39.0, 57053008.0)	(40.0, 17847593.0)											
GFP_3_R1_001	(16.0, 5.0)	(17.0, 251.0)	(18.0, 4169.0)	(19.0, 22735.0)	(20.0, 55914.0)	(21.0, 78423.0)	(22.0, 97236.0)	(23.0, 112569.0)	(24.0, 137264.0)	(25.0, 163499.0)	(26.0, 206121.0)	(27.0, 250255.0)	(28.0, 336732.0)	(29.0, 452462.0)	(30.0, 688388.0)	(31.0, 1220156.0)	(32.0, 3151647.0)	(33.0, 6133597.0)	(34.0, 6360218.0)	(35.0, 4048926.0)	(36.0, 2930871.0)	(37.0, 3537843.0)	(38.0, 6762403.0)	(39.0, 32418366.0)	(40.0, 6902019.0)										
GFP_3_R1_paired	(19.0, 2.0)	(20.0, 313.0)	(21.0, 3410.0)	(22.0, 12836.0)	(23.0, 25921.0)	(24.0, 43038.0)	(25.0, 60795.0)	(26.0, 85242.0)	(27.0, 112431.0)	(28.0, 155322.0)	(29.0, 203793.0)	(30.0, 274660.0)	(31.0, 354114.0)	(32.0, 501872.0)	(33.0, 740781.0)	(34.0, 1114136.0)	(35.0, 1605806.0)	(36.0, 3662079.0)	(37.0, 6951875.0)	(38.0, 15498150.0)	(39.0, 36979665.0)	(40.0, 6913987.0)													
