Sample	Unique Reads	Duplicate Reads
GFP_1_R1_001	41596989.0	44289403.0
GFP_1_R1_paired	43277423.0	41855000.0
GFP_1_R2_001	33629393.0	52256999.0
GFP_1_R2_paired	34588066.0	50544357.0
GFP_2_R1_001	30038327.0	60829856.0
GFP_2_R1_paired	32071591.0	57935950.0
GFP_2_R2_001	19967650.0	70900533.0
GFP_2_R2_paired	20980989.0	69026552.0
GFP_3_R1_001	36714591.0	39357478.0
GFP_3_R1_paired	38299289.0	37000939.0
GFP_3_R2_001	32604972.0	43467097.0
GFP_3_R2_paired	33529355.0	41770873.0
YAF_1_R1_001	25626463.0	64955849.0
YAF_1_R1_paired	27581767.0	62106557.0
YAF_1_R2_001	14482894.0	76099418.0
YAF_1_R2_paired	15548702.0	74139622.0
YAF_2_R1_001	73904123.0	59028298.0
YAF_2_R1_paired	76612320.0	55349578.0
YAF_2_R2_001	69545024.0	63387397.0
YAF_2_R2_paired	71056865.0	60905033.0
YAF_3_R1_001	49481443.0	44786643.0
YAF_3_R1_paired	51268462.0	42120084.0
YAF_3_R2_001	43313353.0	50954733.0
YAF_3_R2_paired	44386454.0	49002092.0
