Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
PanglaoDB_Augmented_2021	Trichocytes	63/103	4.283916e-18	7.625371e-16	0	0	5.777833e+00	2.310652e+02	LAD1;WWC1;HR;LAMC2;DMKN;BAIAP2L1;TRIM29;KPNA7;TNS4;DSP;CARD10;EDN2;S100A2;ITGA3;ARHGEF16;RIPK4;KRT8;KRT7;KRT32;SULT2B1;EPN3;CLDN4;GPRC5A;PADI3;B3GNT3;PKP3;RHOV;PADI1;EPHA2;GRB7;KRT80;LAMA3;MST1R;KRT86;EVPL;FAM83H;NTF4;ADGRG6;SFN;EPS8L2;S100A14;TSPAN1;MISP;TFAP2A;TMEM184A;CDSN;LAMB3;HNRNPA1P33;WNT7B;GRHL3;IGFL1;FERMT1;KRT19;KRT18;KRT17;TMEM54;GJB3;RAET1G;KRT16;KRT15;RAET1L;SP6;SDC1
PanglaoDB_Augmented_2021	Basal Cells	69/141	6.293631e-13	4.677820e-11	0	0	3.513363e+00	9.870467e+01	LAD1;ACADVL;TINAGL1;MT1X;LAMC2;PRSS22;CLDN1;DNPH1;CDH3;PLAU;TRIM29;BDKRB2;ANXA8;PLEKHN1;A4GALT;SLC16A3;TMEM14A;TP63;S100A2;ITGA3;KRT7;KRT5;BACE2;DUSP23;CLDN4;CDCP1;SLPI;CDC42EP5;MALL;LY6D;B3GNT3;PKP1;PKP3;S100A3;IRF6;EPHA2;MT1E;KRT80;SDC4;EPAS1;LAMA3;MST1R;CST6;RRAS;CLCA2;PLEK2;SFN;EPS8L2;S100A14;TSPAN1;LAMB3;MT2P1;BMP7;SYT8;SLC25A37;KRT19;GJB4;KRT17;TMEM54;FXYD3;GJB3;KRT16;KRT15;GJB5;KRT14;RAB13;SAA1;SDC1;SERINC2
PanglaoDB_Augmented_2021	Keratinocytes	64/127	7.883967e-13	4.677820e-11	0	0	3.722086e+00	1.037300e+02	LAD1;KRT16P3;ANXA8L1;LAMC2;DMKN;PRSS22;AQP3;ICAM1;TGM1;TRIM29;ANXA8;LIPK;TNS4;KRT4;S100A2;FST;RIPK4;KRT7;KRT78;KRT5;C6ORF132;IRF3;KRT36;LY6D;B3GNT3;PKP1;PKP3;PADI1;IVL;PLEC;FLG;LAMA5;KRT80;KLK5;LYPD3;MST1R;SBSN;EVPL;CST6;KRT84;RNASE7;CLCA2;SFN;S100A14;TFAP2A;NGFR;CDSN;LAMB3;GRHL3;IGFL1;FOXN1;SYT8;GJB4;KRT17;FXYD3;GJB3;KRT16;KRT15;GJB5;KRT14;LCN2;RAET1L;CD24;NECTIN4
PanglaoDB_Augmented_2021	Mammary Epithelial Cells	66/134	1.359704e-12	6.050684e-11	0	0	3.556697e+00	9.718230e+01	LAD1;BICDL2;LAMC2;PRSS22;CLDN1;FOXQ1;BAIAP2L1;CDH1;TRIM29;PIEZO1;PRSS8;FFAR1;DSP;ARHGEF16;RIPK4;KRT8;KRT7;KRT5;FOXP4;EPN3;ANO1;C6ORF132;CLDN4;MMP14;CLDN3;ELF3;PRR15L;SCNN1A;B3GNT3;PADI2;PKP3;IRF6;ARHGEF5;ABCG2;EPHA2;GRB7;KRT80;SDC4;LAMA3;MST1R;EVPL;PPL;FAM83H;TMEM125;KIAA1522;SFN;EPS8L2;S100A14;TSPAN1;MISP;TMEM184A;LAMB3;TMEM61;SYT8;KRT19;KRT18;GJB4;KRT17;FXYD3;GJB3;KRT16;KRT15;KRT14;SDC1;NECTIN4;SERINC2
PanglaoDB_Augmented_2021	Urothelial Cells	56/106	1.737111e-12	6.184115e-11	0	0	4.099321e+00	1.110047e+02	CLIC3;PSCA;BICDL2;PRSS22;AQP3;TGM1;AP1G2;PSD4;SLC22A18;PIEZO1;PLEKHN1;DENND2D;IL4R;KRT4;SH2D3A;PRKCD;RHBDF2;SYTL1;ANO9;UPK3B;SULT2B1;VAMP8;SPINT1;IRF3;RABEP2;FRMD8;SCNN1A;ADAM8;EPHA1;CARD14;IVL;LLGL2;ALOX15;LYPD3;EVPL;SLC9A3R1;SYNGR2;P2RY2;MROH6;PROM2;TMEM184A;SLC14A1;ST14;CDC42BPG;TNK1;RASSF7;NBEAL2;ARHGAP27;TMCO4;SSH3;TMPRSS13;RNF223;TMEM238;NECTIN4;TJP3;UMODL1
PanglaoDB_Augmented_2021	Ductal Cells	64/132	7.200704e-12	1.954098e-10	0	0	3.447299e+00	8.844681e+01	LAD1;PIGR;SLC44A4;TINAGL1;GOLT1A;KIF12;LAMC2;CLDN2;PRSS22;CLDN1;AQP1;SERPINA5;FOXQ1;CDH1;TRIM29;CTSH;PRSS8;DSP;ARHGEF16;RIPK4;KRT8;KRT7;ANO1;TMEM37;CLDN4;CLDN3;SLPI;ELF3;PRR15L;SCNN1A;B3GNT3;SERPING1;PKP3;IRF6;GPRC5C;CFB;GRB7;SDC4;LAMA3;C3;MUC1;TMEM125;ERBB3;MYH14;EPS8L2;S100A14;TSPAN1;MISP;S100A10;TMEM184A;AMBP;LAMB3;ATP8B1;GDF15;TMEM61;KRT19;AKR1B10;KRT18;MLPH;FXYD3;SAA1;SDC1;RAB17;SERINC2
PanglaoDB_Augmented_2021	Gastric Chief Cells	56/109	7.684656e-12	1.954098e-10	0	0	3.866541e+00	9.895173e+01	LAD1;VIPR1;SLC44A4;RAB3D;AATK;BICDL2;KIF12;PRSS22;HID1;ALDH2;CDH1;PRSS8;DSP;PLEKHG3;ARHGEF16;GPRIN2;CLDN4;C1ORF115;CLDN3;SLPI;SPINT1;ELF3;PRR15L;SCNN1A;SLCO2A1;B3GNT3;VWA2;IRF6;ARHGEF5;LLGL2;PPL;SELENBP1;HSD11B2;TMEM125;ALS2CL;ERBB3;MYH14;S100A14;PCDH1;ST14;COLCA2;STARD10;PLEKHA6;PDZK1IP1;CYP4F12;CAMSAP3;CAPN13;FA2H;TPPP3;LEP;PPP1R1B;LCN2;EPPK1;CD24;FGFR2;TJP3
PanglaoDB_Augmented_2021	Trophoblast Cells	63/130	1.075852e-11	2.393771e-10	0	0	3.443496e+00	8.696660e+01	LAD1;IL1RN;ANXA8L1;TINAGL1;BICDL2;CGB3;LAMC2;PRSS22;TRIM29;ANXA8;TNS4;ABCC3;S100A2;IL1R1;ANXA3;SH2D3A;PLEKHG6;TFEB;KRT7;KRT78;TMEM40;C6ORF132;CLDN4;CDCP1;GPRC5A;ELF3;ELF5;MALL;SCNN1A;LY6D;B3GNT3;PKP3;PADI1;PTGES;KRT80;DLX3;LYPD3;CST6;RNASE7;PLEK2;SFN;S100A14;HES2;S100A10;GPR157;TMEM184A;LAMB3;VDR;CCL20;TNFRSF9;IGF2;KLF4;SYT8;CD4;CYP24A1;GJB4;STAR;KRT17;GJB3;KRT16;KRT15;LCN2;NECTIN4
PanglaoDB_Augmented_2021	Trophoblast Stem Cells	52/99	1.430091e-11	2.828402e-10	0	0	4.046467e+00	1.010431e+02	PTPRU;SH2D4A;WWC1;CTSV;CELSR1;PTPRF;BAIAP2L1;CDH3;CCND1;TRIM29;TEAD3;DSP;MSX2;ARHGEF16;RIPK4;KRT8;EMP2;EPN3;C6ORF132;CLDN4;PADI3;PKP3;RHOV;PTGES;GRB7;KRT80;DLX3;CRABP2;LYPD3;SEMA3F;NTF4;SERTAD4;KIAA1522;SFN;S100A14;TFAP2A;IRX3;WNT7B;GRHL3;GRHL1;FERMT1;KRT19;KRT18;MLPH;TMEM54;FXYD3;GJB3;KRT16;KRT15;SP6;SDC1;NECTIN4
PanglaoDB_Augmented_2021	Sebocytes	60/124	3.588263e-11	6.387108e-10	0	0	3.431492e+00	8.253001e+01	ZMYND15;CDA;LAD1;IL1RN;SERPINA1;TNFAIP2;BICDL2;PRSS22;AQP3;CXCL16;CDH1;TRIM29;FFAR2;CAMP;ABCC3;ANXA3;IL1R2;PLEKHG6;KRT7;KRT5;VAMP8;CLDN4;TBC1D2;SLPI;SPINT1;ELF3;SCNN1A;LY6D;B3GNT3;ANGPTL4;IRF6;S100A9;LLGL2;CEBPB;PTGER2;TGFA;LYPD3;EVPL;MUC1;RAB20;P2RY2;PLEK2;SFN;LTA4H;S100A14;ST14;LAMB3;VDR;ANKRD22;KLF4;PDZK1IP1;SSH3;MAPK13;CYP24A1;LRG1;GJB4;GJB3;KRT16;LCN2;TJP3
