"Category","Count"
"Total V5 Narrow Peaks",104
"Total V5 Broad Peaks",189
"Total H2AK119Ub Broad Peaks",20875
"Narrow V5 + Broad H2AK119Ub",1
"Broad V5 + Broad H2AK119Ub",2
