"Comparison","Observed"
"V5_narrow_vs_H2A_narrow_GFP",14
"V5_narrow_vs_H2A_narrow_YAF",16
"V5_narrow_vs_H2A_broad_GFP",10
"V5_narrow_vs_H2A_broad_YAF",13
"V5_broad_vs_H2A_narrow_GFP",32
"V5_broad_vs_H2A_narrow_YAF",53
"V5_broad_vs_H2A_broad_GFP",29
"V5_broad_vs_H2A_broad_YAF",45
