Length	FoldEnrichment
572	2.89225
703	3.43312
627	3.06299
721	3.55378
1197	5.8702
725	3.83572
1244	5.02342
3455	4.61263
1361	4.26992
5017	5.62577
1761	4.69488
1528	4.16338
1172	3.36253
1384	5.23587
1993	4.42309
5403	3.80141
614	4.1379
2240	3.97001
1366	3.92524
789	3.05945
2064	5.39961
1760	5.85471
871	3.59461
703	4.6884
3314	4.81858
758	3.35996
3332	5.12421
2576	5.0157
1516	3.9256
843	3.63615
1701	3.00687
1684	4.90638
1686	4.13244
1385	5.53463
992	3.66091
986	3.63168
1729	4.23276
1069	3.69193
890	2.68062
1610	3.72725
1957	4.27273
697	3.82762
637	5.0672
534	5.87294
765	4.97974
905	3.68257
3156	3.90487
2953	2.97768
771	2.89012
2209	4.55255
529	3.29175
538	4.10958
585	5.04048
753	4.91338
1949	6.25977
1510	3.25337
2212	4.72517
2120	5.80075
1335	5.85472
972	3.26509
1255	4.14653
1159	4.84346
1673	4.7137
721	4.59591
972	4.20456
4193	5.139
2337	4.88989
2825	6.32194
2308	3.54394
1523	4.12367
968	4.73013
1556	4.46535
878	2.77568
1668	4.61313
670	6.29353
1337	4.99995
1102	7.16109
661	4.12877
526	5.2605
948	5.7744
2030	3.15477
1023	6.09246
2200	4.93547
716	3.33733
1192	4.15653
570	2.73895
2316	7.7091
1048	5.85132
687	3.79365
849	6.00249
510	4.01179
933	5.40394
2726	4.06278
551	3.94037
592	4.82661
525	3.79356
2013	4.56543
1139	4.74021
2084	4.69137
872	4.84601
1389	4.21125
3560	4.55449
1533	5.09434
920	5.37386
1111	11.4658
2099	5.69364
964	4.79292
873	4.94414
518	4.45801
680	3.44231
3018	4.92916
585	5.30835
1138	2.89271
692	3.50061
967	3.61271
1709	4.01182
2730	3.71923
1877	4.96148
795	5.71313
821	3.32127
903	3.19672
521	3.32367
1153	4.11246
622	6.04124
883	2.68062
683	5.57981
5954	4.37046
2175	4.53232
2109	3.67462
813	3.87368
1081	3.78175
845	3.84585
1439	5.07792
3945	4.35368
1616	5.03648
1663	4.58836
584	6.24254
1676	4.18111
679	4.75182
1078	4.4899
2183	3.52452
4717	4.33098
1047	3.63385
779	6.99764
1902	5.25395
1339	5.40882
881	3.20976
809	3.30257
2472	4.34158
639	4.81967
1011	3.17827
4400	6.97926
724	2.98524
2422	4.12899
3378	4.04853
1613	6.21208
909	4.05985
1321	4.16522
1443	3.07551
5833	4.36722
922	4.46378
554	3.10056
1653	3.58586
558	3.82801
1044	3.85045
984	6.07371
2641	6.65892
1023	3.35241
2921	4.11238
3439	4.10727
927	5.30361
2984	5.03755
825	4.05079
1028	2.99279
1584	5.3782
3362	4.14042
937	3.53156
906	6.55657
1664	3.93374
1787	3.05074
2814	4.69223
1164	4.08372
740	4.34762
1001	4.18704
976	4.00733
1239	3.97151
1781	3.35642
2441	5.26776
5444	4.22025
875	4.75311
1196	2.8086
2833	5.78022
1876	3.69038
1241	5.16936
4628	4.08514
1233	5.20596
1419	4.73976
2478	5.05114
1212	3.2257
573	3.00351
1789	3.1785
1086	5.22244
1792	3.40165
640	6.69563
787	5.08007
