Metric,Value
Sample,GFP_3
Total_Reads,102161808
Reads_in_Peaks,58199009
FRiP,0.569675
Final_Peak_Count,126138
Mean_Peak_Length,2711.94
Mean_Fold_Enrichment,3.69
