Length	FoldEnrichment
3554	2.44299
2385	2.27965
1304	3.08285
1019	2.35515
1128	2.16785
11358	4.09476
23385	4.89251
19262	4.1653
2830	2.33969
16145	3.97646
8558	4.43171
7441	3.84627
3978	3.83509
2588	5.85205
8724	3.81421
809	3.48456
2262	2.57058
37104	3.821
15027	3.49423
1079	3.02949
16354	3.64967
6966	3.34995
11544	3.12422
18904	3.45057
10373	3.13951
6073	3.98821
8575	3.68222
3452	3.55145
876	2.19622
1535	2.84996
695	2.28954
1308	2.34568
2491	3.10259
10120	3.88061
947	2.39827
953	2.5717
4161	2.84526
1714	2.86158
815	2.33948
684	2.36104
1144	2.11381
684	2.48832
4006	3.83974
7538	3.68986
6895	4.13232
2491	4.24309
14343	4.43908
3477	2.79393
2888	3.14796
2230	2.90762
18052	3.78295
10789	4.6144
1092	3.1062
5478	4.46885
2337	2.6642
1439	3.05841
688	2.81877
4787	3.5818
889	3.0114
4278	3.24313
3116	4.35556
13121	4.33062
1561	2.72702
636	2.25661
588	2.77974
2157	2.70188
1168	2.70221
901	3.36415
1531	2.97741
512	3.99119
1111	3.00236
798	3.19863
602	2.14054
2131	2.93355
2504	2.93362
5099	2.82538
663	2.80826
1579	2.5275
1887	4.8309
932	2.55906
3012	2.51039
565	2.62042
2712	3.14717
1338	4.74511
966	3.29816
723	2.70509
1149	5.74784
9221	4.02076
895	2.59132
729	2.34715
1661	4.92352
2643	3.36284
8915	2.91105
1371	2.82155
745	2.7193
884	3.00698
1000	2.59342
506	4.0697
1882	2.9495
748	2.98808
2566	2.80013
2477	2.56125
8073	4.78232
1188	3.53028
1166	2.51498
1113	2.10126
793	2.40311
2053	3.09738
950	2.39474
563	2.5909
3028	2.39752
1946	2.69894
900	2.14354
1165	2.41003
6098	3.15317
1529	2.3069
1393	2.45041
512	2.64356
9120	3.73507
948	3.82185
3419	5.29106
1533	3.10229
17019	3.52395
12910	3.71575
18076	4.53002
5918	3.44602
4686	3.31339
1968	2.66683
1886	3.71469
727	2.67342
1296	2.64624
873	2.12354
2542	3.56103
5609	4.67371
6525	3.22409
22528	3.81523
5441	3.49571
3062	3.635
9803	3.25217
22321	3.5664
13216	3.51294
15972	4.46745
4640	4.336
6571	3.68151
5026	4.08136
541	3.48884
3345	2.79743
30490	3.64016
10252	3.62393
4518	3.4533
2458	2.54558
1072	3.66817
1635	4.10443
6424	4.65438
1480	3.08848
3937	2.96097
878	3.60127
2457	2.39018
2531	2.26482
588	2.58298
8895	2.74281
1510	2.56729
2285	2.65526
7423	5.30392
1381	3.01593
3236	2.74747
3491	2.7195
628	3.37412
14554	3.56552
508	2.19247
32977	3.58731
15317	4.34489
4077	2.5184
903	2.8053
6513	2.94922
8389	4.1831
13407	3.24425
746	3.78035
6838	4.26314
6762	3.6811
21883	3.69
30313	3.7714
2204	3.08365
1514	3.25326
1909	2.94769
25708	4.47652
651	2.57655
13751	3.4424
655	2.49108
3440	3.59377
721	3.74142
19105	3.38948
1630	2.80946
1156	3.10043
7207	3.57743
1485	2.25069
717	4.2242
8688	3.45482
2517	3.05599
4418	2.99925
1001	2.40864
