Metric,Value
Sample,GFP_1
Total_Reads,126654832
Reads_in_Peaks,75690330
FRiP,0.597611
Final_Peak_Count,136655
Mean_Peak_Length,2870.01
Mean_Fold_Enrichment,3.33
