Metric,Value
Sample,YAF_2
Total_Reads,146442376
Reads_in_Peaks,82103953
FRiP,0.560657
Final_Peak_Count,211650
Mean_Peak_Length,2398.95
Mean_Fold_Enrichment,3.14
