Metric,Value
Sample,YAF_3
Total_Reads,129580782
Reads_in_Peaks,60523229
FRiP,0.467069
Final_Peak_Count,188948
Mean_Peak_Length,2062.02
Mean_Fold_Enrichment,3.43
