Length	FoldEnrichment
2147	3.36096
579	2.52651
1725	2.86907
2816	3.60062
4563	4.02327
545	2.62665
1015	3.45837
1202	3.06785
833	2.6134
717	2.65456
11584	6.43474
23890	10.0534
22896	7.35879
17268	6.94113
8644	7.87018
13764	6.28022
1292	2.55846
2571	7.30109
12333	6.76159
44582	6.19493
14954	7.16137
1256	3.59181
1427	3.00727
23175	6.34364
11614	6.49496
30599	6.63727
928	2.71987
6145	7.3617
25803	5.80453
18466	6.07285
1422	3.62973
4072	4.0799
5469	2.98223
1205	2.5838
1415	3.37062
1130	2.99556
3159	4.56575
8762	7.17596
25653	7.10143
31766	5.21462
10830	6.24212
942	3.13808
4751	6.1269
1860	3.53853
973	3.47922
1017	2.84868
3400	4.33272
27169	7.1361
17388	3.56277
570	3.22713
1091	2.81485
1014	4.36413
2265	3.32903
2336	3.73829
856	4.43444
579	4.52263
2056	3.10041
718	3.68249
1045	2.781
1817	3.5255
4227	4.07044
4195	3.88568
1866	3.35022
1774	4.25894
1966	5.70219
6876	4.41423
2453	2.85827
1382	8.82246
9316	7.16132
1331	3.17363
1629	3.17675
15941	4.43041
1268	2.7505
1025	3.3264
593	2.56745
723	2.75769
7348	3.73479
1359	2.99059
2396	2.775
4692	5.86678
1065	3.47629
1548	2.97322
918	3.002
758	2.65588
9128	5.15758
1990	5.57784
3404	7.97286
1444	5.29952
17156	6.92581
1242	4.09169
13206	6.11159
1766	3.56052
18033	6.71894
5996	5.96046
845	2.72065
5078	5.43771
1592	4.22944
1250	2.99438
558	4.99676
2950	4.00355
1664	4.31093
42267	6.57984
7064	5.21915
4502	5.99179
11112	5.2021
37740	5.61402
14110	5.54995
7378	6.2431
5691	4.65782
30444	5.29418
793	4.06434
27627	5.91164
1963	3.10068
2566	4.6873
6122	6.20695
6333	3.49375
1330	2.83213
568	2.52651
10459	3.70138
2147	3.20444
1879	3.8539
21212	5.5432
625	4.03977
39057	6.5961
10240	5.60098
16253	5.38082
659	3.09747
1970	3.08444
6876	4.12301
8806	7.28208
14223	6.48598
2499	4.12896
657	2.74431
5248	4.69612
17935	5.49841
12486	5.65795
524	2.9683
1149	2.93025
2526	4.76712
8644	5.25878
8802	4.48287
833	3.12617
1257	3.10875
1097	2.94595
5342	4.34422
1591	3.97398
12001	5.37718
907	2.91231
23554	4.15583
1512	3.05255
615	3.4241
1569	5.28813
2175	4.20668
18445	5.29251
23008	5.63264
43031	5.51714
11718	4.1874
3692	3.51017
10732	4.9131
7279	5.4277
2021	3.74213
3016	3.29979
8193	5.53706
36635	6.1243
1736	4.11637
6761	4.35456
27852	6.13778
19659	5.12735
46988	4.35584
8451	4.67229
7293	9.06955
5993	4.09078
4809	4.61858
19989	3.77366
28302	5.81875
12487	4.71783
1012	2.87741
2821	3.26139
26008	4.77376
11057	4.8763
1313	3.70195
14774	5.84451
17462	4.75378
5088	3.91347
34075	5.94423
6195	5.58102
58501	5.80501
25424	9.50637
42139	6.47751
1150	3.34042
5629	3.82711
2079	3.26408
8630	4.04066
2377	4.10216
27625	5.83572
30354	5.94265
8769	4.29583
1053	2.78809
1537	3.06958
4123	4.16464
9540	4.13612
18959	5.75438
746	4.35699
2038	3.2184
1439	3.42432
960	2.70255
1851	3.83655
942	2.86764
2008	6.6112
4293	3.35395
878	2.85879
617	3.03791
874	2.7611
4687	5.75119
678	3.01067
2918	3.5836
1150	3.11787
953	3.38861
2064	7.09736
18194	4.79737
4404	3.96489
1926	3.65193
2424	4.33757
10829	4.06645
3466	4.20858
3451	4.12501
699	3.90763
3475	3.4664
8648	3.95652
1624	3.36918
1992	3.44108
659	2.86306
3371	3.55294
2674	4.3159
2405	4.02654
2136	3.48347
569	2.96905
5290	3.47893
542	3.2095
799	3.68874
6008	3.54731
6299	4.01013
4334	3.99132
1286	2.86835
4179	3.60941
772	4.12333
767	3.60803
3256	3.22075
4544	3.91673
1565	3.10606
1193	3.07024
5920	4.03039
6961	3.57833
1379	3.1514
1740	3.26472
2848	3.77624
2923	3.75206
3136	3.83667
7642	3.77981
6512	4.07407
750	2.75301
518	3.93507
1129	2.69258
1984	2.83421
1245	2.82651
2089	3.728
865	3.88053
914	2.58963
851	3.49587
1601	4.18442
764	3.68489
783	3.2645
2743	3.20848
582	3.10313
1583	2.93342
769	4.46716
1962	3.21374
938	2.69972
1197	2.77461
1099	2.81102
7630	3.73508
703	3.1005
2123	2.93424
4458	3.16442
750	2.65759
666	2.67389
618	3.40601
1264	4.0313
1313	2.7554
1179	2.79686
1009	3.13777
1749	3.34619
700	2.57244
3127	2.97507
2410	3.0128
1108	3.51729
1123	3.43615
2734	3.54927
2345	3.15004
5689	3.48676
3153	3.85836
1363	3.39093
909	2.99438
882	3.36932
3477	3.34202
1792	3.34305
906	2.66248
833	2.68555
2430	4.38122
5336	3.66691
7866	4.37472
1329	2.6657
4549	4.13216
9957	3.85518
1601	3.21047
2575	3.59073
948	2.65336
902	9.83255
7597	4.66337
4362	3.43059
2241	4.16983
3058	4.06308
1047	3.02037
19741	3.9076
936	2.75752
5844	3.93289
18263	3.67536
967	3.05853
10936	3.94391
3525	3.2659
7285	3.52973
5808	4.03309
1761	3.12115
1417	3.37978
551	2.61006
2728	3.27406
1134	2.58797
5981	3.78548
3205	3.62617
1507	2.96987
606	3.14557
533	3.07877
3907	3.65027
883	2.61103
761	2.94634
2450	3.22105
1019	2.81496
2012	3.1866
1207	3.99818
2130	2.93011
824	2.62107
597	3.91858
1283	3.57299
892	3.03846
1794	2.83699
866	2.62711
616	2.74963
857	2.67586
604	4.35541
760	3.10929
503	3.55625
1164	3.10199
774	4.35842
1345	3.91541
916	2.90588
2034	3.67159
1403	3.71391
910	2.53268
3274	3.01081
550	2.63489
3776	3.20794
5102	3.88427
1104	2.69565
2956	3.39174
2273	3.47769
3738	3.08717
1277	2.61667
3196	3.32813
586	2.52651
5790	4.29043
1157	2.60542
2835	3.0442
1649	5.10746
3244	3.44555
2000	3.73405
1633	3.25323
9198	4.04894
2833	3.63796
966	3.58886
7009	4.03176
7604	4.74432
5408	5.12258
3592	4.1041
4100	3.1726
4031	3.79756
2504	3.37226
4142	4.25662
4633	4.12305
3285	3.57714
8760	4.21039
8493	4.28473
18394	4.9499
6179	3.66402
1405	2.63313
1552	3.44331
650	3.44184
3938	3.17451
1967	4.00549
922	3.0007
7132	3.62826
6975	3.64416
877	3.43085
1191	4.19622
1707	2.63832
9882	4.07867
7124	3.69184
3162	3.43605
1868	3.20925
6139	3.98029
1266	3.9646
11009	3.40157
5880	3.32297
533	3.13177
7243	4.1215
923	2.73434
841	2.9504
18113	5.37385
9956	5.05028
1893	3.70254
2727	3.71424
841	2.53453
1809	3.13861
3209	3.00343
1927	3.05045
507	2.87984
2886	2.84069
1190	3.82991
1820	3.89434
1159	4.96435
2465	4.30404
17165	4.4655
4870	3.87163
7093	3.63689
2978	3.00114
3653	2.83178
900	3.11782
2420	2.72989
576	2.71455
1585	2.834
1678	3.55447
1198	3.48116
668	3.38668
1015	3.22909
1850	3.10383
3038	3.15077
7144	4.05002
1562	2.8285
16330	4.70965
5134	3.94338
7555	5.72486
846	3.23799
6081	3.93813
29035	4.61342
24111	4.83881
17709	5.2806
4918	6.85888
19279	4.63856
7769	5.56693
23653	6.31993
8428	4.69605
940	5.40528
9449	5.15375
3339	4.26017
1338	4.39131
739	3.0068
2272	4.9124
45136	6.25871
2543	3.23599
537	3.32749
3583	3.17147
1228	3.5482
1533	2.74505
1222	3.7428
1511	3.82225
3548	3.85632
957	2.99728
2545	3.50107
786	3.27673
2451	3.1193
964	2.95533
806	3.34703
1166	3.37326
10653	5.58786
6236	4.20272
1114	2.52651
1391	3.04523
537	4.55711
2908	4.66105
6019	4.56064
539	3.79919
1303	4.20196
1336	3.48126
703	3.42909
29472	6.5866
14598	5.37106
18666	4.78855
12576	6.34905
19575	6.29237
3320	6.37179
2090	3.52238
2740	3.27788
1234	4.3764
6235	3.47823
4227	3.48679
1261	3.81202
6282	4.90151
11870	4.27842
1051	3.04117
4619	4.72538
1154	6.84266
640	2.65114
1916	4.73069
3021	3.21438
2706	4.66519
4461	4.05121
2769	3.97207
711	2.66194
1224	3.90978
957	4.29846
3254	3.83646
1846	3.35976
1765	2.8275
1425	3.35272
2620	3.53733
848	3.01984
3489	3.34168
1121	2.75478
1080	2.54166
1210	5.58441
1867	6.93491
756	2.84276
804	3.31371
520	3.13685
1010	3.11642
671	3.28104
1222	3.27103
2029	4.22653
3914	3.13889
9293	4.31411
2698	4.47839
7790	4.57228
3726	3.81006
5035	3.56854
11805	4.32423
5680	4.09407
2317	4.20114
1371	4.35044
5286	3.26724
5953	3.54273
11313	4.7555
2323	3.52059
2165	4.59423
892	3.44349
943	2.5681
5128	4.10447
12846	4.62264
7662	3.86878
1884	5.48511
901	3.32956
6037	3.88643
3969	4.16542
4469	3.89158
8084	3.83328
7261	5.78003
671	2.93624
1969	3.6764
1331	3.39983
8541	3.74744
2659	3.38824
836	3.57138
6553	3.44784
1177	3.4563
1329	3.14535
1707	3.50274
2452	3.81541
1063	5.02389
5865	3.7081
4114	4.19358
740	3.65202
1380	2.7964
892	2.72239
2384	5.09197
3869	3.12749
1446	3.45167
1469	3.38429
2708	3.75893
736	2.83129
1383	3.47183
779	2.52651
3638	3.03376
6688	3.67569
1240	3.25953
2942	3.16598
2958	3.45851
2602	3.40699
5668	3.59494
8759	5.45205
2338	5.73089
6053	3.92692
4070	3.31006
5155	3.35803
35322	4.08794
21128	4.61805
1598	3.56006
1160	3.25251
4810	4.12819
20710	4.34429
14222	4.26406
636	5.77441
16474	4.79286
929	3.86097
854	3.22135
17835	5.01354
5883	4.17417
7574	4.09676
5509	4.35125
15062	5.19081
14505	4.97145
33127	6.2647
9562	4.07783
5303	7.10749
607	2.93835
1490	2.59246
2457	3.51334
2505	3.06822
684	3.05029
1131	3.02821
1655	3.58231
676	4.02355
1945	5.76727
1409	3.07352
2602	3.07715
800	3.54742
1246	3.68719
687	3.78088
1664	3.0511
953	3.25959
1856	3.85436
1002	2.54489
632	3.52298
1304	3.04326
512	2.84459
768	11.744
651	2.87822
2011	3.38943
902	3.72458
1864	6.36312
593	4.73285
1381	8.02357
768	3.4488
1516	5.29087
1602	5.20942
928	2.81784
564	3.24977
2527	3.55127
1100	6.26571
3146	3.68208
880	4.03725
1430	3.55364
2356	4.83246
923	3.54146
4489	3.62653
2126	4.32892
1391	3.39582
7556	4.50157
3140	4.83456
840	2.91564
1011	2.85189
1600	5.02328
579	2.77883
2511	3.8808
825	2.73039
3413	3.39281
838	2.70392
2840	3.02757
1713	3.80248
761	2.58413
518	3.7587
2872	4.0635
1598	3.61179
8455	6.31696
1009	3.4996
3963	3.55952
1724	4.30889
3161	3.18282
3257	3.35488
10243	5.55972
739	3.11015
3999	3.77443
1599	3.37394
963	2.61709
1471	3.8108
1394	3.21782
1355	4.39354
1362	3.70698
1571	2.6813
510	6.25811
747	2.62105
1027	3.50682
596	3.72162
1345	3.34515
936	2.96695
658	3.83703
503	4.72104
614	3.13835
630	2.64554
991	2.94339
1237	3.92033
937	2.8499
6194	5.22009
3363	3.95946
1512	6.76065
