Metric,Value
Sample,YAF_1
Total_Reads,120116812
Reads_in_Peaks,30317138
FRiP,0.252397
Final_Peak_Count,137730
Mean_Peak_Length,1382.99
Mean_Fold_Enrichment,4.48
