Metric,Value
Sample,GFP_2
Total_Reads,145099854
Reads_in_Peaks,53232644
FRiP,0.366869
Final_Peak_Count,125773
Mean_Peak_Length,2052.36
Mean_Fold_Enrichment,3.82
