Length	FoldEnrichment
728	3.34398
2218	3.41979
1608	3.84896
2456	3.30372
915	3.34783
8972	4.6589
23565	6.26717
19496	5.41139
2106	3.35955
17345	5.4917
7920	4.89766
4145	5.28941
907	4.04873
4867	4.69369
955	3.09291
2433	4.64407
9309	4.69671
1680	4.40482
5071	3.37506
5149	3.88589
25811	4.97688
12187	5.67922
791	3.24755
20349	4.69403
1118	4.63617
10673	4.77042
13721	4.05306
16900	4.71413
5109	4.32466
13757	4.85656
569	3.13182
637	2.80112
5100	4.72721
10375	4.45463
2232	4.49867
1225	3.86315
613	3.15325
687	4.45138
7754	4.71505
3214	9.44906
20347	4.60144
814	3.47792
1593	3.14086
1660	4.26907
7518	4.02211
1558	3.64712
3879	5.43224
4127	5.00914
5465	5.36133
2657	6.44255
942	3.09259
1779	4.65549
1125	4.33947
726	3.44989
4136	3.79976
13997	5.66094
5817	4.70515
4734	3.60371
2090	3.02628
3823	4.25807
764	2.97283
844	4.62601
967	3.4707
2778	3.85859
707	4.10388
1048	3.51096
649	2.87454
829	4.98645
577	2.92476
1254	3.75058
593	3.14631
1003	5.09117
1901	3.27828
1817	4.99608
9086	4.80408
935	3.21535
1275	4.25967
2948	4.79674
2266	3.4764
2395	3.67169
739	4.29508
838	2.79225
525	4.37032
911	3.02308
2858	3.51545
4862	4.85284
609	3.89451
922	2.98832
603	3.4547
1449	3.0382
951	3.23516
4427	4.60208
1836	3.50609
890	3.86441
3282	6.77716
2484	4.44086
16519	4.71418
527	2.99829
14306	5.20155
11830	4.91441
3698	6.65926
5952	4.96972
7418	4.10175
1762	4.04218
787	2.86864
5639	4.01264
7045	4.83579
28707	4.89658
539	4.49883
3139	4.01772
970	5.38532
2741	4.30376
8372	3.68194
1044	4.30822
13452	4.19498
2638	4.36504
13443	4.96161
5305	4.54683
6657	5.49589
640	7.01055
4123	4.1707
3356	3.68764
4868	4.22631
5933	3.79072
8982	4.76392
1572	3.39237
811	3.04248
2610	5.84715
1853	4.63743
3103	7.05168
10053	5.20152
4818	3.76441
582	2.89862
822	3.17935
1039	4.51278
519	4.31124
6496	4.43755
2242	3.63972
522	3.17173
537	3.18205
2042	3.97992
1853	3.75699
516	2.83678
1782	3.43486
7598	5.77646
6126	3.38359
1531	3.28531
14798	5.0819
615	3.42396
