"ENTREZID","SYMBOL","distanceToTSS","annotation","fold_change"
"442425","FOXB2",-674,"Promoter (<=1kb)",1.56801524304897
"55057","CRYBG2",-5940,"Exon (ENST00000475866.3/55057, exon 4 of 22)",1.56405940464096
"9381","OTOF",158,"Promoter (<=1kb)",1.56266833842975
"22994","CEP131",2221,"Promoter (2-3kb)",1.56234670593286
"6398","SECTM1",-600,"Promoter (<=1kb)",1.56039178839656
"124907998","LOC124907998",-28415,"Distal Intergenic",1.55710972421639
"220001","VWCE",7136,"Intron (ENST00000301770.10/220001, intron 4 of 19)",1.55585832987642
"8581","LY6D",-11797,"Intron (ENST00000510610.2/ENST00000510610.2, intron 2 of 2)",1.55520278961481
"340260","UNCX",41590,"Distal Intergenic",1.55512296813164
"90187","EMILIN3",2459,"Promoter (2-3kb)",1.5490910744571
"85441","HELZ2",-2158,"Promoter (2-3kb)",1.54884339039678
"9132","KCNQ4",-491,"Promoter (<=1kb)",1.54556823823908
"79258","MMEL1",6239,"Intron (ENST00000378412.8/79258, intron 9 of 23)",1.54504833826926
"152877","FAM53A",-23170,"Distal Intergenic",1.54261368022988
"220001","VWCE",2546,"Promoter (2-3kb)",1.54260564677759
"6398","SECTM1",5189,"3' UTR",1.54117451124659
"1137","CHRNA4",-3737,"Distal Intergenic",1.53949474252929
"4917","NTN3",1616,"Promoter (1-2kb)",1.5394860799784
"402160","CFAP99",376,"Promoter (<=1kb)",1.53831377046226
"387509","GPR153",1805,"Promoter (1-2kb)",1.53828300856486
"63976","PRDM16",26371,"Intron (ENST00000511072.5/63976, intron 3 of 15)",1.53595523407967
"100616381","MIR4456",1576,"Promoter (1-2kb)",1.534818550799
"9651","PLCH2",2802,"Promoter (2-3kb)",1.53344843503609
"57597","BAHCC1",-2485,"Promoter (2-3kb)",1.53261413648067
"140625","ACTRT2",-94275,"Distal Intergenic",1.52829845796232
"9394","HS6ST1",-42879,"Distal Intergenic",1.52755153406012
"54567","DLL4",9492,"Distal Intergenic",1.52684748519045
"150244","ZDHHC8BP",470,"Promoter (<=1kb)",1.52102443708566
"55698","RADIL",-3143,"Intron (ENST00000445392.5/55698, intron 3 of 14)",1.52100603017079
"4846","NOS3",443,"Promoter (<=1kb)",1.51767698671764
"9651","PLCH2",14217,"Intron (ENST00000609981.5/9651, intron 2 of 3)",1.51718358883344
"100144596","LINC00029",12690,"Intron (ENST00000606208.5/63930, intron 1 of 1)",1.51618584578754
"146713","RBFOX3",2065,"Promoter (2-3kb)",1.51412523731263
"8911","CACNA1I",22430,"Exon (ENST00000407673.5/8911, exon 21 of 35)",1.51049552801983
"5008","OSM",443,"Promoter (<=1kb)",1.50938661966984
"3700","ITIH4",1651,"Promoter (1-2kb)",1.50485650150008
"4846","NOS3",3704,"Intron (ENST00000297494.8/4846, intron 5 of 26)",1.50457272247424
"340260","UNCX",54963,"Distal Intergenic",1.50378451862949
"402635","GRIFIN",-799,"Promoter (<=1kb)",1.50331191953859
"124900612","LOC124900612",0,"Promoter (<=1kb)",1.50313718188289
"388428","PVALEF",-2591,"Promoter (2-3kb)",1.5030140974742
"101929634","LINC02280",25069,"Distal Intergenic",1.50083769769308
"399693","CCDC187",19849,"Intron (ENST00000638797.2/399693, intron 9 of 25)",1.50005064128384
"284417","TMEM150B",-1081,"Promoter (1-2kb)",1.49933243867581
"56953","NT5M",34442,"Distal Intergenic",1.49761071644463
"8786","RGS11",-465,"Promoter (<=1kb)",1.49371826646114
"11322","TMC6",-332,"Promoter (<=1kb)",1.49114273573408
"54777","CFAP46",10838,"Exon (ENST00000368586.10/54777, exon 35 of 58)",1.48907020104261
"4846","NOS3",-4529,"Distal Intergenic",1.48761431447383
"104326051","MAFA-AS1",-8619,"Distal Intergenic",1.48544841216665
"7106","TSPAN4",-170,"Promoter (<=1kb)",1.48190070530698
"441179","LOC441179",-16556,"Distal Intergenic",1.48102037181841
"254099","LINC01342",6352,"Exon (ENST00000416774.1/254099, exon 3 of 3)",1.47920858899867
"9066","SYT7",-7568,"Intron (ENST00000539008.6/9066, intron 3 of 12)",1.47894024872387
"610","HCN2",4010,"Intron (ENST00000251287.3/610, intron 1 of 7)",1.47875049302485
"8581","LY6D",-1732,"Promoter (1-2kb)",1.47818879233689
"1468","SLC25A10",25083,"Distal Intergenic",1.47757085878114
"79258","MMEL1",-21310,"Intron (ENST00000401095.9/100287898, intron 6 of 8)",1.47552264385879
"89797","NAV2",-3217,"Intron (ENST00000360655.8/89797, intron 1 of 37)",1.47142971146046
"7161","TP73",-2178,"Promoter (2-3kb)",1.4683875434095
"124925","SEZ6",956,"Promoter (<=1kb)",1.46696552347891
"3955","LFNG",-1182,"Promoter (1-2kb)",1.46529232496425
"440829","SHISA8",1016,"Promoter (1-2kb)",1.46494617739342
"146206","CARMIL2",-816,"Promoter (<=1kb)",1.46037627673655
"125206","SLC5A10",-2,"Promoter (<=1kb)",1.45755464177903
"8022","LHX3",31031,"Distal Intergenic",1.45685889017116
"440730","TRIM67",215,"Promoter (<=1kb)",1.45220606457558
"8581","LY6D",3158,"Distal Intergenic",1.44684330626528
"152877","FAM53A",15347,"Intron (ENST00000489029.1/152877, intron 1 of 1)",1.44632421280195
"400558","LINC02138",-753,"Promoter (<=1kb)",1.44510918856521
"148398","SAMD11",631,"Promoter (<=1kb)",1.4448204022242
"11156","PTP4A3",-1102,"Promoter (1-2kb)",1.44420131176168
"56996","SLC12A9",0,"Promoter (<=1kb)",1.44333504710457
"816","CAMK2B",570,"Promoter (<=1kb)",1.44132318390551
"83481","EPPK1",-11591,"Exon (ENST00000665295.1/ENST00000665295.1, exon 3 of 5)",1.44122639763285
"2837","UTS2R",358,"Promoter (<=1kb)",1.44065729382536
"50805","IRX4",783,"Promoter (<=1kb)",1.44014434078903
"56894","AGPAT3",-4048,"Intron (ENST00000291572.13/56894, intron 1 of 9)",1.4385757842392
"10882","C1QL1",-18842,"Intron (ENST00000678938.1/4836, intron 1 of 11)",1.43734433391902
"107984359","LINC02761",-27027,"Distal Intergenic",1.43729882230462
"340260","UNCX",51910,"Distal Intergenic",1.43329261210936
"5148","PDE6G",238,"Promoter (<=1kb)",1.43316180370888
"100130370","LINC03048",332,"Promoter (<=1kb)",1.43266310307194
"79883","PODNL1",0,"Promoter (<=1kb)",1.43242929348881
"3164","NR4A1",-335,"Promoter (<=1kb)",1.43221964740048
"101928087","LOC101928087",821,"Promoter (<=1kb)",1.43200524413041
"107984359","LINC02761",-66140,"Distal Intergenic",1.42849919203998
"2902","GRIN1",98,"Promoter (<=1kb)",1.42802879741107
"4846","NOS3",154,"Promoter (<=1kb)",1.42748777532206
"326","AIRE",-1234,"Promoter (1-2kb)",1.42725150955622
"389602","LOC389602",31334,"Distal Intergenic",1.42724513066072
"64170","CARD9",1642,"Promoter (1-2kb)",1.42648650565415
"1050","CEBPA",33007,"Distal Intergenic",1.42524491334887
"140625","ACTRT2",-47143,"Distal Intergenic",1.42391529807083
"2914","GRM4",3268,"Intron (ENST00000538487.7/2914, intron 1 of 10)",1.42291917116579
"101929511","LINC01970",-10374,"Distal Intergenic",1.42171983737032
"9811","CTIF",-18872,"Intron (ENST00000256413.8/9811, intron 7 of 11)",1.41919881387097
"10460","TACC3",14135,"Distal Intergenic",1.41568946518768
"124900650","LOC124900650",11481,"Distal Intergenic",1.4131360875362
"6330","SCN4B",-3169,"Distal Intergenic",1.41027232271073
"57124","CD248",335,"Promoter (<=1kb)",1.40976758440982
"51458","RHCG",2368,"Promoter (2-3kb)",1.40881088349643
"8312","AXIN1",-997,"Promoter (<=1kb)",1.40874309711251
"148398","SAMD11",-1361,"Promoter (1-2kb)",1.40631508707013
"140625","ACTRT2",-41457,"Distal Intergenic",1.40628813078261
"2642","GCGR",-1385,"Promoter (1-2kb)",1.40523210581619
