## htsjdk.samtools.metrics.StringHeader
# CollectInsertSizeMetrics HISTOGRAM_FILE=analysis/qc/GFP_1_insert_size_histogram.pdf HISTOGRAM_WIDTH=1000 MINIMUM_PCT=0.5 INPUT=analysis/aligned_new/GFP_1.dedup.bam OUTPUT=analysis/qc/GFP_1_insert_size_metrics.txt    DEVIATIONS=10.0 METRIC_ACCUMULATION_LEVEL=[ALL_READS] INCLUDE_DUPLICATES=false ASSUME_SORTED=true STOP_AFTER=0 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Thu Feb 06 14:50:38 CET 2025

## METRICS CLASS	picard.analysis.InsertSizeMetrics
MEDIAN_INSERT_SIZE	MODE_INSERT_SIZE	MEDIAN_ABSOLUTE_DEVIATION	MIN_INSERT_SIZE	MAX_INSERT_SIZE	MEAN_INSERT_SIZE	STANDARD_DEVIATION	READ_PAIRS	PAIR_ORIENTATION	WIDTH_OF_10_PERCENT	WIDTH_OF_20_PERCENT	WIDTH_OF_30_PERCENT	WIDTH_OF_40_PERCENT	WIDTH_OF_50_PERCENT	WIDTH_OF_60_PERCENT	WIDTH_OF_70_PERCENT	WIDTH_OF_80_PERCENT	WIDTH_OF_90_PERCENT	WIDTH_OF_95_PERCENT	WIDTH_OF_99_PERCENT	SAMPLE	LIBRARY	READ_GROUP
208	206	30	28	1140	240.806697	93.560134	26591991	FR	9	21	33	45	61	77	95	161	343	431	769			

## HISTOGRAM	java.lang.Integer
insert_size	All_Reads.fr_count
28	1
31	1
32	2
33	5
34	2
35	4
36	3
37	4
38	8
39	7
40	19
41	36
42	53
43	58
44	64
45	58
46	58
47	57
48	57
49	84
50	117
51	149
52	207
53	234
54	232
55	184
56	165
57	107
58	102
59	117
60	150
61	217
62	278
63	337
64	329
65	304
66	223
67	200
68	179
69	150
70	185
71	234
72	261
73	275
74	302
75	324
76	315
77	241
78	222
79	216
80	227
81	235
82	260
83	290
84	325
85	320
86	278
87	289
88	281
89	251
90	270
91	267
92	282
93	290
94	272
95	362
96	333
97	303
98	309
99	276
100	334
101	294
102	339
103	342
104	401
105	388
106	402
107	435
108	445
109	417
110	435
111	373
112	393
113	407
114	407
115	484
116	483
117	511
118	513
119	500
120	490
121	463
122	452
123	436
124	450
125	505
126	535
127	543
128	577
129	615
130	639
131	618
132	546
133	485
134	499
135	479
136	571
137	532
138	576
139	578
140	649
141	688
142	891
143	927
144	967
145	973
146	1310
147	1825
148	3789
149	11693
150	117431
151	132284
152	147882
153	150957
154	151914
155	153229
156	154543
157	152146
158	123143
159	110781
160	114886
161	128706
162	158133
163	193650
164	225319
165	254456
166	271535
167	264273
168	231871
169	189284
170	153698
171	142380
172	158577
173	196484
174	247485
175	297334
176	326462
177	326875
178	294028
179	244736
180	197154
181	168490
182	165510
183	190499
184	232693
185	280005
186	318769
187	332116
188	316310
189	274927
190	227711
191	192784
192	180673
193	190741
194	220629
195	253665
196	290615
197	306777
198	305114
199	277387
200	248037
201	217121
202	245422
203	248797
204	233132
205	372039
206	418098
207	373944
208	349478
209	371397
210	296211
211	260555
212	204484
213	189933
214	197186
215	246514
216	221406
217	214197
218	216265
219	203358
220	181469
221	162987
222	150260
223	144780
224	146590
225	153111
226	159998
227	164324
228	162568
229	153055
230	141428
231	128961
232	120157
233	115810
234	116837
235	120675
236	124630
237	124935
238	120405
239	113887
240	104641
241	95693
242	89845
243	86258
244	86062
245	89657
246	93476
247	93664
248	89198
249	82597
250	75007
251	68892
252	63212
253	60434
254	59618
255	60274
256	59921
257	59560
258	57907
259	54535
260	50909
261	46631
262	42152
263	39838
264	38268
265	37538
266	37277
267	37306
268	36681
269	34703
270	32717
271	31234
272	28558
273	26902
274	25866
275	25049
276	25094
277	25447
278	24853
279	24492
280	23194
281	21683
282	20342
283	18755
284	18217
285	17970
286	18271
287	18695
288	19347
289	19471
290	18812
291	17856
292	16809
293	15161
294	14518
295	14360
296	15217
297	16261
298	17777
299	18664
300	19260
301	18378
302	17029
303	15464
304	14343
305	14284
306	14862
307	16475
308	18362
309	20157
310	21721
311	21476
312	20188
313	18625
314	17215
315	16444
316	17034
317	18600
318	21227
319	23815
320	25908
321	26629
322	25750
323	24670
324	22853
325	21563
326	21585
327	22863
328	25577
329	28570
330	31078
331	32621
332	32513
333	31020
334	29145
335	27280
336	27361
337	28206
338	30025
339	32835
340	35854
341	37290
342	37828
343	37000
344	35055
345	33571
346	32953
347	33177
348	34489
349	36758
350	39126
351	40524
352	41340
353	40567
354	39685
355	38031
356	36995
357	36970
358	38002
359	39409
360	41531
361	42557
362	42830
363	42478
364	41524
365	40229
366	39245
367	38947
368	39355
369	40600
370	41249
371	42101
372	42573
373	41922
374	40701
375	39499
376	38360
377	38036
378	38399
379	38949
380	39629
381	40099
382	40118
383	39235
384	38216
385	37054
386	36378
387	35563
388	35432
389	36037
390	36193
391	36291
392	36008
393	35454
394	34260
395	33191
396	32363
397	31021
398	31209
399	31239
400	31106
401	31263
402	30837
403	29991
404	29368
405	28424
406	27749
407	26803
408	25969
409	26219
410	25726
411	25407
412	25106
413	24590
414	23659
415	22959
416	22308
417	21599
418	21177
419	20576
420	20371
421	20173
422	19602
423	19165
424	18637
425	17778
426	17512
427	16983
428	16396
429	16005
430	15615
431	15187
432	14935
433	14518
434	14070
435	13750
436	12802
437	12393
438	12022
439	11732
440	11485
441	11378
442	10929
443	10574
444	10467
445	9987
446	9644
447	9333
448	8926
449	8514
450	8411
451	8169
452	7845
453	7754
454	7452
455	7248
456	6985
457	6832
458	6444
459	6196
460	6096
461	5944
462	5893
463	5795
464	5545
465	5336
466	5306
467	5140
468	4864
469	4737
470	4645
471	4616
472	4506
473	4444
474	4448
475	4302
476	4111
477	4061
478	4005
479	3887
480	3886
481	3734
482	3926
483	3764
484	3752
485	3667
486	3782
487	3697
488	3602
489	3504
490	3569
491	3367
492	3581
493	3610
494	3589
495	3615
496	3539
497	3541
498	3643
499	3546
500	3642
501	3665
502	3685
503	3711
504	3812
505	3828
506	3848
507	3859
508	3688
509	3895
510	3894
511	3960
512	3974
513	4015
514	4214
515	4159
516	4264
517	4293
518	4365
519	4356
520	4419
521	4434
522	4507
523	4453
524	4620
525	4771
526	4798
527	4774
528	4795
529	4904
530	4868
531	5060
532	5094
533	5051
534	4996
535	5224
536	5367
537	5359
538	5372
539	5349
540	5251
541	5330
542	5448
543	5437
544	5560
545	5598
546	5611
547	5711
548	5689
549	5610
550	5584
551	5629
552	5772
553	5887
554	5896
555	5857
556	5997
557	5811
558	5907
559	5803
560	5654
561	5778
562	5666
563	5674
564	5845
565	5793
566	5837
567	5854
568	5773
569	5869
570	5815
571	5651
572	5670
573	5642
574	5583
575	5635
576	5602
577	5501
578	5418
579	5491
580	5307
581	5320
582	5192
583	5222
584	5132
585	5187
586	5018
587	5032
588	5054
589	4943
590	4890
591	4749
592	4642
593	4623
594	4578
595	4561
596	4420
597	4371
598	4298
599	4224
600	4144
601	3989
602	3999
603	3839
604	3923
605	3827
606	3678
607	3625
608	3568
609	3584
610	3487
611	3351
612	3289
613	3227
