"gene_id","gene_name","log2FC_expr","regulation","YAF_1","YAF_2","YAF_3","GFP_1","GFP_2","GFP_3","YAF_avg","GFP_avg","log2FC_binding"
"ENSG00000000938","FGR",1.51398360416918,"Upregulated",8.72607563899623,19.4293700186711,19.8487158606075,32.8954689280192,18.1090786555854,28.2076637778963,16.0013871727583,26.4040704538336,-0.719028958247955
"ENSG00000001617","SEMA3F",6.45082375102075,"Upregulated",12.9270081141041,26.4834868774332,27.3001562023705,45.9836439691515,33.4835088108953,47.4470957193415,22.2368837313026,42.3047494997961,-0.92479793515129
"ENSG00000002079","MYH16",2.28644760532089,"Upregulated",21.4153873933987,8.00574877032212,9.17263218995772,17.1939273855292,16.9053422172864,12.4802008996839,12.8645894512262,15.5264901674998,-0.269417252890188
"ENSG00000002726","AOC1",6.38843501329713,"Upregulated",32.3976181645521,32.0945250657857,29.98662988617,30.2231898795208,41.0903153926441,33.2994577389408,31.4929243721693,34.8709876703686,-0.146557056913544
"ENSG00000003137","CYP26B1",2.61205163823293,"Upregulated",23.0449459383674,24.0548138497751,20.5464646560058,41.692119240382,16.3615313260426,40.2262541351065,22.5487414813828,32.7599682338437,-0.536900199098494
"ENSG00000003400","CASP10",1.87180670151415,"Upregulated",5.45104330671685,4.8430941874111,5.36589353143676,6.6991877222603,11.0994355819727,6.78828161904367,5.22001034185491,8.19563497442557,-0.640923363637103
"ENSG00000004799","PDK4",1.45351966062814,"Upregulated",20.7805360243238,23.4148183635929,19.5465485425222,24.0959826203879,17.5887238204479,27.3954839769163,21.247300976813,23.0267301392507,-0.115507623694425
"ENSG00000004939","SLC4A1",5.03053500651587,"Upregulated",35.4222768637323,53.2679354089205,46.4859912016175,74.2034479868217,46.3175512234717,73.3551305778922,45.0587344914234,64.6253765960619,-0.519326397056425
"ENSG00000005001","PRSS22",5.65812336180937,"Upregulated",15.1241689652205,18.2238902968999,16.3025684402539,24.8087172980876,13.5806645116557,33.2788236981944,16.5502092341248,23.8894018359792,-0.52685687820898
"ENSG00000005102","MEOX1",8.65356223572654,"Upregulated",31.4484185633675,28.6662461443951,37.9599343778285,38.56321754867,34.0891968077356,37.3186265164559,32.6915330285304,36.6570136242871,-0.164696207210603
"ENSG00000005379","TSPOAP1",4.78493352573523,"Upregulated",12.7452109023448,37.6238268713156,34.2540989345286,43.7471496475397,30.8160547012,49.2395026337208,28.207712236063,41.2675689941535,-0.547305019999135
"ENSG00000005513","SOX8",5.23318641230779,"Upregulated",1.83729269997827,8.18211170958896,5.28695592231918,30.5847150524657,10.2114322315778,23.6977011135221,5.1021201106288,21.4979494658552,-2.05372273291255
"ENSG00000005844","ITGAL",2.56342969585463,"Upregulated",4.44012334280544,5.51143625466263,6.30591737021,6.96318258673458,11.3920348308588,7.61430516778206,5.41915898922602,8.65650752845849,-0.665907130224058
"ENSG00000005884","ITGA3",1.08557884702902,"Upregulated",24.0439111564281,19.5361817604617,23.738790205948,19.2292982327041,15.0176816782183,27.5136434931353,22.4396277076126,20.5868744680192,0.123747998161679
"ENSG00000005961","ITGA2B",1.96400379260917,"Upregulated",23.2697686053986,20.563082218564,20.8847297667897,23.5670532463678,18.4276939770755,19.4197628468275,21.5725268635841,20.4715033567569,0.0752201420336095
"ENSG00000006016","CRLF1",2.83141501564184,"Upregulated",19.8451409092151,29.7805540074693,30.580884274016,66.3427332387426,50.2742907740176,65.0300777162242,26.7355263969001,60.5490339096614,-1.17634047673484
"ENSG00000006047","YBX2",3.76525901001777,"Upregulated",11.445171189829,22.9847551998885,21.1805984640011,53.2341426889102,22.4763774838358,49.7264356121104,18.5368416179062,41.8123185949521,-1.16921694630886
"ENSG00000006062","MAP3K14",1.33769266916796,"Upregulated",23.3988672724004,40.8968003765354,39.5742527745728,31.3035808105384,23.9589479200503,36.8823220203449,34.6233068078362,30.7149502503112,0.172273884706691
"ENSG00000006283","CACNA1G",1.84177918941894,"Upregulated",30.1879231954107,43.5908407292468,36.5496622754746,98.1838293341526,37.2402164770497,92.9132824103703,36.7761420667107,76.1124427405242,-1.04733882615341
"ENSG00000006453","BAIAP2L1",1.07893706183471,"Upregulated",6.03909491357349,15.3466548504086,11.7617246035648,17.8691822325655,21.2357295039223,27.5536001511474,11.0491581225156,22.2195039625451,-1.00137018873358
"ENSG00000006555","TTC22",6.2184077032784,"Upregulated",14.7871925162745,16.8285922228955,11.0881847890455,27.4544260040289,13.1684346055024,21.0450479051187,14.2346565094052,20.5559695048833,-0.527051441082907
"ENSG00000007062","PROM1",5.54354070664657,"Upregulated",9.83764494160811,8.76804554834962,13.0938414617589,12.4724969119666,10.7512175367637,17.3402878891338,10.5665106505722,13.5213341126214,-0.352779709324557
"ENSG00000007171","NOS2",1.73400576072203,"Upregulated",8.67674056172371,8.13877973422198,13.0143730465485,14.7586866140366,21.4497403888019,16.039133976659,9.94329778083139,17.4158536598325,-0.802428236440262
"ENSG00000007216","SLC13A2",5.2835875244014,"Upregulated",19.9877552115298,32.1492778359586,29.0094862225689,57.9023359464907,45.8109270647374,62.4348982273306,27.0488397566858,55.3827204128529,-1.03114798343181
"ENSG00000007264","MATK",6.87086172614228,"Upregulated",15.0328526792363,19.4793920962707,18.5174431789039,51.3117434076902,21.3054642578458,42.2058238840511,17.6765626514703,38.2743438498624,-1.11016569678296
"ENSG00000007312","CD79B",4.68764558195955,"Upregulated",9.17072032823741,26.8544351372678,19.7240046384599,57.4333847282279,38.0812292220981,65.402002553786,18.5830533679884,53.6388721680373,-1.52423578974282
