gene_id,gene_name
ENSG00000251595.7,ABCA11P
ENSG00000114770.17,ABCC5
ENSG00000033050.9,ABCF2
ENSG00000285292.1,ABCF2-H2BK1
ENSG00000100997.20,ABHD12
ENSG00000107362.14,ABHD17B
ENSG00000119328.12,ABITRAM
ENSG00000072778.20,ACADVL
ENSG00000078124.13,ACER3
ENSG00000144648.16,ACKR2
ENSG00000162836.12,ACP6
ENSG00000178631.7,ACTG1P1
ENSG00000115170.16,ACVR1
ENSG00000145808.10,ADAMTS19
ENSG00000158859.10,ADAMTS4
ENSG00000112414.15,ADGRG6
ENSG00000144820.8,ADGRG7
ENSG00000235102.1,ADI1P1
ENSG00000156110.15,ADK
ENSG00000259456.4,ADNP-AS1
ENSG00000236136.1,ADORA2BP1
ENSG00000139154.16,AEBP2
ENSG00000130396.22,AFDN
ENSG00000261011.1,AGAP11
ENSG00000146856.14,AGBL3
ENSG00000106351.13,AGFG2
ENSG00000204310.13,AGPAT1
ENSG00000158467.17,AHCYL2
ENSG00000124942.14,AHNAK
ENSG00000106546.14,AHR
ENSG00000147853.17,AK3
ENSG00000011243.19,AKAP8L
ENSG00000122787.15,AKR1D1
ENSG00000059573.9,ALDH18A1
ENSG00000072210.19,ALDH3A2
ENSG00000119711.13,ALDH6A1
ENSG00000088035.18,ALG6
ENSG00000171094.18,ALK
ENSG00000167772.12,ANGPTL4
ENSG00000151687.15,ANKAR
ENSG00000131503.21,ANKHD1
ENSG00000249637.4,ANKHD1-DT
ENSG00000254996.5,ANKHD1-EIF4EBP3
ENSG00000148677.7,ANKRD1
ENSG00000230453.11,ANKRD18B
ENSG00000186106.11,ANKRD46
ENSG00000169604.21,ANTXR1
ENSG00000230539.1,AOAH-IT1
ENSG00000182287.15,AP1S2
ENSG00000196961.13,AP2A1
ENSG00000042753.12,AP2S1
ENSG00000132842.15,AP3B1
ENSG00000185009.13,AP3M1
ENSG00000221963.6,APOL6
ENSG00000274823.1,APONP
ENSG00000146376.11,ARHGAP18
ENSG00000226835.4,ARHGAP29-AS1
ENSG00000147799.12,ARHGAP39
ENSG00000224276.1,ARHGEF2-AS1
ENSG00000243069.9,ARHGEF26-AS1
ENSG00000129675.16,ARHGEF6
ENSG00000102931.8,ARL2BP
ENSG00000162980.17,ARL5A
ENSG00000170632.14,ARMC10
ENSG00000198520.12,ARMH1
ENSG00000213081.3,ARPC1BP1
ENSG00000162704.16,ARPC5
ENSG00000140450.9,ARRDC4
ENSG00000156219.18,ART3
ENSG00000153317.15,ASAP1
ENSG00000183475.13,ASB7
ENSG00000137343.18,ATAT1
ENSG00000115966.18,ATF2
ENSG00000267281.3,ATF7-NPFF
ENSG00000198513.14,ATL1
ENSG00000047346.13,ATOSA
ENSG00000267376.1,ATP5MGP6
ENSG00000241837.7,ATP5PO
ENSG00000130270.16,ATP8B3
ENSG00000054793.14,ATP9A
ENSG00000088812.18,ATRN
ENSG00000162885.14,B3GALNT2
ENSG00000176597.12,B3GNT5
ENSG00000163930.10,BAP1
ENSG00000214413.9,BBIP1
ENSG00000129151.9,BBOX1
ENSG00000138686.10,BBS7
ENSG00000261501.1,BBS7-DT
ENSG00000132692.19,BCAN
ENSG00000083123.15,BCKDHB
ENSG00000278616.1,BEND3P3
ENSG00000115760.16,BIRC6
ENSG00000197299.13,BLM
ENSG00000196072.12,BLOC1S2
ENSG00000189114.8,BLOC1S3
ENSG00000090013.11,BLVRB
ENSG00000276500.1,BMS1P14
ENSG00000164603.12,BMT2
ENSG00000169594.14,BNC1
ENSG00000225439.4,BOLA3-DT
ENSG00000136122.18,BORA
ENSG00000104331.9,BPNT2
ENSG00000012048.24,BRCA1
ENSG00000267595.1,BRCA1P1
ENSG00000275048.1,BSNDP1
ENSG00000064726.10,BTBD1
ENSG00000233791.7,BTG2-DT
ENSG00000154473.18,BUB3
ENSG00000136261.16,BZW2
ENSG00000237489.5,C10orf143
ENSG00000120055.7,C10orf95
ENSG00000169609.14,C15orf40
ENSG00000287151.1,C2orf27A
ENSG00000114529.13,C3orf52
ENSG00000180044.6,C3orf80
ENSG00000154274.15,C4orf19
ENSG00000178776.5,C5orf46
ENSG00000197261.12,C6orf141
ENSG00000136197.14,C7orf25
ENSG00000164746.14,C7orf57
ENSG00000288596.2,C8orf44
ENSG00000288602.1,C8orf44-SGK3
ENSG00000253250.3,C8orf88
ENSG00000155621.15,C9orf85
ENSG00000185015.8,CA13
ENSG00000290746.1,CA5BP1
ENSG00000219188.1,CACYBPP3
ENSG00000164304.16,CAGE1
ENSG00000136436.15,CALCOCO2
ENSG00000179218.15,CALR
ENSG00000148660.22,CAMK2G
ENSG00000163888.4,CAMK2N2
ENSG00000130559.19,CAMSAP1
ENSG00000238058.2,CAMSAP1-DT
ENSG00000237728.2,CAMTA1-AS2
ENSG00000111530.13,CAND1
ENSG00000079691.19,CARMIL1
ENSG00000118412.13,CASP8AP2
ENSG00000121691.7,CAT
ENSG00000266405.3,CBX3P2
ENSG00000204659.5,CBY3
ENSG00000135205.15,CCDC146
ENSG00000198937.9,CCDC167
ENSG00000122483.18,CCDC18
ENSG00000283247.2,CCDC201
ENSG00000024862.18,CCDC28A
ENSG00000279968.3,CCDC28A-AS1
ENSG00000186409.19,CCDC30
ENSG00000128891.17,CCDC32
ENSG00000284862.3,CCDC39
ENSG00000152492.15,CCDC50
ENSG00000104983.8,CCDC61
ENSG00000149231.16,CCDC82
ENSG00000179071.5,CCDC89
ENSG00000277632.2,CCL3
ENSG00000108700.5,CCL8
ENSG00000113328.19,CCNG1
ENSG00000134480.16,CCNH
ENSG00000290445.1,CCNYL2
ENSG00000146731.11,CCT6A
ENSG00000236137.1,CD101-AS1
ENSG00000012124.17,CD22
ENSG00000117335.21,CD46
ENSG00000196776.17,CD47
ENSG00000135404.12,CD63
ENSG00000129226.14,CD68
ENSG00000291040.1,CD99P1
ENSG00000223773.10,CD99P1
ENSG00000004897.12,CDC27
ENSG00000168438.15,CDC40
ENSG00000197622.13,CDC42SE1
ENSG00000111665.12,CDCA3
ENSG00000164649.20,CDCA7L
ENSG00000062038.15,CDH3
ENSG00000163624.6,CDS1
ENSG00000101290.14,CDS2
ENSG00000186166.9,CENATAC
ENSG00000255121.2,CENATAC-DT
ENSG00000103995.14,CEP152
ENSG00000143702.16,CEP170
ENSG00000133393.13,CEP20
ENSG00000126001.17,CEP250
ENSG00000114107.9,CEP70
ENSG00000130695.16,CEP85
ENSG00000121289.18,CEP89
ENSG00000139624.14,CERS5
ENSG00000147400.10,CETN2
ENSG00000153140.9,CETN3
ENSG00000163689.21,CFAP20DC
ENSG00000243295.2,CFAP20DC-DT
ENSG00000204711.9,CFAP95
ENSG00000225626.4,CFAP95-DT
ENSG00000170791.18,CHCHD7
ENSG00000259156.8,CHEK2P2
ENSG00000109220.11,CHIC2
ENSG00000203668.3,CHML
ENSG00000111666.11,CHPT1
ENSG00000133019.12,CHRM3
ENSG00000169684.13,CHRNA5
ENSG00000175264.8,CHST1
ENSG00000166797.11,CIAO2A
ENSG00000159208.16,CIART
ENSG00000079432.9,CIC
ENSG00000247572.9,CKMT2-AS1
ENSG00000236915.3,CLCA4-AS1
ENSG00000261210.8,CLEC19A
ENSG00000169504.15,CLIC4
ENSG00000176444.19,CLK2
ENSG00000171603.18,CLSTN1
ENSG00000147003.7,CLTRN
ENSG00000125107.19,CNOT1
ENSG00000119865.9,CNRIP1
ENSG00000135775.14,COG2
ENSG00000164692.19,COL1A2
ENSG00000188243.14,COMMD6
ENSG00000172301.11,COPRS
ENSG00000144524.18,COPS7B
ENSG00000251552.1,COQ10BP2
ENSG00000106034.18,CPED1
ENSG00000182158.16,CREB3L2
ENSG00000175874.10,CREG2
ENSG00000227684.3,CROCCP4
ENSG00000005469.12,CROT
ENSG00000259736.1,CRTC3-AS1
ENSG00000291087.1,CRYBB2P1
ENSG00000230013.2,CT70
ENSG00000184033.14,CTAG1B
ENSG00000259595.1,CTDSPL2-DT
ENSG00000116761.12,CTH
ENSG00000246889.3,CTTN-DT
ENSG00000251032.1,CUL1P1
ENSG00000265766.3,CXADRP3
ENSG00000163734.4,CXCL3
ENSG00000169429.12,CXCL8
ENSG00000172215.6,CXCR6
ENSG00000103018.18,CYB5B
ENSG00000172817.4,CYP7B1
ENSG00000120306.11,CYSTM1
ENSG00000100592.16,DAAM1
ENSG00000226950.8,DANCR
ENSG00000070190.13,DAPP1
ENSG00000006634.8,DBF4
ENSG00000143164.16,DCAF6
ENSG00000172992.13,DCAKD
ENSG00000245614.6,DDX11-AS1
ENSG00000232928.2,DDX3P1
ENSG00000204547.8,DEFB122
ENSG00000213047.13,DENND1B
ENSG00000175984.15,DENND2C
ENSG00000137145.21,DENND4C
ENSG00000024526.17,DEPDC1
ENSG00000035499.13,DEPDC1B
ENSG00000278535.5,DHRS11
ENSG00000067596.12,DHX8
ENSG00000162946.23,DISC1
ENSG00000154309.9,DISP1
ENSG00000231764.11,DLX6-AS1
ENSG00000125375.18,DMAC2L
ENSG00000167646.14,DNAAF3
ENSG00000162643.13,DNAI3
ENSG00000138246.17,DNAJC13
ENSG00000168724.18,DNAJC21
ENSG00000102580.15,DNAJC3
ENSG00000247400.6,DNAJC3-DT
ENSG00000079805.19,DNM2
ENSG00000197959.15,DNM3
ENSG00000230630.5,DNM3OS
ENSG00000147251.16,DOCK11
ENSG00000116641.18,DOCK7
ENSG00000101134.12,DOK5
ENSG00000142197.13,DOP1B
ENSG00000189212.15,DPY19L2P1
ENSG00000170629.17,DPY19L2P2
ENSG00000225100.2,DPY19L2P5
ENSG00000156171.15,DRAM2
ENSG00000171962.18,DRC3
ENSG00000230366.9,DSCR9
ENSG00000144048.11,DUSP11
ENSG00000276023.5,DUSP14
ENSG00000258567.1,DUX4L16
ENSG00000259154.1,DUX4L17
ENSG00000205579.3,DYNLL1P1
ENSG00000223601.3,EBLN1
ENSG00000116406.20,EDEM3
ENSG00000151617.17,EDNRA
ENSG00000226845.1,EEF1GP3
ENSG00000122547.11,EEPD1
