gene_id,gene_name
ENSG00000202198.1,7SK
ENSG00000291076.1,AADACP1
ENSG00000240602.10,AADACP1
ENSG00000281376.1,ABALON
ENSG00000251595.7,ABCA11P
ENSG00000179869.15,ABCA13
ENSG00000189149.12,ABCA15P
ENSG00000117528.14,ABCD3
ENSG00000144827.9,ABHD10
ENSG00000100997.20,ABHD12
ENSG00000107362.14,ABHD17B
ENSG00000117054.15,ACADM
ENSG00000075239.14,ACAT1
ENSG00000112304.11,ACOT13
ENSG00000101473.17,ACOT8
ENSG00000161533.12,ACOX1
ENSG00000136518.17,ACTL6A
ENSG00000131966.14,ACTR10
ENSG00000123612.16,ACVR1C
ENSG00000170634.13,ACYP2
ENSG00000168803.16,ADAL
ENSG00000075340.23,ADD2
ENSG00000152990.14,ADGRA3
ENSG00000197894.12,ADH5
ENSG00000156110.15,ADK
ENSG00000259456.4,ADNP-AS1
ENSG00000196526.11,AFAP1
ENSG00000130396.22,AFDN
ENSG00000119844.17,AFTPH
ENSG00000260101.2,AFTPH-DT
ENSG00000250131.2,AGA-DT
ENSG00000261011.1,AGAP11
ENSG00000106351.13,AGFG2
ENSG00000204310.13,AGPAT1
ENSG00000158467.17,AHCYL2
ENSG00000100591.8,AHSA1
ENSG00000085231.14,AK6
ENSG00000155085.16,AK9
ENSG00000023516.9,AKAP11
ENSG00000259367.1,AKAP13-AS1
ENSG00000011243.19,AKAP8L
ENSG00000059573.9,ALDH18A1
ENSG00000165092.13,ALDH1A1
ENSG00000136010.14,ALDH1L2
ENSG00000119711.13,ALDH6A1
ENSG00000143149.13,ALDH9A1
ENSG00000214160.10,ALG3
ENSG00000171094.18,ALK
ENSG00000244926.7,ALKBH3-AS1
ENSG00000242110.9,AMACR
ENSG00000159461.15,AMFR
ENSG00000232601.1,ANAPC15P2
ENSG00000167772.12,ANGPTL4
ENSG00000151687.15,ANKAR
ENSG00000185722.18,ANKFY1
ENSG00000131503.21,ANKHD1
ENSG00000254996.5,ANKHD1-EIF4EBP3
ENSG00000132466.20,ANKRD17
ENSG00000230453.11,ANKRD18B
ENSG00000196593.10,ANKRD20A19P
ENSG00000172014.14,ANKRD20A4P
ENSG00000290972.1,ANKRD20A5P
ENSG00000225979.1,ANKRD44-DT
ENSG00000186106.11,ANKRD46
ENSG00000168876.9,ANKRD49
ENSG00000185046.20,ANKS1B
