"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0007409","axonogenesis","148/3264","448/18870",2.1911787154041e-16,1.36773375415524e-12,1.15025350039161e-12,"1123/7204/10512/351/8828/23499/4693/4853/4781/9037/9369/3480/2803/4897/57698/23022/22902/1496/23303/5747/6696/26053/1600/658/288/8829/107/26230/5454/2131/91653/4915/5604/65059/7414/9353/2044/5048/7074/23105/334/3320/57154/91584/2064/9334/85449/999/81565/9241/9423/4858/23242/5649/5362/9355/2043/9890/3984/64221/10509/7474/1436/90249/5797/1002/7422/64855/7476/644168/6387/1813/56896/4756/2048/27023/4504/5802/1267/5727/4130/2909/3800/9638/64919/51393/54437/1942/6469/11344/123016/2011/886/4135/23394/23129/219699/4009/57731/5459/1749/4914/57689/2051/256158/54538/10507/1947/6477/153478/4137/6585/2736/56956/55201/60/284656/10439/9706/494470/64218/5076/57453/343472/115557/3897/393/1908/1954/1382/5361/4099/4854/89780/89884/10501/2047/2625/137970/5979/2049/6794/9024/51199/575/445582/65078/8022",148
"GO:0007411","axon guidance","87/3264","233/18870",1.82092539023393e-13,3.78873876194672e-10,3.18629997231459e-10,"1123/7204/10512/351/8828/4693/4853/4781/9037/9369/4897/23022/5747/658/8829/2131/91653/9353/2044/91584/2064/85449/9241/9423/4858/5649/5362/9355/2043/64221/10509/7474/1436/90249/5797/1002/7422/64855/644168/6387/56896/4756/2048/5727/2909/3800/9638/64919/54437/1942/6469/123016/23129/219699/4009/5459/1749/4914/2051/256158/54538/10507/1947/6477/153478/6585/2736/56956/284656/494470/64218/57453/115557/3897/1908/1954/5361/4854/89780/89884/10501/2047/2625/137970/5979/2049/8022",87
"GO:0097485","neuron projection guidance","87/3264","233/18870",1.82092539023393e-13,3.78873876194672e-10,3.18629997231459e-10,"1123/7204/10512/351/8828/4693/4853/4781/9037/9369/4897/23022/5747/658/8829/2131/91653/9353/2044/91584/2064/85449/9241/9423/4858/5649/5362/9355/2043/64221/10509/7474/1436/90249/5797/1002/7422/64855/644168/6387/56896/4756/2048/5727/2909/3800/9638/64919/54437/1942/6469/123016/23129/219699/4009/5459/1749/4914/2051/256158/54538/10507/1947/6477/153478/6585/2736/56956/284656/494470/64218/57453/115557/3897/1908/1954/5361/4854/89780/89884/10501/2047/2625/137970/5979/2049/8022",87
"GO:0050770","regulation of axonogenesis","64/3264","157/18870",3.20536931308879e-12,4.39808712835871e-09,3.69875723184622e-09,"1123/10512/23499/9037/2803/57698/22902/23303/6696/1600/8829/26230/5454/4915/5604/9353/5048/7074/23105/57154/91584/999/9423/5362/2043/3984/10509/7474/1002/7422/7476/6387/2048/4504/5802/2909/51393/54437/1942/11344/2011/4135/23394/23129/57689/10507/4137/6585/9706/64218/3897/393/1954/1382/5361/4099/89780/10501/5979/2049/6794/9024/51199/65078",64
"GO:0060560","developmental growth involved in morphogenesis","87/3264","244/18870",3.52297911595539e-12,4.39808712835871e-09,3.69875723184622e-09,"10512/351/8826/8828/23499/9037/2803/4897/57698/342184/22902/6696/26053/8829/57669/221074/2131/9043/374/65059/7414/2099/23327/9353/10253/5048/7074/23105/3320/57154/9699/91584/2246/999/81565/9423/23242/9355/3984/1435/10509/7474/6928/1002/7422/6387/56924/123904/4504/5802/51299/9863/51393/54437/6469/11344/23025/53335/23394/7852/5459/6422/10507/4137/6585/8128/10439/9706/64218/127833/343472/3897/113622/393/1908/1954/1382/5361/4099/89780/114804/10501/8437/6794/51199/5590/65078",87
"GO:0010720","positive regulation of cell development","135/3264","444/18870",4.97256571556206e-12,5.17312586608973e-09,4.35055881114175e-09,"55626/1462/23499/7292/4124/4853/3575/9037/2803/57698/22902/1003/5991/7052/5530/861/4739/3066/406991/8829/3146/11221/26230/4915/939/5604/3601/5764/9353/55193/5048/9308/646/50937/9398/6009/7074/2309/5583/7071/10221/5578/57154/57521/91584/604/170825/1523/9423/5649/5362/2043/57178/3984/1435/118738/2119/9580/3815/128506/1002/7422/3567/64855/6387/56998/100/1813/23440/6376/146433/2048/6605/81501/558/63925/133522/51393/7804/6469/11344/4135/23394/8111/23129/7852/84630/7040/176/4092/7704/3707/57492/4036/10507/4920/4137/2736/60/7122/85358/2242/9148/51176/7732/274/3897/706/146850/864/3594/1954/1382/60484/5361/4099/1627/89780/51412/54997/2625/1463/4654/816/10636/5979/6794/57465/3965/9001/7472/51199/5590/7161/84504",135
"GO:0010975","regulation of neuron projection development","136/3264","453/18870",1.13160945647398e-11,1.00907231818723e-08,8.48622008937705e-09,"1123/4734/10512/23499/9037/26115/3480/2803/4897/57698/22902/950/1496/23303/4921/5780/5530/6696/1600/3066/8829/2889/23345/221074/26230/5454/6695/4915/5604/25791/3601/23327/84709/5764/9353/5048/23251/7074/10084/23105/84879/57154/1608/91584/1523/999/81565/9423/4858/23242/5649/5362/2043/3984/64221/10509/7474/8321/1002/7422/29956/7476/6387/57580/56896/238/6376/1400/4756/4919/2048/4504/5802/153090/2909/9863/9638/51393/54437/1942/7804/5792/11344/2011/4135/53335/23394/23129/65009/6422/4914/57689/10507/1072/4920/80725/4137/6585/112755/29993/2056/9706/85358/64218/2242/57554/23413/1136/3897/393/1398/1954/1382/5361/4099/1627/89780/10501/2625/816/547/5979/2049/2672/6794/23237/9024/57465/115703/51199/85442/2580/126520/65078/129807/26012",136
"GO:0048588","developmental cell growth","84/3264","239/18870",1.95923119830916e-11,1.52869014248072e-08,1.28561657710102e-08,"10512/351/8826/8828/23499/9037/2803/4897/57698/22902/6696/26053/8829/8470/221074/2131/9043/65059/7414/23327/9353/5048/7074/23105/3320/57154/9699/91584/999/81565/9423/23242/9355/3984/10509/7474/1002/7422/6387/2539/56924/123904/4504/5802/51299/51393/54437/11344/23025/53335/407010/23394/7852/4092/5459/2626/221476/10507/4137/6585/8128/10439/9706/64218/127833/343472/3275/3897/393/1908/1954/1382/5361/4099/89780/114804/10501/8437/6794/5465/27086/51199/5590/65078",84
"GO:1990138","neuron projection extension","68/3264","179/18870",3.15645286499828e-11,2.18917542036881e-08,1.84107958336216e-08,"10512/8826/8828/23499/9037/2803/4897/57698/22902/26053/8829/221074/9043/65059/7414/23327/9353/5048/7074/3320/57154/9699/91584/999/81565/9423/9355/3984/10509/7474/1002/7422/6387/56924/123904/4504/5802/51299/51393/54437/11344/23025/53335/23394/7852/5459/10507/4137/6585/8128/10439/9706/64218/127833/343472/3897/393/1908/1954/5361/4099/89780/114804/10501/8437/6794/5590/65078",68
"GO:0034329","cell junction assembly","132/3264","446/18870",6.67768431667931e-11,3.88512786928892e-08,3.26736246549585e-08,"351/667/23499/9448/54674/8777/4897/342184/1003/1004/27286/10207/5747/7082/83700/3791/4088/8829/2889/90102/57669/23603/5795/4915/7057/7414/3556/83660/10718/287/5583/5175/222256/79977/5578/9231/928/84525/22998/999/143162/9423/10391/3690/9806/653464/7474/60437/6615/8321/3678/6548/23284/1002/1495/7422/1501/4649/7476/26047/40/221935/5786/1813/201163/2239/23562/1364/2048/266727/266743/5802/57502/22941/7058/24146/1812/55203/165257/2701/54549/27253/23394/23129/1001/4092/6904/9948/6422/6712/183/4914/347/54361/11170/22883/10507/1016/6585/8128/613/60/5317/149461/51599/7122/6624/85358/64218/9379/1969/119/1398/6714/84623/23616/1613/89780/29984/4868/261734/2047/94/3728/2049/23396/575/26280/79778/375790/11187/1013",132
