"ENTREZID","SYMBOL","distanceToTSS","annotation","fold_change","p_value","FDR"
"84978","FRMD5",-331,"Promoter (<=1kb)",1.48142436192354,3.0523376899862e-18,6.86172611168641e-16
"51496","CTDSPL2",-1114,"Promoter (1-2kb)",1.47659433873984,2.57451577157216e-08,2.26653521911678e-07
"8899","PRPF4B",-655,"Promoter (<=1kb)",1.47042475320746,1.45041822669932e-10,2.68848855002665e-09
"4763","NF1",-858,"Promoter (<=1kb)",1.46924905691686,1.37576652555342e-09,1.81430383618856e-08
"102724775","LOC102724775",0,"Promoter (<=1kb)",1.46754820979439,6.98037392611682e-21,3.92702634032242e-18
"85439","STON2",0,"Promoter (<=1kb)",1.45883521861837,1.23988749460071e-16,1.59862827758946e-14
"100506365","OTUD6B-AS1",0,"Promoter (<=1kb)",1.45769418419091,6.14959100431442e-10,9.13835840787169e-09
"9404","LPXN",0,"Promoter (<=1kb)",1.44620171904673,7.69561392251145e-10,1.10863862864317e-08
"2585","GALK2",2716,"Promoter (2-3kb)",1.44549714880381,6.53006361946221e-08,5.0157218893549e-07
"51175","TUBE1",0,"Promoter (<=1kb)",1.44511708928013,5.25584006593213e-09,5.70528669256967e-08
"7163","TPD52",1860,"Promoter (1-2kb)",1.44353486172007,3.89445382849237e-11,8.72438886051483e-10
"4739","NEDD9",0,"Promoter (<=1kb)",1.44215575132141,7.55079047032095e-20,2.86234180711206e-17
"5352","PLOD2",0,"Promoter (<=1kb)",1.44058134451018,3.24017343477026e-19,1.02692250843301e-16
"107986160","LOC107986160",0,"Promoter (<=1kb)",1.43785138153046,3.99235982121629e-12,1.2212704497401e-10
"51559","NT5DC3",-1798,"Promoter (1-2kb)",1.43578521712747,3.71404008795554e-14,2.26561290619578e-12
"105371967","LOC105371967",0,"Promoter (<=1kb)",1.42897881435562,2.48461453169567e-10,4.22100639202746e-09
"7812","CSDE1",0,"Promoter (<=1kb)",1.42577870652659,3.37949569305063e-14,2.09409584082525e-12
"5618","PRLR",0,"Promoter (<=1kb)",1.42440487957546,9.16737918225045e-17,1.26594958378891e-14
"51719","CAB39",2806,"Promoter (2-3kb)",1.41654087551364,6.09189740462113e-09,6.50329389969853e-08
"9555","MACROH2A1",504,"Promoter (<=1kb)",1.41377835153034,4.30760787460959e-12,1.30736237111189e-10
"100216545","KMT2E-AS1",0,"Promoter (<=1kb)",1.41310356385428,1.06336603126427e-12,3.92329303099849e-11
"100507431","LINC02551",0,"Promoter (<=1kb)",1.40974807654396,1.22283887852522e-13,6.01555827952367e-12
"102723886","LYPLAL1-AS1",0,"Promoter (<=1kb)",1.40738715054839,1.5975235016546e-06,7.94569638731371e-06
"359948","IRF2BP2",-396,"Promoter (<=1kb)",1.40442623936534,4.1294304595434e-13,1.72801469857906e-11
"23499","MACF1",0,"Promoter (<=1kb)",1.40216627781736,9.5474836985881e-14,4.92217339586143e-12
"101928304","LINC03002",0,"Promoter (<=1kb)",1.40185415831967,9.0275580783622e-12,2.47911619785478e-10
"11143","KAT7",0,"Promoter (<=1kb)",1.39726688601585,3.84353175488133e-09,4.36073940241319e-08
"23189","KANK1",0,"Promoter (<=1kb)",1.39684227405817,7.61939723617455e-18,1.41640198814387e-15
"643339","LOC643339",0,"Promoter (<=1kb)",1.39609631350178,1.27622737952582e-07,8.97537429187803e-07
"401312","LOC401312",-276,"Promoter (<=1kb)",1.39396763198062,1.39890753920026e-12,4.92624398093962e-11
"4131","MAP1B",0,"Promoter (<=1kb)",1.39375264535598,3.88602173626828e-15,3.19695566924573e-13
"2737","GLI3",2255,"Promoter (2-3kb)",1.39153219087595,7.1365049321095e-12,2.03195949709091e-10
"5218","CDK14",0,"Promoter (<=1kb)",1.38909213737261,7.14893394604317e-13,2.78649878989622e-11
