"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0061564","axon development","271/6654","490/18903",2.86350977156418e-20,1.5248384108526e-16,1.04379372947371e-16,"1123/7204/5803/10512/9315/8828/8829/3480/2737/399/23022/288/9314/4853/3725/57689/3371/8301/9037/4781/1600/57609/25/2115/23499/4131/7414/5747/9723/4897/22902/1009/26230/5048/57698/27020/56288/3688/6586/2131/84612/334/2258/57142/3918/9201/140578/65059/2909/26053/10371/9353/4983/627/1959/9175/4915/25987/1813/7074/85440/5362/6498/23242/8428/5062/5454/1906/10100/3475/7976/10090/2297/673/23191/220202/5604/91584/1946/57154/3984/6387/200933/150465/23767/10509/9241/2534/5764/85458/1948/351/9334/5063/8650/7143/8997/80208/6477/1495/104/4133/57408/1002/999/9860/4684/10890/23105/22853/81565/80031/7070/91653/27023/4756/10939/64855/5792/9355/6277/27185/5797/4803/5800/1808/23566/55118/2011/23114/3897/6722/8153/9378/3800/4135/9798/29956/54915/25942/1267/5727/6285/494470/23129/59352/51761/1889/3717/4218/9423/4009/1270/56896/1826/4130/9856/5076/3326/4038/8929/780/4313/2316/10507/7408/2048/2736/284656/4858/885/4854/57556/1436/79805/10505/5802/90249/2017/9253/1605/1400/1785/3996/55201/60/3925/655/644168/151449/51393/1907/4825/54437/4137/22876/9048/7476/6469/57453/64843/126147/118813/1942/10381/347733/64919/11344/5361/1749/6608/57731/706/6812/57549/2064/8831/2050/7422/10500/393/1969/10675/4504/349667/6794/1954/64221/1908/7473/57463/8408/128434/2051/9024/56956/4099/219699/5818/1382/1947/2049/10501/25806/1627/5880/64218/54910/223117/107/1944/84628/2636/5979/4884/89780/6900/57465/654429/10458/65078/1943/8578/89884/2047/5605/1020/2046/23654/575/8022",271
"GO:0007409","axonogenesis","247/6654","438/18903",4.70847123931636e-20,1.5248384108526e-16,1.04379372947371e-16,"1123/7204/5803/10512/8828/8829/3480/2737/399/23022/288/4853/57689/8301/9037/4781/1600/57609/25/2115/23499/4131/7414/5747/9723/4897/22902/1009/26230/5048/57698/27020/56288/3688/6586/2131/84612/334/2258/57142/3918/9201/140578/65059/2909/26053/10371/9353/4983/627/1959/9175/4915/25987/1813/7074/85440/5362/6498/23242/5062/5454/1906/3475/7976/10090/2297/673/23191/220202/5604/91584/1946/57154/3984/6387/200933/150465/23767/10509/9241/2534/85458/1948/351/9334/5063/8650/7143/8997/80208/6477/104/4133/57408/1002/999/4684/10890/23105/22853/81565/80031/7070/91653/27023/4756/10939/64855/9355/6277/27185/5797/4803/5800/1808/23566/2011/23114/3897/6722/8153/9378/3800/4135/9798/54915/25942/1267/5727/6285/494470/23129/59352/51761/1889/4218/9423/4009/56896/1826/4130/9856/5076/3326/4038/8929/10507/7408/2048/2736/284656/4858/885/4854/57556/1436/10505/5802/90249/2017/9253/1605/1400/1785/3996/55201/60/3925/655/644168/151449/51393/1907/4825/54437/4137/9048/7476/6469/57453/64843/126147/118813/1942/10381/347733/64919/11344/5361/1749/6608/57731/6812/57549/2064/8831/2050/7422/10500/393/1969/4504/6794/1954/64221/1908/7473/57463/8408/128434/2051/9024/56956/4099/219699/5818/1382/1947/2049/10501/25806/1627/5880/64218/54910/223117/107/1944/84628/2636/5979/4884/89780/6900/654429/10458/65078/1943/89884/2047/5605/1020/2046/23654/575/8022",247
"GO:0010975","regulation of neuron projection development","249/6654","446/18903",1.96452126258977e-19,4.24140140593132e-16,2.90335563439583e-16,"1123/22871/10512/4734/6383/6695/8829/23043/22891/27067/3480/9314/9863/57689/9037/1600/8321/54986/57609/25/2889/23499/23189/4131/9723/4897/22902/26230/466/5048/5780/950/57698/27020/6616/7025/2146/653/4916/2033/2258/57142/140578/2909/157285/10371/9353/3066/627/9175/4915/26115/25987/7074/952/57498/8507/5362/6498/23242/8428/64764/5530/5062/5454/3475/23028/10090/673/23191/220202/5604/120114/91584/9896/1946/238/57154/3984/6387/4067/10509/3397/2534/5764/4919/26052/85458/1948/5063/23251/7143/114788/5584/1523/4133/11075/1809/64175/1002/999/9860/23105/81565/5376/80031/7070/5906/57520/84816/23072/818/5792/27185/4803/5800/56965/25791/23566/1608/2011/3897/6722/8153/81545/4076/29904/4135/9798/29956/54915/23129/51761/2931/162427/2670/65009/9423/85358/1270/56896/1826/9856/4038/84062/10938/10097/2316/2580/1716/10507/2048/29116/4858/5754/57556/407002/3675/10505/5802/153090/9912/84879/2185/1400/6376/10498/655/5793/51393/54606/4920/54437/4137/10300/22876/7476/11178/118813/1942/1398/347733/6911/11344/5361/3280/23373/10084/23098/26039/8831/7422/10500/393/4504/349667/57118/53335/6794/1072/80725/1954/23316/29993/7473/183/81618/57463/8408/124925/9024/4099/482/5526/1382/2049/10501/1627/23413/64218/54910/2056/223117/816/59341/84628/1136/547/5979/23237/89780/6900/57465/10458/5176/8175/65078/8578/85442/2242/5605/9762/1020/3706/23654/126520/5753/129807/26012",249
"GO:0031589","cell-substrate adhesion","211/6654","369/18903",3.01426850955568e-18,4.88085428409804e-15,3.34107867427593e-15,"8910/960/3696/7402/6695/8829/9448/1021/6789/2824/5295/56477/4763/3915/9404/4739/342184/25/55604/23499/23189/7414/5747/9723/3694/84168/54828/3791/83700/5921/23332/4289/948/5581/3688/22998/25890/4070/7010/23603/81/3690/5467/4088/2651/1435/7074/3987/3491/284/59339/7450/23380/5795/673/57669/1946/55742/1295/3693/11149/6281/2621/3397/6239/81792/54453/1793/10580/91663/7399/3673/10085/7057/5861/5829/3037/59277/51144/8573/22798/56999/8631/1499/182/123720/5291/8861/5328/7070/4091/29780/10391/2199/708/3914/27185/5054/1613/5800/3683/8500/604/136227/5155/3897/6722/613/6904/11037/6385/10461/51754/9647/3695/8324/3717/50488/402/6548/5786/57580/1307/81848/3678/780/2013/3680/27076/2316/3689/7301/22801/340485/4653/3675/133584/55612/10018/2017/1605/2192/2185/11078/1785/6376/558/1305/10420/6480/50509/9806/916/7007/5340/4680/6614/1942/3691/1398/9480/5034/64005/10174/23671/10319/1236/6366/55698/246/4585/11170/7422/83706/4221/10675/6237/8516/406959/80725/3682/482/5590/4059/5310/2049/5880/57348/3674/55966/29984/7471/8174/4771/2294/6714/84628/11117/7148/55679/3728/201294/79778/11093/71/2047/25992/2523/1020/100126351/10232",211
"GO:0016049","cell growth","261/6654","493/18903",2.58251334802631e-16,2.8090770182556e-13,1.92289029210934e-13,"10512/51196/8828/131566/6695/8829/136319/11214/344901/2697/817/3371/9037/27086/57609/25/23499/11143/4131/7414/9723/102/4897/5270/79109/22902/5048/7042/27302/57698/9962/3624/23136/3688/7003/6586/2023/2131/2258/57142/9201/9686/7490/65059/5467/4088/26053/10371/9353/1956/627/2137/9175/2475/952/7048/23242/2273/1906/623/3475/5795/57669/26999/23191/8826/340719/9826/91584/22883/1946/57154/3984/6387/150465/23767/9792/10509/6595/10413/100533105/351/23251/7143/3490/64769/54879/80208/5518/7852/51447/4092/57521/4133/22999/23677/4869/2203/1002/999/5538/51299/23411/8085/1499/9699/23105/151835/81565/51193/80031/5071/83667/9166/10718/9355/5607/27185/4803/3484/1808/4633/23566/135644/8128/604/64061/114804/3897/6722/8153/7046/56981/9798/25942/84275/5371/5167/2931/1981/6548/57446/1982/9423/4009/1826/9856/3326/5245/780/3021/55909/201163/93649/6416/3304/10507/1839/978/221481/8425/3300/3486/552/57556/81501/23678/10505/6195/5802/2017/84879/347252/2185/1785/9043/5645/56924/3249/2658/51393/1907/634/2626/4825/112398/56848/6279/2100/1032/10298/54437/84289/4137/127833/2786/1457/9564/118813/6597/85004/221476/10110/3578/11344/5361/4856/8692/123904/10459/57699/2064/8877/11170/7422/10500/393/54825/2810/551/5916/23025/4504/53335/6794/1954/84678/1908/7473/183/1154/10071/8408/11007/4099/27346/29948/80736/5590/55615/1382/10501/1627/64218/54910/8725/223117/23769/4879/3487/9746/81621/10235/2016/7481/89780/65078/23404/1020/59284/92304",261
"GO:0060560","developmental growth involved in morphogenesis","143/6654","233/18903",2.60220196225623e-16,2.8090770182556e-13,1.92289029210934e-13,"10512/8828/374/8829/9863/344901/9037/57609/342184/25/23499/4131/7414/9723/4897/22902/5048/57698/9962/3688/6586/2131/2258/57142/9201/65059/26053/10371/9353/627/1435/9175/7048/23242/1906/3475/2246/57669/26999/23191/8826/91584/1946/57154/3984/6387/150465/23767/10509/10413/351/7143/80208/7852/4133/22999/1002/999/51299/1499/9699/23105/151835/81565/157506/80031/5071/55083/9355/27185/4803/1808/23566/8128/114804/3897/6722/8153/6928/9798/25942/2099/9423/1826/9856/3326/780/55909/10507/5754/57556/10505/5802/2017/1785/9043/56924/51393/1907/9968/4825/54437/113622/4137/127833/6469/118813/11344/5361/123904/57699/7422/10500/393/5916/23025/4504/53335/6794/1954/1908/7473/8408/55897/4099/5590/85407/1382/10501/1627/64218/54910/223117/23769/3239/2016/7481/89780/10252/65078/7477/1020/59284",143
"GO:0050767","regulation of neurogenesis","209/6654","377/18903",4.49138986889176e-16,4.15581888297314e-13,2.84477204928904e-13,"5803/10512/302/8829/22891/27067/4124/2737/9037/1600/4763/57609/7052/5583/23499/4131/9723/5270/22902/26230/5048/57698/27020/2146/644943/3569/3688/4916/657/2258/57142/140578/10371/9353/3066/627/3553/1959/9175/2475/4915/1813/7074/85440/6009/5362/6498/5530/55636/406/3475/23028/7976/3148/673/11221/23191/6993/5604/91584/1946/57154/3984/6387/4067/6281/10509/3397/9241/118738/5764/27339/10413/85458/5063/8650/7143/9682/5584/1814/7852/1523/4988/1495/4133/51726/274/1002/999/146433/1499/6653/23105/81565/80031/7070/9355/27185/4803/56965/5324/23566/3897/6722/8153/4076/29904/4135/9798/29956/26011/7516/23129/2670/9423/85358/56896/1826/9856/4038/9283/1524/3949/5978/10097/3815/10507/3065/2048/1745/57556/283659/10505/406938/8864/5802/170825/1869/9253/54209/1605/63925/6376/3398/6692/655/51393/4825/54437/4137/79727/7476/6469/118813/11344/22933/5361/3280/5309/6604/9148/6608/706/26039/8831/7422/10500/393/55502/4504/6794/1954/23316/7473/57463/8408/284403/4099/650/1382/10501/4036/10215/1627/64218/54910/81559/223117/816/84630/4771/10683/4821/8140/6497/10636/89780/57465/28514/9001/10458/5176/65078/5605/1020/3706/1636/23654/7161",209
"GO:0051056","regulation of small GTPase mediated signal transduction","176/6654","305/18903",5.76139355255669e-16,4.66456825498871e-13,3.19302495307484e-13,"1123/7204/51196/57568/4233/8829/23092/9448/57480/4853/11214/5516/9743/4763/25/7052/23268/23189/23365/79109/10565/1794/64283/26230/57584/7042/5921/2150/3688/9411/2909/157285/26053/9353/4983/51571/1435/7074/137735/50937/23380/57569/84952/81704/9750/79658/10617/1894/9826/93663/343578/8036/57186/58504/9938/10672/154796/57493/221178/83892/10125/867/5922/50649/8997/9649/201176/55200/10451/2203/89846/10260/55667/7126/5291/7409/9922/9265/8729/79574/23094/11337/64411/58480/4803/25791/94134/84253/23096/286205/604/347273/202243/221472/5923/613/10928/3707/9267/4650/80728/29/55160/25959/22898/57580/23370/1124/51306/81848/22821/9181/55379/57449/201163/9266/9828/2048/4653/57706/23550/3675/408/9289/153090/7410/9912/54509/1785/27128/3925/85360/221002/9138/8878/286530/128272/8216/116985/9901/55701/1398/2859/84249/8831/153478/23263/393/23779/9639/117289/23108/50619/396/23636/80243/29984/2056/152273/5909/117/199731/57636/25894/6714/23616/10252/2840/65078/7249/22899/64787/23526/64423/84033/221938",176
"GO:0008361","regulation of cell size","117/6654","183/18903",1.87926653153414e-15,1.3524454805274e-12,9.25786038692609e-13,"10512/8829/136319/3575/9037/57609/3778/25/23499/4131/9723/4897/22902/4478/5048/57698/196527/6558/9821/2258/57142/84561/2909/10371/627/9175/2475/1906/3475/23028/23191/91584/1946/57154/3984/6387/150465/10509/7143/57521/4133/4869/10451/1002/999/2055/23105/81565/7409/80031/27185/5341/4803/1808/6557/23566/282679/3897/6722/8153/64798/9798/56262/25942/9423/85358/1826/9856/3326/389541/1185/10507/57556/10505/3783/5802/375611/7410/358/2017/6559/1785/51393/4825/23038/54437/4137/118813/11344/6560/6344/10723/7422/10500/393/5916/4504/23108/1954/7473/8408/5027/4099/1874/1382/10501/1627/64218/54910/223117/59341/5979/89780/65078/9368/1020/11194",117
"GO:0051960","regulation of nervous system development","242/6654","456/18903",2.21846473905406e-15,1.38343208711698e-12,9.46997221087855e-13,"22871/5803/10512/302/8829/22891/27067/3556/4124/2737/9037/1600/4763/57609/7052/5583/23499/4131/9723/5270/22902/26230/5048/57698/27020/56288/2146/644943/3569/3688/4916/657/2258/57142/140578/10371/9353/3066/627/3553/1959/9175/27286/2475/4915/1813/7074/85440/6009/5362/6498/5530/55636/406/3475/23028/7976/3148/673/11221/23191/6993/5604/91584/9896/22883/1946/57154/3984/6387/4067/23767/7038/6281/10509/3397/9231/9241/118738/5764/27339/10413/85458/5063/8650/7143/9682/5584/1814/7852/1523/4988/1495/4133/51726/274/1002/999/146433/1499/6653/23105/81565/387804/80031/7070/8530/79953/9355/27185/4803/56965/5324/23566/8128/3897/6722/8153/4076/29904/9378/23175/4135/9798/29956/26011/7516/23129/2670/40/9423/85358/56896/1826/9856/4038/347731/9283/1524/3949/7058/5978/10097/3815/10507/5020/3065/2048/1745/57556/283659/10505/406938/8864/5802/170825/1869/9253/54209/1605/63925/6376/5914/3398/6692/655/51393/4825/54437/4137/79727/7476/6469/118813/6258/55695/11344/22933/5361/3280/5309/6604/9148/6608/706/94030/26039/8831/7422/10500/393/55502/5916/4504/6794/1954/23316/7473/57463/8408/284403/4099/650/1382/2049/10501/4036/10215/1627/64218/54910/81559/223117/816/84630/4771/10683/9746/4821/2636/8140/6497/10636/89780/57465/28514/9001/654429/10458/5176/65078/2047/745/5605/1020/3706/11076/1636/23654/575/375790/7161",242
