Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29
GFP_3_R1_paired	(19.0, 2.0)	(20.0, 313.0)	(21.0, 3410.0)	(22.0, 12836.0)	(23.0, 25921.0)	(24.0, 43038.0)	(25.0, 60795.0)	(26.0, 85242.0)	(27.0, 112431.0)	(28.0, 155322.0)	(29.0, 203793.0)	(30.0, 274660.0)	(31.0, 354114.0)	(32.0, 501872.0)	(33.0, 740781.0)	(34.0, 1114136.0)	(35.0, 1605806.0)	(36.0, 3662079.0)	(37.0, 6951875.0)	(38.0, 15498150.0)	(39.0, 36979665.0)	(40.0, 6913987.0)								
GFP_3_R2_paired	(16.0, 2.0)	(17.0, 27.0)	(18.0, 196.0)	(19.0, 1236.0)	(20.0, 7282.0)	(21.0, 23450.0)	(22.0, 46731.0)	(23.0, 63593.0)	(24.0, 82351.0)	(25.0, 92251.0)	(26.0, 108612.0)	(27.0, 124232.0)	(28.0, 157114.0)	(29.0, 188304.0)	(30.0, 238682.0)	(31.0, 295701.0)	(32.0, 391387.0)	(33.0, 500904.0)	(34.0, 697460.0)	(35.0, 997093.0)	(36.0, 1652768.0)	(37.0, 2947329.0)	(38.0, 8748314.0)	(39.0, 48632139.0)	(40.0, 9303070.0)					
YAF-1_R1_paired	(16.0, 4.0)	(17.0, 282.0)	(18.0, 5723.0)	(19.0, 30437.0)	(20.0, 70638.0)	(21.0, 96934.0)	(22.0, 118356.0)	(23.0, 136140.0)	(24.0, 164887.0)	(25.0, 191045.0)	(26.0, 236249.0)	(27.0, 280281.0)	(28.0, 362601.0)	(29.0, 469075.0)	(30.0, 689424.0)	(31.0, 1140621.0)	(32.0, 2778560.0)	(33.0, 5351707.0)	(34.0, 5472504.0)	(35.0, 3989688.0)	(36.0, 3795388.0)	(37.0, 4944194.0)	(38.0, 9861111.0)	(39.0, 42397580.0)	(40.0, 7998883.0)					
YAF-1_R2_paired	(11.0, 6.0)	(12.0, 90.0)	(13.0, 428.0)	(14.0, 908.0)	(15.0, 1693.0)	(16.0, 4945.0)	(17.0, 14333.0)	(18.0, 34611.0)	(19.0, 55371.0)	(20.0, 72115.0)	(21.0, 72484.0)	(22.0, 76369.0)	(23.0, 83553.0)	(24.0, 98805.0)	(25.0, 110012.0)	(26.0, 128392.0)	(27.0, 141329.0)	(28.0, 165377.0)	(29.0, 185305.0)	(30.0, 225091.0)	(31.0, 259844.0)	(32.0, 322495.0)	(33.0, 402732.0)	(34.0, 566138.0)	(35.0, 824987.0)	(36.0, 1434509.0)	(37.0, 2726686.0)	(38.0, 8460548.0)	(39.0, 57345496.0)	(40.0, 16767660.0)
YAF-2_R1_paired	(16.0, 8.0)	(17.0, 362.0)	(18.0, 8351.0)	(19.0, 47328.0)	(20.0, 109346.0)	(21.0, 141674.0)	(22.0, 174699.0)	(23.0, 210610.0)	(24.0, 273208.0)	(25.0, 340498.0)	(26.0, 455926.0)	(27.0, 601965.0)	(28.0, 891502.0)	(29.0, 1338116.0)	(30.0, 2306034.0)	(31.0, 5187209.0)	(32.0, 15049752.0)	(33.0, 24334685.0)	(34.0, 16860216.0)	(35.0, 8251819.0)	(36.0, 4887318.0)	(37.0, 5466575.0)	(38.0, 7766137.0)	(39.0, 31007253.0)	(40.0, 7221830.0)					
YAF-2_R2_paired	(11.0, 19.0)	(12.0, 161.0)	(13.0, 628.0)	(14.0, 1194.0)	(15.0, 2416.0)	(16.0, 7832.0)	(17.0, 23326.0)	(18.0, 57305.0)	(19.0, 94454.0)	(20.0, 125534.0)	(21.0, 128899.0)	(22.0, 135071.0)	(23.0, 146187.0)	(24.0, 169173.0)	(25.0, 188086.0)	(26.0, 219892.0)	(27.0, 245533.0)	(28.0, 291031.0)	(29.0, 327894.0)	(30.0, 397783.0)	(31.0, 457283.0)	(32.0, 572241.0)	(33.0, 717878.0)	(34.0, 1002067.0)	(35.0, 1432776.0)	(36.0, 2398386.0)	(37.0, 4537460.0)	(38.0, 16384562.0)	(39.0, 90614755.0)	(40.0, 12252595.0)
YAF-3_R1_paired	(16.0, 4.0)	(17.0, 347.0)	(18.0, 6765.0)	(19.0, 35803.0)	(20.0, 83475.0)	(21.0, 112634.0)	(22.0, 135605.0)	(23.0, 155624.0)	(24.0, 191765.0)	(25.0, 226391.0)	(26.0, 284370.0)	(27.0, 348237.0)	(28.0, 465418.0)	(29.0, 625003.0)	(30.0, 938449.0)	(31.0, 1620490.0)	(32.0, 4084339.0)	(33.0, 8223162.0)	(34.0, 8891723.0)	(35.0, 5910616.0)	(36.0, 4112604.0)	(37.0, 4783434.0)	(38.0, 8761243.0)	(39.0, 37351939.0)	(40.0, 6918646.0)					
YAF-3_R2_paired	(11.0, 11.0)	(12.0, 108.0)	(13.0, 459.0)	(14.0, 955.0)	(15.0, 1803.0)	(16.0, 5532.0)	(17.0, 16585.0)	(18.0, 41772.0)	(19.0, 71152.0)	(20.0, 95994.0)	(21.0, 98458.0)	(22.0, 102275.0)	(23.0, 109446.0)	(24.0, 126157.0)	(25.0, 139052.0)	(26.0, 161265.0)	(27.0, 179357.0)	(28.0, 210601.0)	(29.0, 235910.0)	(30.0, 286368.0)	(31.0, 330852.0)	(32.0, 409763.0)	(33.0, 512847.0)	(34.0, 713652.0)	(35.0, 1022272.0)	(36.0, 1737263.0)	(37.0, 3253436.0)	(38.0, 10407793.0)	(39.0, 61000061.0)	(40.0, 12996887.0)
YAF_1_R1_paired	(19.0, 7.0)	(20.0, 447.0)	(21.0, 4642.0)	(22.0, 17494.0)	(23.0, 34797.0)	(24.0, 57234.0)	(25.0, 80939.0)	(26.0, 113458.0)	(27.0, 147189.0)	(28.0, 202595.0)	(29.0, 260485.0)	(30.0, 349301.0)	(31.0, 451506.0)	(32.0, 633747.0)	(33.0, 915205.0)	(34.0, 1351281.0)	(35.0, 2187156.0)	(36.0, 4873130.0)	(37.0, 7717984.0)	(38.0, 17389497.0)	(39.0, 44879533.0)	(40.0, 8020697.0)								
YAF_1_R2_paired	(16.0, 3.0)	(17.0, 12.0)	(18.0, 186.0)	(19.0, 874.0)	(20.0, 4932.0)	(21.0, 15800.0)	(22.0, 31419.0)	(23.0, 42690.0)	(24.0, 55046.0)	(25.0, 62666.0)	(26.0, 76007.0)	(27.0, 88988.0)	(28.0, 114834.0)	(29.0, 141507.0)	(30.0, 185352.0)	(31.0, 233108.0)	(32.0, 314274.0)	(33.0, 411533.0)	(34.0, 587610.0)	(35.0, 864807.0)	(36.0, 1484323.0)	(37.0, 2760511.0)	(38.0, 8343754.0)	(39.0, 57119077.0)	(40.0, 16749011.0)					
YAF_2_R1_paired	(18.0, 1.0)	(19.0, 6.0)	(20.0, 407.0)	(21.0, 4643.0)	(22.0, 18571.0)	(23.0, 38984.0)	(24.0, 64799.0)	(25.0, 91557.0)	(26.0, 127814.0)	(27.0, 170665.0)	(28.0, 240093.0)	(29.0, 320747.0)	(30.0, 445726.0)	(31.0, 610718.0)	(32.0, 975490.0)	(33.0, 1682955.0)	(34.0, 2417095.0)	(35.0, 4614470.0)	(36.0, 11510002.0)	(37.0, 17867461.0)	(38.0, 41881893.0)	(39.0, 41634610.0)	(40.0, 7243191.0)							
YAF_2_R2_paired	(16.0, 2.0)	(17.0, 44.0)	(18.0, 254.0)	(19.0, 1571.0)	(20.0, 8611.0)	(21.0, 27177.0)	(22.0, 53779.0)	(23.0, 74017.0)	(24.0, 95630.0)	(25.0, 109876.0)	(26.0, 132322.0)	(27.0, 156737.0)	(28.0, 203790.0)	(29.0, 250299.0)	(30.0, 327211.0)	(31.0, 414763.0)	(32.0, 559702.0)	(33.0, 731980.0)	(34.0, 1041820.0)	(35.0, 1512332.0)	(36.0, 2503064.0)	(37.0, 4588929.0)	(38.0, 16087695.0)	(39.0, 90717438.0)	(40.0, 12362855.0)					
YAF_3_R1_paired	(19.0, 12.0)	(20.0, 503.0)	(21.0, 5110.0)	(22.0, 18757.0)	(23.0, 38149.0)	(24.0, 61811.0)	(25.0, 86650.0)	(26.0, 119503.0)	(27.0, 156167.0)	(28.0, 215502.0)	(29.0, 278496.0)	(30.0, 373329.0)	(31.0, 481995.0)	(32.0, 670438.0)	(33.0, 960191.0)	(34.0, 1447477.0)	(35.0, 2086775.0)	(36.0, 4336841.0)	(37.0, 9228573.0)	(38.0, 21989248.0)	(39.0, 43891414.0)	(40.0, 6941605.0)								
YAF_3_R2_paired	(16.0, 3.0)	(17.0, 27.0)	(18.0, 196.0)	(19.0, 1167.0)	(20.0, 6492.0)	(21.0, 21435.0)	(22.0, 42206.0)	(23.0, 57803.0)	(24.0, 75140.0)	(25.0, 85164.0)	(26.0, 101487.0)	(27.0, 119427.0)	(28.0, 152561.0)	(29.0, 186198.0)	(30.0, 241199.0)	(31.0, 301757.0)	(32.0, 402701.0)	(33.0, 524556.0)	(34.0, 741251.0)	(35.0, 1075217.0)	(36.0, 1803747.0)	(37.0, 3291658.0)	(38.0, 10257576.0)	(39.0, 60894700.0)	(40.0, 13004878.0)					
