Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
GFP-1_R1_paired	(1.0, 30.567750249339575)	(2.0, 12.37017626118943)	(3.0, 12.242733198515895)	(4.0, 10.956788469782829)	(5.0, 9.048280749924293)	(6.0, 6.879323592768538)	(7.0, 5.01514595005463)	(8.0, 3.364129406497799)	(9.0, 2.293545850603809)	('>10', 6.692895590761708)	('>50', 0.2898352120856079)	('>100', 0.2398360515082422)	('>500', 0.027684256639070547)	('>1k', 0.011875160328599673)	('>5k', 0.0)	('>10k+', 0.0)
GFP-1_R2_paired	(1.0, 18.391411896452613)	(2.0, 13.995507519884148)	(3.0, 14.379701548074921)	(4.0, 12.737548056836806)	(5.0, 10.76195962797103)	(6.0, 8.070698391308783)	(7.0, 6.061064099775951)	(8.0, 4.069080139563798)	(9.0, 2.8023815880733127)	('>10', 7.935216375961668)	('>50', 0.332019544764862)	('>100', 0.3169057007775953)	('>500', 0.02478173605989875)	('>1k', 0.01604671897918435)	('>5k', 0.0)	('>10k+', 0.1056770555152568)
GFP-2_R1_paired	(1.0, 21.654950153418074)	(2.0, 4.208986965878582)	(3.0, 4.418612796877901)	(4.0, 4.798940327284405)	(5.0, 5.198649837351176)	(6.0, 5.379250541266621)	(7.0, 5.598000099071615)	(8.0, 5.334411123192713)	(9.0, 5.055524554936802)	('>10', 37.68266084411924)	('>50', 0.3195920968365237)	('>100', 0.28740269171443433)	('>500', 0.044813398189462186)	('>1k', 0.018204569862474016)	('>5k', 0.0)	('>10k+', 0.0)
GFP-2_R2_paired	(1.0, 9.129050748760681)	(2.0, 4.377137366085891)	(3.0, 4.880002704527557)	(4.0, 5.362519630324749)	(5.0, 6.008915110386194)	(6.0, 6.2135526187341625)	(7.0, 6.185090214254354)	(8.0, 6.127661405561335)	(9.0, 5.821610005785898)	('>10', 45.04137856871559)	('>50', 0.4065266132584318)	('>100', 0.31607386904278606)	('>500', 0.03990102249118975)	('>1k', 0.026246198129258855)	('>5k', 0.0)	('>10k+', 0.0643339239419115)
GFP-3_R1_paired	(1.0, 29.353505413574798)	(2.0, 14.648731795514896)	(3.0, 13.344051120538424)	(4.0, 10.90396097588541)	(5.0, 8.568522486206898)	(6.0, 6.0199035562780505)	(7.0, 4.310543871276754)	(8.0, 2.9203618025075686)	(9.0, 1.929175553205359)	('>10', 6.9951112270446645)	('>50', 0.5111264767480096)	('>100', 0.4061989126206342)	('>500', 0.053541685731561525)	('>1k', 0.03526512286704539)	('>5k', 0.0)	('>10k+', 0.0)
GFP-3_R2_paired	(1.0, 22.10056534575335)	(2.0, 15.938433016164034)	(3.0, 14.587416097749195)	(4.0, 12.200291333361472)	(5.0, 9.467664737924276)	(6.0, 6.694465806138219)	(7.0, 4.755082327272705)	(8.0, 3.1461480262851262)	(9.0, 2.1875468328071577)	('>10', 7.732937867583953)	('>50', 0.555854934759348)	('>100', 0.41303075993887317)	('>500', 0.07401548582831721)	('>1k', 0.03310483206580959)	('>5k', 0.0)	('>10k+', 0.11344259636808618)
GFP_1_R1_paired	(1.0, 33.377968525444196)	(2.0, 12.539749772215247)	(3.0, 11.960892281930347)	(4.0, 10.57666196628537)	(5.0, 8.688663787737875)	(6.0, 6.466125360715763)	(7.0, 4.585388933280308)	(8.0, 3.144268157549359)	(9.0, 2.0974391464525377)	('>10', 6.032372316922978)	('>50', 0.27441546197685346)	('>100', 0.22268837175908585)	('>500', 0.021978754558850493)	('>1k', 0.01138716317131343)	('>5k', 0.0)	('>10k+', 0.0)
GFP_1_R2_paired	(1.0, 20.117219676852294)	(2.0, 14.042214096809754)	(3.0, 14.234068372868256)	(4.0, 12.571466964824655)	(5.0, 10.57429579230103)	(6.0, 7.790240809913565)	(7.0, 5.792879074120265)	(8.0, 3.9382396885845825)	(9.0, 2.685108865008363)	('>10', 7.492882071971491)	('>50', 0.3156092460029211)	('>100', 0.3041959679919364)	('>500', 0.03513079457660615)	('>1k', 0.033070842414405874)	('>5k', 0.0)	('>10k+', 0.0733777357598725)
GFP_2_R1_paired	(1.0, 24.161287348420885)	(2.0, 4.762914276592171)	(3.0, 4.521479971989044)	(4.0, 4.76936768110227)	(5.0, 5.175177088743692)	(6.0, 5.330877721394992)	(7.0, 5.434813414149735)	(8.0, 5.185065913193083)	(9.0, 4.823029629933861)	('>10', 35.21647589283128)	('>50', 0.3034173925458697)	('>100', 0.2535037841175729)	('>500', 0.04467493293163248)	('>1k', 0.017914952053999993)	('>5k', 0.0)	('>10k+', 0.0)
GFP_2_R2_paired	(1.0, 10.50213623114243)	(2.0, 4.494201756877828)	(3.0, 4.895741334046715)	(4.0, 5.390321938579223)	(5.0, 5.970129848363586)	(6.0, 6.225646828582176)	(7.0, 6.152338555154299)	(8.0, 6.06996493841101)	(9.0, 5.746878508326109)	('>10', 43.72941076125313)	('>50', 0.39027782363403124)	('>100', 0.3039686439754372)	('>500', 0.04710164296055117)	('>1k', 0.026292094455025884)	('>5k', 0.0)	('>10k+', 0.055589094238595094)
GFP_3_R1_paired	(1.0, 32.43256128780959)	(2.0, 14.789631470700492)	(3.0, 12.941724850620274)	(4.0, 10.528843589317434)	(5.0, 8.033702763074265)	(6.0, 5.627206504847931)	(7.0, 3.981258211492756)	(8.0, 2.6456203174202364)	(9.0, 1.7181624693197812)	('>10', 6.377762330082815)	('>50', 0.45922159848346983)	('>100', 0.38450587175247825)	('>500', 0.05100521915254011)	('>1k', 0.02879351592587679)	('>5k', 0.0)	('>10k+', 0.0)
GFP_3_R2_paired	(1.0, 24.096432665003974)	(2.0, 15.946814296273237)	(3.0, 14.405990482926825)	(4.0, 11.867336487462236)	(5.0, 9.207469894049312)	(6.0, 6.441138867825738)	(7.0, 4.520904033288392)	(8.0, 3.0082770581569465)	(9.0, 2.054240885762984)	('>10', 7.328832879858996)	('>50', 0.5324830651012904)	('>100', 0.384871664910337)	('>500', 0.07447342365632029)	('>1k', 0.05124022729540604)	('>5k', 0.0)	('>10k+', 0.07949406842797566)
YAF-1_R1_paired	(1.0, 20.256180892667278)	(2.0, 2.559939115120912)	(3.0, 2.437695660583149)	(4.0, 2.5272336911870754)	(5.0, 2.7337956324513577)	(6.0, 2.923739544758793)	(7.0, 3.140684681197073)	(8.0, 3.1871551097252717)	(9.0, 3.34788913147653)	('>10', 52.07901828904049)	('>50', 2.366598798133681)	('>100', 1.9994618058901144)	('>500', 0.20291958403329105)	('>1k', 0.21475230593071643)	('>5k', 0.022935757804304152)	('>10k+', 0.0)
YAF-1_R2_paired	(1.0, 6.9868204896579575)	(2.0, 2.4101923038248225)	(3.0, 2.633738777985392)	(4.0, 2.893106066564399)	(5.0, 3.1982405410277295)	(6.0, 3.3553373605849326)	(7.0, 3.5413116615877183)	(8.0, 3.7601730220383045)	(9.0, 3.8583938113254015)	('>10', 61.642498927165)	('>50', 2.7871618901492816)	('>100', 2.3894248644520215)	('>500', 0.23461662376058376)	('>1k', 0.22962729581797467)	('>5k', 0.02222265937229959)	('>10k+', 0.05713370468600431)
