Length	FoldEnrichment
3156	5.43993
23554	6.45326
11178	6.24069
10666	6.34066
5546	5.16876
7798	5.25848
4139	5.64932
9306	5.06416
10292	5.16316
6227	6.01166
11712	6.07416
7458	5.1593
1113	5.03828
10669	5.17329
13717	5.18233
3158	10.2653
2228	5.11633
15528	5.09581
1351	5.05025
3878	5.65044
2682	5.26308
4637	5.75364
2547	7.42597
3374	5.74788
8759	6.21194
2468	5.66475
1766	5.44519
2884	5.82419
2782	5.27912
4528	5.18746
3281	7.03126
13936	5.14427
7746	5.96574
10387	5.50583
3698	7.11268
3077	5.6837
7036	5.01361
28685	5.15658
9934	5.32206
3794	6.37206
7541	5.26602
2589	6.22494
3046	8.10418
9951	5.62924
7594	6.39976
4307	5.44813
4039	5.54907
14675	5.02536
5025	5.61522
8929	5.86676
7764	5.32591
17207	5.61727
5605	6.071
12524	5.10009
12948	5.4915
4493	5.34134
2170	5.4518
8954	5.36151
2276	5.13166
7533	5.24187
1205	6.49761
13743	5.12768
13222	6.20398
6546	5.1527
5932	6.99707
9654	6.92059
10246	5.79794
2236	9.35019
2977	5.08924
5501	5.12173
1355	5.12527
3172	5.05398
1533	5.02905
5410	5.49267
1390	5.10752
12231	5.07213
8652	5.37505
1985	7.0898
5563	6.672
19370	6.47239
9841	6.469
19443	5.60534
26552	5.76794
4485	5.65699
23973	5.35561
6159	6.2911
37373	5.10212
23343	5.14866
3499	7.34703
1325	5.36311
5936	5.59139
2934	5.21507
2439	5.31745
1251	7.79015
1515	5.31973
1816	6.74231
1305	5.44405
1265	5.19043
3282	6.5962
2128	5.13626
2153	5.61616
6111	5.53266
1470	5.03223
15074	5.36371
4063	5.66038
2864	5.85001
1661	5.00838
4160	6.37557
7277	5.05527
1850	7.09171
1395	5.74846
2960	6.36998
3769	5.46539
8293	5.3331
1687	7.0275
6112	5.89076
14378	5.14039
7104	6.00575
2182	6.16467
1630	6.04596
11422	6.75905
7485	5.5176
3323	5.86996
2764	8.10127
7125	6.0892
15925	5.39322
2546	5.76835
2988	6.9553
1293	6.09286
1398	6.55285
1064	5.08262
1031	6.08574
2502	5.26693
3727	5.76549
1543	8.32154
1174	5.1728
2696	5.90471
1043	7.55871
3000	6.34956
1044	5.33973
2747	5.80377
4053	5.23399
