Metric,Value
Sample,YAF_3
Total_Reads,129580782
Reads_in_Peaks,14944430
FRiP,0.115329
Final_Peak_Count,17936
Mean_Peak_Length,3084.07
Mean_Fold_Enrichment,6.23
