Metric,Value
Sample,YAF_2
Total_Reads,146442376
Reads_in_Peaks,15587094
FRiP,0.106438
Final_Peak_Count,12320
Mean_Peak_Length,4217.43
Mean_Fold_Enrichment,5.93
