Length	FoldEnrichment
1195	6.08879
1242	5.64047
3286	5.42017
1098	5.81763
2756	6.84071
1341	5.67405
2008	5.69903
1669	6.21436
2779	5.48526
2574	5.42424
1729	5.42771
1407	7.61327
1667	5.55735
1869	6.54462
2265	5.14771
2822	6.51443
1091	7.69237
1323	6.6293
2314	8.51108
1041	5.9338
2442	5.09341
1531	5.17785
1099	12.7865
1560	5.99449
1609	5.51596
1093	6.61111
1433	5.49043
2301	5.25202
1450	5.60107
2378	5.83851
1889	5.34737
1473	5.14251
1413	9.38364
2120	5.65395
2473	7.1695
1077	5.58628
1732	6.2697
1580	5.42507
2099	5.38232
1245	6.84341
1052	5.08409
1018	5.10927
1102	5.83845
1083	5.25147
1172	5.821
2091	5.2335
4372	6.39293
2111	6.31243
1509	5.16263
2497	8.46204
1250	17.2171
1044	5.45887
1091	10.3144
3246	6.61733
1033	6.02789
1240	5.47763
2337	5.5599
3866	6.73737
3430	5.41848
2604	7.51316
3051	6.44456
2307	7.68503
1568	5.4868
4758	6.09192
1935	6.46867
1999	8.79242
1299	7.26018
1248	6.46254
3029	6.92185
1121	5.50185
1070	5.49229
4540	5.69706
1555	5.35574
1672	5.23034
1493	6.24779
2614	8.93584
1796	5.95404
1251	5.58784
1865	5.20011
1820	13.4747
1115	5.68352
1144	5.40915
1537	5.6034
1068	5.19829
1345	6.39004
1169	6.02402
1333	5.60333
1592	5.32068
2044	5.79469
2760	5.05462
1023	5.65948
3320	8.75426
3348	5.20921
1580	6.93582
1094	5.37145
2089	5.87749
1166	8.09691
1048	5.45957
2557	5.54326
1008	5.29428
1962	5.05598
1200	7.65378
1732	5.70425
1095	5.74133
1883	6.62778
5531	5.1986
2557	5.71598
2323	6.17046
1992	5.43524
2365	6.61896
3136	9.2338
2615	6.0316
2280	6.41476
1040	5.23385
1099	5.34436
1052	5.99392
1700	5.26875
1327	5.64776
1405	6.05209
1306	6.12479
1562	5.76347
1199	6.87562
1068	5.21854
1223	6.03267
1809	6.1595
2051	12.638
1309	5.86189
1038	5.12858
2537	5.20866
1310	6.95152
1048	6.4111
2488	5.3942
1032	5.14788
1552	5.89826
1101	5.07052
1327	6.51271
1031	5.3931
1527	5.87771
1010	5.40962
1727	5.40573
4586	5.86593
2065	7.76295
1435	5.06185
1018	8.45115
1607	6.19711
1721	5.95972
1039	9.78913
1348	8.79952
1011	5.44691
3336	6.58866
1212	5.24347
1356	11.8972
1011	8.90199
1344	7.61042
1061	6.13394
1406	6.77615
1742	11.3659
1776	5.29631
1279	7.4883
1494	6.19732
2468	6.4802
3230	5.42966
1287	9.1896
1422	8.74485
1623	7.2667
1188	7.42342
1185	5.381
1026	6.40878
1200	9.87231
3215	5.19076
1080	5.42376
1635	7.0875
1135	8.49107
1289	6.18967
2094	8.91078
1090	9.93645
1941	5.92937
1975	7.78386
1077	6.53209
1229	9.32257
3286	6.04705
1199	7.76173
1308	5.22259
1344	5.73283
2553	7.3664
1111	12.3013
1483	7.10734
1022	6.75264
1775	5.4335
1594	5.24724
1469	5.21872
1236	5.98049
1292	8.07866
1660	6.90898
1320	7.99122
1194	5.86568
1493	9.96814
1353	6.04109
2073	8.51495
2316	6.92664
1618	8.49332
1166	7.64894
2132	5.00931
1710	6.18665
1744	7.55238
1304	7.05405
1502	6.49862
1165	5.7714
1412	7.26001
1703	6.75247
1428	5.09765
1285	7.27072
1142	5.0612
1387	5.47139
1605	5.09986
1478	5.16471
1727	6.59349
1262	6.83528
1329	13.8336
2343	5.069
1153	6.58154
1506	5.15138
1180	5.22512
1072	11.7134
1056	6.60704
1639	5.2943
1188	5.95167
3972	6.26576
2934	5.2966
1214	5.2971
1073	5.85398
2468	9.43693
1409	5.11229
1420	8.33506
1281	5.65098
1189	5.50086
1170	5.36334
1186	5.02187
1426	5.54023
1216	5.72469
1372	7.04513
1192	8.61084
1246	8.04659
1824	5.50059
2307	6.55839
2504	5.55878
1926	9.032
3293	5.97927
1805	7.31512
1883	6.96186
1259	5.60399
3876	10.9781
3788	5.42222
1382	6.30927
1434	6.91677
2121	8.38967
1910	7.55148
1752	7.18698
1872	6.10236
1248	10.8809
1173	8.49309
3368	6.73615
1002	5.59002
1065	5.8124
2201	5.19035
1619	5.41614
1018	6.99667
1298	9.92792
1141	6.32544
1093	5.5808
1457	5.50979
1271	6.42709
1125	5.352
1974	7.82761
1222	5.34078
1972	5.28465
1185	6.03661
1702	6.29778
1716	5.60457
1923	6.81798
2384	9.1602
1056	5.77823
1883	5.49806
1870	7.1016
1445	6.59384
1486	6.27091
1838	6.32277
1253	5.57592
1126	5.12867
2836	10.7094
1135	5.10656
1215	5.18397
1452	5.42012
1411	5.68407
1040	10.5914
1142	5.15562
1405	5.94892
1745	5.19299
1642	9.35937
1321	6.24339
1190	5.24218
3383	6.28043
1613	5.33036
1774	5.06207
1169	6.10841
1118	5.41495
1692	5.42329
3342	7.69314
1249	10.5318
1027	5.70333
1071	5.34945
1779	8.1483
2482	7.03225
1294	6.40417
1695	5.74576
1335	5.53446
2939	5.08142
1036	8.41934
3545	8.74021
1923	6.45379
1082	8.6085
1669	7.57237
2217	7.2575
1407	5.04428
2541	7.09145
2734	6.42429
1700	6.6315
1633	6.26203
1081	7.43116
2518	5.5876
3026	5.68271
2561	6.54239
2093	7.07764
4714	6.81521
1140	5.62997
3052	6.70097
2346	7.38848
1060	5.28301
1823	5.65291
1420	5.76285
1971	7.27533
1325	5.40737
1516	5.51436
2568	7.82599
2406	7.41215
1060	5.87824
2394	5.51482
4604	5.79308
1259	6.54846
1543	5.14111
1124	5.73076
2510	6.11926
1063	5.17673
4222	7.87812
1331	8.0871
3569	6.10079
1729	7.68873
1990	5.41787
3565	5.58803
2665	6.2078
3166	7.12478
1623	5.50153
1300	5.11427
1447	11.1197
2040	5.55788
2082	6.52485
5699	5.49717
1063	7.62792
1422	5.70838
1129	5.43754
1011	8.37777
1286	5.56372
1007	8.08881
1238	5.91827
1301	6.83348
1094	5.16837
1296	5.50177
1226	6.51138
2304	5.06021
1588	7.22128
1695	5.93439
1366	5.83421
3696	5.34128
1855	6.52841
1399	6.2134
4393	6.09421
