Length	FoldEnrichment
13894	5.04636
7293	5.41695
15794	5.48453
3760	6.32019
8358	6.12239
19322	5.51023
1904	5.78831
3684	6.29357
1578	7.17501
1282	5.78385
1126	5.02855
1793	5.66864
4576	5.75165
4436	5.15655
2837	6.58803
1968	5.76648
8560	7.54054
1711	8.09381
1548	5.31561
3536	6.98091
9392	6.86966
6648	5.21594
3477	5.17442
1386	5.84788
4160	5.40313
3116	6.30518
1600	5.67636
2542	5.36404
6604	6.16534
1276	5.35278
5434	5.19255
15074	5.49953
22669	5.65921
4775	5.18828
3313	8.12805
6012	5.93929
1432	5.83825
2509	9.37609
14632	5.33454
24219	5.46286
8763	5.96124
1355	6.29547
1756	6.01701
5206	5.3334
2613	5.24293
1468	7.30926
1090	5.91626
3274	5.689
11750	6.44693
10850	5.66389
23956	5.22384
6232	5.7358
20131	5.52043
6962	5.28287
23697	5.73003
21831	6.4448
13093	7.24619
13782	5.82069
11474	6.04128
3535	8.70765
11437	5.53689
1313	5.91698
1391	5.19733
4873	5.08259
5431	5.04095
14108	5.23369
17173	5.24109
9520	5.53939
7628	6.52715
4333	5.89856
3934	5.28834
2696	5.1579
2549	5.58266
27763	6.875
1687	5.78041
17865	6.32416
14576	5.11414
4378	5.04915
1132	9.25579
2223	5.86525
20482	5.77829
11382	5.3175
10988	5.73434
19108	5.52833
5201	5.30681
3803	5.5703
1074	5.16237
4024	8.4994
6706	5.08023
1488	8.01277
1478	5.7928
7052	6.46104
4265	7.03556
7817	5.27257
9357	7.03384
11503	5.28564
5676	6.88995
3844	5.22929
1542	6.54674
7069	7.14403
3378	6.48718
2798	5.85238
12165	5.43138
5244	6.58569
7198	6.70205
8093	5.4852
9754	5.03865
2260	6.3337
14699	5.13817
5968	5.95938
21988	5.61029
33962	5.62299
5135	5.30509
2335	7.19913
2890	5.13481
1290	5.07464
1362	6.10543
3168	5.64745
2334	6.78288
1377	5.03057
1860	5.66259
2816	5.66642
3426	8.50125
1327	7.26438
1454	5.88417
1366	6.41523
4869	5.10964
2334	5.67283
1098	5.09866
3015	5.05698
10002	5.91177
4100	6.08534
3820	6.05914
3910	5.71071
9462	6.37658
1210	5.26434
30350	5.65266
3278	6.02504
8305	5.00773
8223	5.31773
2039	5.45997
3065	5.32429
9256	5.13614
3862	5.5329
1699	5.91648
10033	5.2341
20224	5.80023
1301	5.05185
4312	5.16566
3020	5.13145
11896	5.06031
1502	5.19461
27398	6.37022
15089	5.20363
11726	5.2182
11671	5.23691
9579	5.1634
1599	5.36933
9834	6.33696
13682	7.30908
5076	6.04949
7236	5.36427
19660	5.04772
11404	6.62148
2779	5.87621
5237	5.48709
8353	7.16072
1011	5.40181
3823	7.52002
11445	6.90329
9341	5.51404
6453	5.13995
12477	5.04409
3049	6.86182
1892	5.82531
6597	5.94114
15163	5.9168
10942	6.31194
4811	7.04147
22449	6.34834
5917	5.86801
1851	5.65017
1581	6.74655
1518	5.52167
1853	5.46501
9141	8.10086
4779	5.23101
5285	5.02325
1274	7.13256
3782	5.12487
1965	5.50808
1920	5.03587
4626	6.56745
6433	5.82939
1507	5.00454
4650	5.89518
5028	5.09758
11973	5.23607
1097	6.83162
11976	8.13872
27997	7.13586
2031	6.05071
1561	8.08188
1166	11.2798
7450	9.42262
10029	6.53298
1235	5.88187
3469	6.07606
3185	5.62291
12575	5.03028
4182	5.01912
6368	5.99102
1972	5.15696
1939	5.86299
10776	5.36974
1219	11.6356
4591	6.02791
5118	6.18901
1345	6.20478
6057	5.96867
1191	7.54997
1015	5.89151
9915	5.97398
14661	5.32435
4718	5.39298
12554	5.13153
3968	5.67601
7269	6.52045
2585	5.79085
2149	5.82444
5565	5.27346
5621	5.60712
7244	5.93183
3893	5.16781
2843	9.19732
1683	8.00313
2777	5.9134
8097	6.59756
1190	5.68695
2322	6.71879
5200	5.13212
5693	6.2267
4976	5.14536
3392	5.85589
3875	5.30837
1060	7.25312
1820	5.55719
12129	5.88283
12264	5.59322
3024	5.45924
1864	5.11628
3481	5.43772
8131	5.29709
23665	5.16796
2108	8.44037
2047	5.12905
2691	5.30727
1706	5.10676
6311	5.89546
46582	5.37985
15936	5.01778
4052	5.10111
2696	5.91491
2232	6.08409
1542	5.5885
1690	5.19572
1128	5.00774
4425	5.5743
23177	5.21784
1265	5.1515
2934	5.12113
4487	5.31139
4008	6.65274
8659	5.13813
9638	5.38116
3772	5.32793
1592	5.77775
6042	6.49583
1574	6.82188
10055	6.21638
6305	5.86723
9244	5.41207
34674	5.37355
17789	5.13504
3522	5.53061
5159	6.19782
1044	5.03251
2151	6.15768
1789	6.6353
15755	5.33416
10488	5.05376
46371	6.54097
22726	5.80753
11537	6.88683
4278	7.17626
15876	7.20498
15846	6.69099
6091	5.85085
4924	5.45729
10311	5.56133
8909	5.41527
1153	5.28042
5277	6.12366
6196	5.52624
11713	5.06179
1795	5.07929
1290	6.4384
1827	5.73659
7164	5.8014
2584	5.56718
5586	5.51865
1008	7.19245
4554	5.4446
2411	5.00194
17944	5.31342
3010	6.4995
5607	5.33642
10460	5.0077
1787	7.10141
5391	5.6733
5428	7.58965
2317	5.48885
10539	5.1779
18030	5.173
13796	5.09151
3577	8.10176
8257	6.3835
17576	5.14227
1584	6.09711
2271	5.38183
1435	6.68238
4857	5.87105
2162	5.54379
2818	7.6548
2744	6.28927
2713	5.73502
1122	6.43246
4088	6.40264
7328	5.02764
8198	5.02644
3385	6.59333
1478	6.87358
2655	5.13723
3084	5.26647
2395	5.35454
3986	5.02339
3037	5.36292
2766	6.07765
1145	6.97309
17936	6.25834
35067	6.12107
35985	6.50599
29761	7.99342
19340	6.70564
1880	5.65888
10246	5.02986
3812	5.2702
3225	6.51621
3745	5.64128
17299	5.23918
7740	5.02935
15646	5.93147
3718	5.16032
18118	5.46471
2166	5.29875
2210	5.44178
8801	6.17807
8140	6.64189
19410	5.16783
1390	6.57724
1671	6.01379
2096	5.51549
1707	5.57506
1616	5.56418
3775	5.05494
1391	5.33594
1625	7.13886
4192	5.14496
20748	5.09921
14231	5.70629
5523	5.32582
2914	5.00342
9870	5.07975
16621	5.36486
5038	5.13037
5658	5.87749
26010	5.41333
1393	5.20256
3516	5.03095
2391	7.5593
15781	5.3696
9090	5.59216
3913	6.00919
5038	7.42834
8558	5.25196
2917	6.07626
5999	5.84607
4132	5.13506
6774	5.72289
2580	5.03257
4305	5.4136
6752	5.24973
7603	6.63016
1169	5.02588
1606	6.05773
3545	5.23675
13722	5.41522
1157	8.38367
3193	7.21433
1121	5.5385
3661	5.58211
3455	5.77445
5757	5.30002
1485	6.42172
1752	5.0692
1617	6.57841
2386	5.60267
1812	5.57893
4607	5.08761
1426	8.96317
4489	5.30397
1077	5.18621
2039	5.62559
2557	5.22094
1395	9.29821
3942	5.19291
7275	5.23106
2156	5.39349
1270	7.84234
7645	5.56966
1564	5.30541
1741	5.89354
1315	6.94151
1384	10.8125
1741	5.38384
1885	7.17403
2461	6.08092
3480	5.16624
7876	5.6699
1641	7.06112
1733	6.67078
1329	9.11493
1505	6.22693
7046	5.06855
1003	5.66949
6815	5.34733
1123	5.89092
1051	7.90226
1087	5.23392
1229	8.92116
4571	7.04519
3154	5.67893
1708	6.34859
1509	6.00931
1446	6.38898
1187	5.41749
4614	5.61721
2463	6.20019
1163	5.55252
4806	6.65526
1320	5.04897
1708	5.12479
2464	6.82089
2967	7.48602
2228	6.03468
1885	7.78315
1122	5.4491
1094	6.2004
3093	7.85654
2489	6.5777
5158	6.05661
1194	5.13175
8341	5.51667
4629	5.78829
1975	6.03651
1103	6.17757
2059	5.77682
2679	6.39724
3444	5.25897
2086	5.8855
3354	5.19091
1828	5.3065
1412	5.61479
1778	5.09996
5594	5.28681
6232	7.20248
1146	8.60524
1207	5.0297
1233	6.15064
1068	5.32978
5186	5.01191
1701	5.2766
3028	5.09464
2344	6.11398
2825	9.43382
3334	5.48955
1252	5.4664
4429	5.63132
7830	6.46192
30247	6.37955
6289	5.27523
5928	5.94306
7535	6.06459
2977	5.9625
1897	5.69766
20986	5.49364
7944	5.16329
1756	5.76222
16286	5.75931
15667	5.7988
1167	8.59426
3523	5.56843
4635	7.24522
25019	5.17677
49010	5.52127
1297	6.0241
11699	5.32523
4487	6.98852
9350	5.87623
4976	5.19767
23001	5.11716
1294	5.97322
17892	5.30091
4865	6.4565
3950	5.43143
1033	6.08687
9712	5.2656
1814	7.84203
1014	5.11324
30220	5.08387
2207	5.56505
1335	7.97152
13466	5.80801
2158	5.62314
6036	5.83592
2169	7.57399
16306	5.67167
1471	7.98837
20188	6.39959
2443	5.29292
7040	5.44616
5538	5.73828
1079	5.01345
1340	5.48299
1932	6.94125
5889	5.01515
1140	5.49384
7230	5.17974
3119	8.38178
2873	6.83233
1385	5.70613
1722	5.13961
2179	9.05885
3129	6.43643
4073	5.7064
6833	5.12822
6774	5.19775
2539	5.83106
17165	6.51989
3147	5.19345
2556	5.97134
4685	5.36012
4943	5.32064
2040	7.9852
2409	6.09805
4277	5.81754
1330	5.11742
1511	5.5009
1934	6.12163
2105	5.39751
2200	5.96531
6627	6.26184
3990	5.03877
2928	5.79453
2028	5.1126
2661	5.2859
2917	5.77767
3902	5.18788
1524	6.64784
1969	5.98933
4980	5.19489
1899	7.07357
7961	5.25299
1260	5.13656
4986	5.44382
12038	5.46255
3820	5.82467
1936	5.58009
1681	5.96483
3610	5.80482
3098	5.24396
1675	5.4225
1513	5.69809
4249	5.56287
4170	5.39969
12405	6.11997
13322	5.15358
3813	6.82825
1250	6.1274
4614	5.10534
3644	7.2909
1844	5.50434
1908	5.20876
7571	6.47177
3394	5.98605
2038	5.65915
2963	5.9394
1905	6.36236
4057	5.17093
6126	5.82296
18104	6.37785
