Metric,Value
Sample,GFP_1
Total_Reads,126654832
Reads_in_Peaks,26321734
FRiP,0.207823
Final_Peak_Count,11216
Mean_Peak_Length,7020.98
Mean_Fold_Enrichment,5.90
