Metric,Value
Sample,GFP_2
Total_Reads,145099854
Reads_in_Peaks,14732929
FRiP,0.101536
Final_Peak_Count,12796
Mean_Peak_Length,3944.83
Mean_Fold_Enrichment,5.88
