Metric,Value
Sample,YAF_1
Total_Reads,120116812
Reads_in_Peaks,9395812
FRiP,0.078222
Final_Peak_Count,25004
Mean_Peak_Length,1802.53
Mean_Fold_Enrichment,6.54
