Length	FoldEnrichment
11241	6.14748
23674	10.2626
22730	6.76124
17820	6.84374
8523	8.50949
8090	5.72657
5513	7.47541
2409	7.41215
12635	6.30233
26385	6.99894
14355	6.8178
22861	5.91037
11141	6.48681
30485	6.5878
23557	6.52313
18243	6.07398
7686	7.55828
24979	6.9863
25242	5.52603
10978	6.02008
1609	8.53958
21844	7.32186
1372	6.44445
1933	7.27155
9271	7.48831
3401	7.12636
1450	5.41338
17193	6.78058
14346	6.15054
24740	6.29167
7892	5.49095
11149	5.53727
30301	6.737
6067	5.20237
4083	6.11729
10121	5.14815
37346	5.57788
6774	5.05367
8317	6.47749
5006	5.00718
30395	5.33455
2715	7.07816
17573	6.39314
16875	5.01994
9721	6.46842
40955	6.45666
9887	5.29348
15173	5.28416
7963	7.5122
28585	7.59111
14239	6.30332
2803	5.04149
16259	5.91522
11733	5.303
7796	5.21796
12280	5.33941
3493	5.3358
10408	5.01178
7352	5.14846
8045	5.35346
16828	6.21774
14662	6.27894
26358	6.05401
1093	5.16371
1118	5.28139
7394	8.36678
12406	7.19491
13103	5.76814
6361	5.12336
24908	5.94376
7361	6.79469
7064	5.93318
25651	8.62138
9282	5.82482
39818	6.39019
27383	5.70596
29735	5.52907
18557	5.41996
4375	6.41557
1385	8.60794
1815	5.07595
5765	5.51004
7591	5.22065
4357	5.38051
10581	5.57373
1041	5.37589
18348	5.20658
4464	5.53727
17655	5.22987
4968	6.40233
23639	6.42681
5911	5.23552
3414	5.25658
4889	5.47387
17401	6.68436
21511	6.30347
9311	5.2433
27948	7.09662
14308	5.51359
13383	5.61478
11520	6.31802
19613	6.01887
1975	6.46202
3118	5.09191
1140	6.58438
1117	7.6661
2266	5.51103
6083	5.04104
1715	8.42447
3651	6.83768
2890	5.18244
32843	5.01409
33153	6.1429
5370	6.50775
1279	7.02447
2376	7.86647
6635	6.35195
10066	5.54978
6442	5.47379
1306	5.40141
1166	5.9295
6028	5.05451
1358	6.86755
3883	5.24724
1996	6.07977
5404	5.67976
1383	5.31535
8830	5.91699
1459	6.25545
1080	7.48136
5423	6.08575
6322	6.00077
3505	5.28152
8769	5.54954
1279	5.32478
5106	6.28361
2030	5.86731
1700	5.5627
6119	5.90866
10919	5.36281
2261	5.96758
1964	7.35155
3168	5.39656
