Metric,Value
Sample,GFP_3
Total_Reads,102161808
Reads_in_Peaks,24203212
FRiP,0.236911
Final_Peak_Count,13794
Mean_Peak_Length,6596.57
Mean_Fold_Enrichment,6.03
