Length	FoldEnrichment
2498	5.58033
2128	6.03717
4467	5.28505
4427	5.12408
3725	5.55426
1146	5.40398
1119	5.54933
1135	6.94567
2619	5.48218
1206	5.50048
3021	6.04848
1037	7.62473
1638	5.09048
7086	6.43667
1579	5.70592
3463	5.11964
1525	8.16163
4498	6.02386
12091	5.00295
5763	6.07096
7926	5.25127
2341	7.00622
1285	8.65524
1524	5.8984
3223	5.80191
3721	5.60893
9510	5.59824
6100	5.74963
2383	5.34433
6438	5.0105
1585	5.12774
4453	5.99373
1991	6.45101
4197	5.12334
1729	5.19801
1058	8.7216
1257	5.21036
4061	6.14185
1103	5.91296
1733	5.04415
2750	8.23691
8695	5.00023
4072	5.32234
4598	5.44708
11045	5.77054
1207	7.29557
1325	8.46366
5534	5.51987
3224	6.33475
2672	5.49477
1052	5.45346
1371	7.17146
1640	6.37525
1653	7.06509
1836	5.70125
8261	6.88755
4467	5.5863
3616	5.91264
2769	6.75806
7353	5.40121
1638	6.17292
5030	5.29187
1146	7.56714
1184	10.207
2514	6.92949
7009	6.54787
3296	5.99066
2223	7.43601
1136	6.401
1999	5.48529
1283	6.00919
1109	5.35044
2861	6.29718
1351	5.06814
7250	5.34773
2028	6.4062
1349	5.22961
5506	5.63924
3263	5.30544
1660	5.08041
2564	7.05338
2362	6.88995
1300	7.20129
1204	6.09347
1059	5.50201
1326	7.18108
2658	5.40531
3758	6.20573
5249	5.48787
3563	5.01229
1781	6.39679
2015	5.41547
1394	6.90328
3037	5.75278
1664	6.66429
2207	7.9661
2952	5.79336
6009	5.75729
2209	10.7369
4279	7.41022
6442	5.11688
1691	10.9668
3150	6.39693
1504	8.41674
2033	6.51504
2061	5.36562
4247	6.77203
2407	6.41062
1551	5.62135
1514	8.45969
1417	8.56607
3887	7.26192
4729	9.36542
2811	7.87495
2077	7.04325
1734	6.51627
4532	5.55995
2278	5.05455
1668	6.52829
1316	5.99874
2580	6.74248
2604	5.93529
2090	7.07116
2202	6.25852
4061	5.48522
4025	5.04694
1747	6.8766
1599	6.28618
1244	5.62802
1082	5.04806
5502	5.96692
1129	5.40544
6738	7.18622
3779	5.20742
1071	5.89101
1118	5.08971
1925	5.44367
1775	5.55639
1456	6.01193
1384	5.92881
1241	5.54547
1366	5.81227
2148	7.32992
4921	6.24344
2678	5.00326
2948	5.66176
5214	5.56693
5668	5.23304
1548	5.12382
2568	5.30669
6462	5.51239
2609	5.55169
1930	7.20242
2255	5.50343
1018	8.20737
5820	9.90758
5287	6.11825
2394	6.5849
2698	6.28536
1135	6.50419
15203	6.15258
2134	5.84144
4413	6.45953
1537	5.46563
2311	5.28865
1435	5.16683
1325	5.55849
1820	5.00947
4082	5.06673
1516	6.3826
1487	6.80609
1866	9.24435
2719	8.19214
1545	7.1407
1246	5.18681
6231	5.05126
3388	5.54738
1756	5.37258
1032	6.24339
1621	5.52412
1814	7.60777
1637	5.71096
3468	8.81957
1232	7.51149
4718	6.79948
2389	7.23602
5547	5.03587
3605	10.5202
4256	5.87319
1121	5.30058
2405	5.88794
1333	5.08679
7457	5.24695
1701	7.48404
2111	6.45888
3355	6.16554
5025	5.21781
2855	5.14672
5219	5.42426
4203	6.3951
3494	5.13411
3580	6.36438
9460	6.84982
3820	6.82446
1437	5.17566
2807	6.11808
1873	5.53419
1691	6.15957
1529	8.44735
2037	6.45424
2128	5.15715
2404	5.79505
4909	9.03006
8864	5.20226
1752	5.21871
1091	6.84542
1541	5.01369
6849	5.14951
2429	5.85334
13322	5.58534
2144	5.22367
4045	6.19765
4343	5.12611
10287	5.84645
4763	5.42002
2555	7.44362
