"Metric","Value"
"Total Promoter Peaks",32056
"YAF-enriched Peaks",16594
"GFP-enriched Peaks",15462
"Significant Peaks (FDR < 0.01)",5786
"Significant YAF-enriched (FDR < 0.01)",4191
"Significant GFP-enriched (FDR < 0.01)",1595
"Unique Genes",17568
"Median Distance to TSS",0
"Mean Fold Change",0.122092287745191
"Median p-value",0.116913548757459
"Median FDR",0.252995044911895
