Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73
C1_L001_R1_001 - illumina_universal_adapter	(1, 0.00044508009603078585)	(2, 0.00047931702649469245)	(3, 0.0005896360246561693)	(4, 0.0008267584689802632)	(5, 0.0009015725022162072)	(6, 0.0010435923619183383)	(7, 0.0011031899816147683)	(8, 0.00117546794592746)	(9, 0.0012604262548564136)	(10, 0.0015165692161048998)	(12, 0.0023395235817002848)	(14, 0.002855613607582136)	(16, 0.0033431728580773984)	(18, 0.0040025507781230076)	(20, 0.004673975025554064)	(22, 0.005606614372080113)	(24, 0.0066749334060001615)	(26, 0.007800948007924201)	(28, 0.009088637003705578)	(30, 0.010463186360108345)	(32, 0.011933472318363891)	(34, 0.013536901895090183)	(36, 0.01521704755674486)	(38, 0.016952986734711087)	(40, 0.01895521314961881)	(42, 0.021474163607639197)	(44, 0.024270813612755716)	(46, 0.027549950730520995)	(48, 0.0314073115627878)	(50, 0.03618082729357952)	(52, 0.04216468191799343)	(54, 0.04957253924281351)	(56, 0.058836165002223495)	(58, 0.07097505890337083)	(60, 0.08612680268534194)	(62, 0.10570525477285)	(64, 0.13052385927302823)	(66, 0.16271164604694693)	(68, 0.20194336425519904)	(70, 0.2504279299299373)	(72, 0.3111433220042908)	(74, 0.3860955709965521)	(76, 0.4798870079851934)	(78, 0.5869344772356748)	(80, 0.7137284131398296)	(82, 0.8622228568030239)	(84, 1.0304872257574318)	(86, 1.2178811625999322)	(88, 1.424123163680044)	(90, 1.6502980324796883)	(92, 1.9008216990114783)	(94, 2.1721062597662426)	(96, 2.453363911561697)	(98, 2.751179557357066)	(100, 3.0634038787398934)	(102, 3.3922489618284852)	(104, 3.7356897555876256)	(106, 4.086873801786686)	(108, 4.446502323482946)	(110, 4.815911828998959)	(112, 5.191672919133257)	(114, 5.5803432341041415)	(116, 5.974976481130823)	(118, 6.377847514037459)	(120, 6.781848999666634)	(122, 7.194544129564719)	(124, 7.615452952687986)	(126, 8.044654721190287)	(128, 8.476909916676188)	(130, 8.908323771296796)	(132, 9.347977313849054)	(134, 9.79650456156377)	(136, 10.252060524299281)	(138, 10.715853004880284)
C1_L001_R1_001 - polya	(1, 0.015411690846604476)	(2, 0.023551204055782864)	(3, 0.027303318027734703)	(4, 0.03426609525652401)	(5, 0.03873591673375626)	(6, 0.0428126475278844)	(7, 0.04864560605136478)	(8, 0.06489419964264252)	(9, 0.088687598280596)	(10, 0.11199724177143908)	(12, 0.1256431946302291)	(14, 0.14548666592021703)	(16, 0.17212933799344451)	(18, 0.18944625061864231)	(20, 0.21025913425454346)	(22, 0.2341476354771189)	(24, 0.2549047255967085)	(26, 0.2835147531371489)	(28, 0.30847474347979853)	(30, 0.3288400109507456)	(32, 0.3463560049864187)	(34, 0.364444516581516)	(36, 0.37849116833017993)	(38, 0.3927819167127069)	(40, 0.4114670385219993)	(42, 0.42693325485045375)	(44, 0.4449964057563185)	(46, 0.46639955943410666)	(48, 0.4835820604063721)	(50, 0.5003068009379904)	(52, 0.5223129050022819)	(54, 0.5585634741912509)	(56, 0.5828545763553925)	(58, 0.6020412057942581)	(60, 0.6222384586990397)	(62, 0.64292580692324)	(64, 0.6670818634172184)	(66, 0.6919270966410909)	(68, 0.7159544476372143)	(70, 0.7437421548292902)	(72, 0.7682152199386754)	(74, 0.786712672647647)	(76, 0.8109929965188649)	(78, 0.8331994500280933)	(80, 0.850150534711112)	(82, 0.8685357663702298)	(84, 0.8975090857839262)	(86, 0.9290355925861069)	(88, 0.9502789739217301)	(90, 0.9767365129635601)	(92, 1.0012488871412555)	(94, 1.0397667019476122)	(96, 1.0656846923260204)	(98, 1.085240319793219)	(100, 1.1039641166535912)	(102, 1.1254845635190796)	(104, 1.1456875225789387)	(106, 1.1635750507118683)	(108, 1.1860712500955781)	(110, 1.2069164686102507)	(112, 1.2248990993278022)	(114, 1.2413676968981722)	(116, 1.2590675559307811)	(118, 1.2787335023961415)	(120, 1.2968727353697038)	(122, 1.3121512825978374)	(124, 1.3300939702298478)	(126, 1.352235753981533)	(128, 1.372730994984797)	(130, 1.3977150779822174)	(132, 1.4272615489725688)	(134, 1.4550765189055697)	(136, 1.4778637321982226)	(138, 1.4969654033281592)
C1_L001_R1_001 - polyg	(1, 0.0)	(2, 0.0)	(3, 0.0005985122658875525)	(4, 0.0007950576074396089)	(5, 0.0008863560886766932)	(6, 0.0009801906388370299)	(7, 0.0011057260505380206)	(8, 0.001249013944701778)	(9, 0.0014290748382526943)	(10, 0.0016541509551913393)	(12, 0.0019077578475165734)	(14, 0.002307188702928817)	(16, 0.0032087612051450243)	(18, 0.0037660623510297267)	(20, 0.0041686632925960355)	(22, 0.004739912817558626)	(24, 0.005378368168987402)	(26, 0.0058849479364070575)	(28, 0.006782716335238387)	(30, 0.008379805739656548)	(32, 0.009139358382170625)	(34, 0.011408506051250655)	(36, 0.01398198199112097)	(38, 0.014754214978251308)	(40, 0.015787663064476636)	(42, 0.016648658463920805)	(44, 0.017238294488576975)	(46, 0.01779622965169249)	(48, 0.018307247539727838)	(50, 0.018978037769928083)	(52, 0.01987327009983616)	(54, 0.020523771778650383)	(56, 0.02117997961254193)	(58, 0.021827311205202087)	(60, 0.022486689125247695)	(62, 0.0233736792311552)	(64, 0.02419156145890408)	(66, 0.025150195511893465)	(68, 0.02713657149603086)	(70, 0.0519120628245138)	(72, 0.06233594011631173)	(74, 0.06482699381617635)	(76, 0.06656990718368151)	(78, 0.06819869744964033)	(80, 0.07004495562576803)	(82, 0.07239398946593051)	(84, 0.07512026355842677)	(86, 0.07846787453711987)	(88, 0.08158280119210456)	(90, 0.084898711309257)	(92, 0.08905025613662107)	(94, 0.09212460568883374)	(96, 0.09503220870934254)	(98, 0.09800828559077915)	(100, 0.10140154581009078)	(102, 0.10480304825340299)	(104, 0.10853233760504556)	(106, 0.11248987315978085)	(108, 0.11646262512805564)	(110, 0.12074541152219803)	(112, 0.1256235400960739)	(114, 0.13090300157705445)	(116, 0.1366497337571443)	(118, 0.1429930761514292)	(120, 0.15032294935685925)	(122, 0.1587940535777529)	(124, 0.16908795733723414)	(126, 0.18130229928884822)	(128, 0.19508202978333983)	(130, 0.21216245398144434)	(132, 0.2336156950204667)	(134, 0.25974417911950476)	(136, 0.29204545497773904)	(138, 0.3312657608758365)
C1_L001_R2_001 - illumina_universal_adapter	(1, 0.00041971940679826243)	(2, 0.00045268830280054286)	(3, 0.0005592031975771411)	(4, 0.0007861813662082257)	(5, 0.0008635314683674222)	(6, 0.00099667508683817)	(7, 0.0010537366376113476)	(8, 0.0011260146019240393)	(9, 0.001210972910852993)	(10, 0.0014582396308700962)	(12, 0.002274219806926537)	(14, 0.0027871397466543227)	(16, 0.0032778690833036505)	(18, 0.003946757261811456)	(20, 0.0046321298883204)	(22, 0.005496929391149449)	(24, 0.006543057821991039)	(26, 0.007769881163614359)	(28, 0.009146966588940382)	(30, 0.01059759801304072)	(32, 0.012182641090073432)	(34, 0.013914776164654781)	(36, 0.015734405617088335)	(38, 0.017612364654756695)	(40, 0.01978577572198395)	(42, 0.022465766556630865)	(44, 0.025416482748834963)	(46, 0.028911185725076685)	(48, 0.032975236174588564)	(50, 0.0379966526426282)	(52, 0.04423538219382896)	(54, 0.051972928478671854)	(56, 0.06159223790456798)	(58, 0.0740887175238939)	(60, 0.08966842293666383)	(62, 0.10980734625621066)	(64, 0.1352130507121218)	(66, 0.16820413731748068)	(68, 0.20832918580394844)	(70, 0.2579816112178444)	(72, 0.3200316095630594)	(74, 0.39664878780343593)	(76, 0.4924538635171396)	(78, 0.6018788973831699)	(80, 0.7312919584678137)	(82, 0.8822711156585645)	(84, 1.0535584787694892)	(86, 1.2436691794460235)	(88, 1.4526964182210973)	(90, 1.681659060784627)	(92, 1.9346217916033548)	(94, 2.2084728541084506)	(96, 2.492379429894242)	(98, 2.7929498805574937)	(100, 3.10819085592453)	(102, 3.440389890164123)	(104, 3.7877945596503064)	(106, 4.14295008978318)	(108, 4.507200597092067)	(110, 4.881490133233649)	(112, 5.261923296341809)	(114, 5.655542749816421)	(116, 6.054169671379993)	(118, 6.461667762037102)	(120, 6.870797179029093)	(122, 7.288478854447523)	(124, 7.714821839256089)	(126, 8.150209713879436)	(128, 8.588988946670401)	(130, 9.027651520290899)	(132, 9.47424945357225)	(134, 9.929506160174816)	(136, 10.391206383894136)	(138, 10.860155326613341)
C1_L001_R2_001 - polya	(1, 0.016230841108814984)	(2, 0.0244540445924607)	(3, 0.028278436528725227)	(4, 0.03499901917534393)	(5, 0.03969455078674564)	(6, 0.043786497994413295)	(7, 0.04961184831112392)	(8, 0.06559669073438343)	(9, 0.08868633024613437)	(10, 0.11178040787850099)	(12, 0.1260495996751803)	(14, 0.1461523840125708)	(16, 0.1717305411552631)	(18, 0.18939489522294645)	(20, 0.21042905087240138)	(22, 0.23419455275219908)	(24, 0.25533775936535386)	(26, 0.2837639219088585)	(28, 0.3089990757296809)	(30, 0.32927811685723746)	(32, 0.3466793537741334)	(34, 0.3650436628646344)	(36, 0.3797585687745753)	(38, 0.3940784819497196)	(40, 0.41297092739348795)	(42, 0.4285379524616416)	(44, 0.44621942499455697)	(46, 0.4673106421947851)	(48, 0.4842908916704211)	(50, 0.5007861179644851)	(52, 0.5223851829665944)	(54, 0.5570887501123796)	(56, 0.5805562638936951)	(58, 0.5997029502470195)	(60, 0.619866600238568)	(62, 0.6399478279901109)	(64, 0.6633062908077265)	(66, 0.688192101134371)	(68, 0.7122473488886503)	(70, 0.7407622738444688)	(72, 0.7652150504024678)	(74, 0.7838912959705289)	(76, 0.8079262551734221)	(78, 0.8299716683060239)	(80, 0.84705336053859)	(82, 0.8651843512881519)	(84, 0.8937265389848953)	(86, 0.9243546433710138)	(88, 0.9454902417773988)	(90, 0.9709301831637739)	(92, 0.9952555222583794)	(94, 1.0331862371090033)	(96, 1.058542488220911)	(98, 1.0777335557803922)	(100, 1.0959710614247307)	(102, 1.1166546055455457)	(104, 1.136293289269981)	(106, 1.1536919901179536)	(108, 1.1755503681674657)	(110, 1.1954509010082268)	(112, 1.2125782424814116)	(114, 1.2283931682868132)	(116, 1.2457075448430877)	(118, 1.264769272887483)	(120, 1.2825084409884024)	(122, 1.2972468055358835)	(124, 1.315073468014655)	(126, 1.3365374873466012)	(128, 1.3563606700852031)	(130, 1.3808292970739724)	(132, 1.4096529884211968)	(134, 1.436527710800902)	(136, 1.4589833330818398)	(138, 1.4778567580086839)
C1_L001_R2_001 - polyg	(1, 0.0719863163865177)	(2, 0.07322518605552647)	(3, 0.07344836012077267)	(4, 0.07367407025494213)	(5, 0.07387315166541744)	(6, 0.07408618145497063)	(7, 0.07438797365683766)	(8, 0.07475570365070926)	(9, 0.07516401074735288)	(10, 0.07572955411723815)	(12, 0.07658357532714338)	(14, 0.07734693207304233)	(16, 0.07805829940601461)	(18, 0.07867139406821087)	(20, 0.07923123128301882)	(22, 0.07981199106644361)	(24, 0.08039655495325326)	(26, 0.08099950533975653)	(28, 0.08177047029242523)	(30, 0.08260293491648281)	(32, 0.0832997198531464)	(34, 0.0844187602655315)	(36, 0.08545854852406495)	(38, 0.08626121433827431)	(40, 0.08716088478879808)	(42, 0.0879952514645481)	(44, 0.08886448908799284)	(46, 0.08974387098713059)	(48, 0.0906403713515003)	(50, 0.09159773737002805)	(52, 0.09266922649010217)	(54, 0.09374008159294547)	(56, 0.09478747805824869)	(58, 0.09582156016170482)	(60, 0.09700527033163286)	(62, 0.09824223794894918)	(64, 0.09947413342841901)	(66, 0.10081698192328112)	(68, 0.1023417933633866)	(70, 0.10398136192226923)	(72, 0.1057483679445453)	(74, 0.10788056789176971)	(76, 0.11048891477933474)	(78, 0.1131416428730567)	(80, 0.11575950001908392)	(82, 0.11866646902236191)	(84, 0.12189995689950865)	(86, 0.12484116283325056)	(88, 0.12821730458733022)	(90, 0.13144825639555371)	(92, 0.13499811887087618)	(94, 0.13861582118989563)	(96, 0.1421606115273716)	(98, 0.14613843563349288)	(100, 0.15010294537776714)	(102, 0.1542589283257469)	(104, 0.15906224286638682)	(106, 0.16445265736275969)	(108, 0.1696674490861973)	(110, 0.1747738238631659)	(112, 0.18006406363707028)	(114, 0.18559142585529875)	(116, 0.19157020834186617)	(118, 0.198772010066672)	(120, 0.2061957178222624)	(122, 0.21464653349177001)	(124, 0.22586546839100757)	(126, 0.23702226960162542)	(128, 0.24811947319254685)	(130, 0.2606235610186425)	(132, 0.27451170845960315)	(134, 0.29093338875489283)	(136, 0.31053720153163344)	(138, 0.33378534535108767)
C1_R1 - illumina_universal_adapter	(1, 0.00043192273891316964)	(2, 0.0004658502048096724)	(3, 0.0005793767253095086)	(4, 0.0008220885967229513)	(5, 0.0008977729437228421)	(6, 0.0010439220275847)	(7, 0.0011052524467053011)	(8, 0.0011770220861017492)	(9, 0.0012618407508430062)	(10, 0.00152086390393746)	(12, 0.0023586113310741816)	(14, 0.002883834601202734)	(16, 0.0033751304054347835)	(18, 0.004036715990416587)	(20, 0.004703521185536314)	(22, 0.005592812262785031)	(24, 0.006623032813757682)	(26, 0.0077530784086181186)	(28, 0.009042322112685224)	(30, 0.010422908994165989)	(32, 0.011891576796724215)	(34, 0.013504436329342576)	(36, 0.015174711573478095)	(38, 0.016899792724061814)	(40, 0.01890738527336064)	(42, 0.02143302412884837)	(44, 0.024229430260240888)	(46, 0.02751256503699477)	(48, 0.03139465007707537)	(50, 0.03619081934255983)	(52, 0.042206420026516665)	(54, 0.04964958408319557)	(56, 0.05898159455853555)	(58, 0.07121375091675927)	(60, 0.08650003165693548)	(62, 0.10626343299291557)	(64, 0.13132604352142252)	(66, 0.16385139164462556)	(68, 0.2035360875232579)	(70, 0.25249276836064416)	(72, 0.3137957845280212)	(74, 0.3894644726974982)	(76, 0.48412732215887877)	(78, 0.5921314951327918)	(80, 0.7199147282730988)	(82, 0.869328678276228)	(84, 1.0386313002586474)	(86, 1.2270187742591168)	(88, 1.4342079364276539)	(90, 1.6610450160578696)	(92, 1.9122779010214725)	(94, 2.1840075425454337)	(96, 2.465647918818777)	(98, 2.7638351116806055)	(100, 3.0761928936156284)	(102, 3.4051973171830245)	(104, 3.74842322102246)	(106, 4.099381324829962)	(108, 4.458497026831771)	(110, 4.827184841375265)	(112, 5.2020996508133015)	(114, 5.589857310995699)	(116, 5.983301083972096)	(118, 6.385136032696473)	(120, 6.787839394057547)	(122, 7.199219704821651)	(124, 7.61892398885321)	(126, 8.046377436585782)	(128, 8.477110756838773)	(130, 8.906854308519359)	(132, 9.34476589761453)	(134, 9.79098971585434)	(136, 10.24419411020236)	(138, 10.702383884683362)
C1_R1 - polya	(1, 0.013696257001911264)	(2, 0.020913672920124984)	(3, 0.024221600845034004)	(4, 0.0303350692190769)	(5, 0.03427065526307122)	(6, 0.03778997739856614)	(7, 0.04297566007059314)	(8, 0.05786720779408889)	(9, 0.07962645755655748)	(10, 0.10122259450221596)	(12, 0.11385078877965463)	(14, 0.132640732824912)	(16, 0.1582664087970474)	(18, 0.1750448455854025)	(20, 0.19544242955314028)	(22, 0.2190670374886493)	(24, 0.23966883870303335)	(26, 0.2681000551243027)	(28, 0.29292517339153407)	(30, 0.3131328940405049)	(32, 0.3304724389186868)	(34, 0.34834764628727305)	(36, 0.36213067930772724)	(38, 0.3761172771235606)	(40, 0.39452423227494776)	(42, 0.4096793703104087)	(44, 0.4273718913241676)	(46, 0.44837038290903386)	(48, 0.4652166746291819)	(50, 0.4815377430792015)	(52, 0.5030425368474463)	(54, 0.5385195745036451)	(56, 0.5621970309918005)	(58, 0.5808480029171357)	(60, 0.6003928330785903)	(62, 0.620521607124225)	(64, 0.6439687483150446)	(66, 0.667969168180484)	(68, 0.6912029578069161)	(70, 0.7181752931946357)	(72, 0.7418227369244982)	(74, 0.7595720211985071)	(76, 0.7829088981251631)	(78, 0.8041977305239513)	(80, 0.8203015327019797)	(82, 0.8377285060499718)	(84, 0.8654237574417939)	(86, 0.8954841446773626)	(88, 0.9155757290007647)	(90, 0.9408830087544867)	(92, 0.9642968749306771)	(94, 1.0011668960424343)	(96, 1.0258158524675107)	(98, 1.044247600767053)	(100, 1.0618102839786312)	(102, 1.082080639949257)	(104, 1.101072843887359)	(106, 1.1177990845743349)	(108, 1.13898221986783)	(110, 1.1584735490253708)	(112, 1.175189350492071)	(114, 1.1904390939612817)	(116, 1.2068847806033443)	(118, 1.2251566783424126)	(120, 1.2419285906180952)	(122, 1.255897572249713)	(124, 1.2724998471959132)	(126, 1.292986816987263)	(128, 1.3119157331524425)	(130, 1.3350464354786507)	(132, 1.3625844461150676)	(134, 1.388429345712996)	(136, 1.4094591549586897)	(138, 1.4267412841253542)
C1_R2 - illumina_universal_adapter	(1, 0.0004293129338442079)	(2, 0.00046193549720622976)	(3, 0.0005715473101026233)	(4, 0.0008025150587057381)	(5, 0.0008808092107745907)	(6, 0.0010165190743606017)	(7, 0.001075239688412241)	(8, 0.00114831423034317)	(9, 0.001234437797618908)	(10, 0.0014856315355064762)	(12, 0.0023175069012380343)	(14, 0.002839467915030384)	(16, 0.0033366357806675975)	(18, 0.0040060507808562865)	(20, 0.0046872099038553034)	(22, 0.00553278674619891)	(24, 0.006543433759154348)	(26, 0.0077406818345405505)	(28, 0.009076249578581726)	(30, 0.010479019803148668)	(32, 0.01201749989130162)	(34, 0.0137177878937302)	(36, 0.015502242109632795)	(38, 0.017354551257328397)	(40, 0.019492634060075315)	(42, 0.0221611597430887)	(44, 0.025090665932998267)	(46, 0.028563664028519113)	(48, 0.0326245207158236)	(50, 0.037619035166549145)	(52, 0.04385712173263497)	(54, 0.05160041337224448)	(56, 0.06129518675217015)	(58, 0.07387444718456579)	(60, 0.08960504723773273)	(62, 0.1099536973604275)	(64, 0.13564135620295076)	(66, 0.1689861831178078)	(68, 0.20955625536608546)	(70, 0.2597767343081164)	(72, 0.3224864354076638)	(74, 0.39995262681838817)	(76, 0.49682141401430874)	(78, 0.6074406116673214)	(80, 0.7381872784634345)	(82, 0.8906338219566972)	(84, 1.063470772453758)	(86, 1.2553103661091964)	(88, 1.4662387264902887)	(90, 1.6972221339238174)	(92, 1.952557632455828)	(94, 2.2286371665784817)	(96, 2.5149216909720424)	(98, 2.8179298462475098)	(100, 3.135556824616767)	(102, 3.4701370967139997)	(104, 3.819964502475374)	(106, 4.177584786172668)	(108, 4.5440112046239065)	(110, 4.920427304427863)	(112, 5.302830297060018)	(114, 5.6984773979658865)	(116, 6.099149678532041)	(118, 6.508893641517906)	(120, 6.920024715897926)	(122, 7.339728999929483)	(124, 7.7680058411613135)	(126, 8.205173635811828)	(128, 8.645556057856037)	(130, 9.08547197724417)	(132, 9.533552671790549)	(134, 9.989793574336304)	(136, 10.452575300836145)	(138, 10.920403085436824)
C1_R2 - polya	(1, 0.01309208712844662)	(2, 0.019869750892540283)	(3, 0.022984553242346134)	(4, 0.028479497815045097)	(5, 0.032188030818039746)	(6, 0.03535372436669035)	(7, 0.04009052056685593)	(8, 0.053823314839732656)	(9, 0.07390576484539332)	(10, 0.09403910604989874)	(12, 0.10624059719856216)	(14, 0.1241151521158812)	(16, 0.1475198839743302)	(18, 0.1637000229506258)	(20, 0.1835058336189765)	(22, 0.20621374752401267)	(24, 0.22630402694488022)	(26, 0.25392228908716796)	(28, 0.27828416695465863)	(30, 0.2977219951082858)	(32, 0.3142074812776499)	(34, 0.3317120963264436)	(36, 0.34557929556037187)	(38, 0.3590269686294645)	(40, 0.37707507558386955)	(42, 0.3918367855051844)	(44, 0.4086530644670394)	(46, 0.4288549130546051)	(48, 0.444930007376875)	(50, 0.4605164156999818)	(52, 0.4811423576112538)	(54, 0.5148440753692913)	(56, 0.5372727401319486)	(58, 0.5553560794547845)	(60, 0.5743978696891967)	(62, 0.5933378775259194)	(64, 0.615417480860603)	(66, 0.6388470058672071)	(68, 0.6613089456444937)	(70, 0.6877586675671539)	(72, 0.7103935069302592)	(74, 0.7275360115257343)	(76, 0.7499105228332106)	(78, 0.7703498636820518)	(80, 0.7859643274096499)	(82, 0.8028197534475394)	(84, 0.8299754276413538)	(86, 0.8590975899546306)	(88, 0.8789288462224036)	(90, 0.9030506220235499)	(92, 0.926010382117741)	(94, 0.962286020125042)	(96, 0.9862942694056884)	(98, 1.0042288498395937)	(100, 1.0211860582751726)	(102, 1.0405123172621016)	(104, 1.0588148802107302)	(106, 1.0748899745330003)	(108, 1.0953293153818413)	(110, 1.11387067549428)	(112, 1.1296919662735934)	(114, 1.1442031349082882)	(116, 1.1601757943816011)	(118, 1.1777684903514722)	(120, 1.1940217038696987)	(122, 1.207464809779921)	(124, 1.2238974473966386)	(126, 1.2438024306576096)	(128, 1.261935356276756)	(130, 1.2846471848893957)	(132, 1.3116841129525723)	(134, 1.3368021818387945)	(136, 1.3575938463719455)	(138, 1.374509297926421)
