Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
C1_L001_R1_001	(1.0, 40.350789077358016)	(2.0, 18.4353273063402)	(3.0, 8.577947929063463)	(4.0, 4.519883358077814)	(5.0, 2.861861783232591)	(6.0, 1.9351958387140762)	(7.0, 1.4919778858090766)	(8.0, 1.2050396130492522)	(9.0, 0.9406429377749341)	('>10', 8.826927423947373)	('>50', 2.0580227107885443)	('>100', 3.404670707200816)	('>500', 1.1525035981866878)	('>1k', 2.132149441715761)	('>5k', 0.5901061945479312)	('>10k+', 1.5169541941934583)
C1_L001_R2_001	(1.0, 42.25650631615493)	(2.0, 17.98103253125384)	(3.0, 8.265492283923077)	(4.0, 4.40574830877886)	(5.0, 2.7087662538387622)	(6.0, 1.8203120412231748)	(7.0, 1.4301873546222883)	(8.0, 1.0490390420078828)	(9.0, 0.9021988421266466)	('>10', 8.554790627929176)	('>50', 1.918278397015296)	('>100', 3.3779670519071106)	('>500', 1.1534689760725751)	('>1k', 2.1243315963225067)	('>5k', 0.5807648723880403)	('>10k+', 1.4711155044358084)
C1_R1	(1.0, 40.207013736886736)	(2.0, 18.522969684214754)	(3.0, 8.636690261284413)	(4.0, 4.529695740517137)	(5.0, 2.8373846302162087)	(6.0, 1.9456383566049382)	(7.0, 1.5007848516990827)	(8.0, 1.2130693789478304)	(9.0, 0.9315941126466837)	('>10', 8.800950977063602)	('>50', 2.061728993772336)	('>100', 3.4100918292799016)	('>500', 1.1382252933316537)	('>1k', 2.127286838547499)	('>5k', 0.6112659195497872)	('>10k+', 1.5256093954373566)
C1_R2	(1.0, 41.5013288327729)	(2.0, 18.226077776915428)	(3.0, 8.35487792263866)	(4.0, 4.478884095361561)	(5.0, 2.745800982608047)	(6.0, 1.859383040111031)	(7.0, 1.4162073723321735)	(8.0, 1.0756816855452698)	(9.0, 0.9252096810140347)	('>10', 8.646744096089943)	('>50', 1.9543365050201433)	('>100', 3.416213974045871)	('>500', 1.1558676854072039)	('>1k', 2.1571374085747648)	('>5k', 0.5968273592134822)	('>10k+', 1.489421582349404)
C2_L001_R1_001	(1.0, 48.430396147396515)	(2.0, 13.811432959040118)	(3.0, 5.742306186468286)	(4.0, 3.3996856804201463)	(5.0, 2.2193566157142954)	(6.0, 1.6352327819349366)	(7.0, 1.3189345277314362)	(8.0, 0.9456191681488131)	(9.0, 0.8730004427922029)	('>10', 8.357464556150223)	('>50', 2.0708034623050655)	('>100', 4.014048202304982)	('>500', 1.4829747417584815)	('>1k', 2.9771061202743527)	('>5k', 0.8667771032914516)	('>10k+', 1.854861304268582)
C2_L001_R2_001	(1.0, 49.81094213087946)	(2.0, 13.365212544614335)	(3.0, 5.768661428376253)	(4.0, 3.1943942095010467)	(5.0, 2.1841067175418547)	(6.0, 1.6019014550408148)	(7.0, 1.2013100936212986)	(8.0, 1.03746860021681)	(9.0, 0.8459859742148791)	('>10', 7.9863102084538005)	('>50', 2.020499638054522)	('>100', 3.872744935434267)	('>500', 1.5361607130354151)	('>1k', 2.9044281170992057)	('>5k', 0.9179171835680835)	('>10k+', 1.7519560503480254)
C2_R1	(1.0, 48.39841793520223)	(2.0, 13.872253571731896)	(3.0, 5.8067544146792756)	(4.0, 3.3838640478531086)	(5.0, 2.219157593067529)	(6.0, 1.6508461810254764)	(7.0, 1.32131153972354)	(8.0, 0.9394061112306327)	(9.0, 0.875250505627685)	('>10', 8.332259644681697)	('>50', 2.084135258134279)	('>100', 4.0102981060338285)	('>500', 1.5026283115420527)	('>1k', 2.9156375834470882)	('>5k', 0.860566531862884)	('>10k+', 1.827212664156854)
C2_R2	(1.0, 49.168677248701556)	(2.0, 13.578956026211747)	(3.0, 5.840096270711823)	(4.0, 3.2486913569054323)	(5.0, 2.2178360677348485)	(6.0, 1.6183638310299329)	(7.0, 1.2473257540999296)	(8.0, 1.0243738665256272)	(9.0, 0.8603862929007177)	('>10', 8.073508184268043)	('>50', 2.060532096957942)	('>100', 3.9212092961196694)	('>500', 1.5408019893360758)	('>1k', 2.890642100216698)	('>5k', 0.9424840007673077)	('>10k+', 1.7661156175124482)
C3_L001_R1_001	(1.0, 53.138741963758186)	(2.0, 14.258414185254145)	(3.0, 5.6350215587194805)	(4.0, 3.150189496674268)	(5.0, 2.0288023974395295)	(6.0, 1.4860558805966617)	(7.0, 1.1649106263112596)	(8.0, 0.8925937368288448)	(9.0, 0.7294289221281145)	('>10', 7.015533969851695)	('>50', 1.6880442197195427)	('>100', 3.4052287649493476)	('>500', 1.2731572820184323)	('>1k', 2.1267161438361653)	('>5k', 0.578375628155203)	('>10k+', 1.4287852237594645)
C3_L001_R2_001	(1.0, 54.45707750476395)	(2.0, 13.98601528496845)	(3.0, 5.49273890005743)	(4.0, 2.952116712266486)	(5.0, 1.9932402255292008)	(6.0, 1.399959936003928)	(7.0, 1.0772050926237116)	(8.0, 0.892199089359539)	(9.0, 0.7230143835118485)	('>10', 6.732234166195543)	('>50', 1.683927433893477)	('>100', 3.3691175505941926)	('>500', 1.276870279863726)	('>1k', 2.0317641273978984)	('>5k', 0.5837412990050924)	('>10k+', 1.3487780139654713)
