Sample	Total	Assigned	Unassigned_Unmapped	Unassigned_Read_Type	Unassigned_Singleton	Unassigned_MappingQuality	Unassigned_Chimera	Unassigned_FragmentLength	Unassigned_Duplicate	Unassigned_MultiMapping	Unassigned_Secondary	Unassigned_NonSplit	Unassigned_NoFeatures	Unassigned_Overlapping_Length	Unassigned_Ambiguity	percent_assigned
C1	161575651	61792918	0	0	0	0	0	0	0	28606452	0	0	62856241	0	8320040	38.2439542205527
C2	135552724	47801477	0	0	0	0	0	0	0	35282338	0	0	45964077	0	6504832	35.26412128759581
C3	97257607	34327536	0	0	0	0	0	0	0	21172418	0	0	37070583	0	4687070	35.295476681839396
GFP1	101695052	37965742	0	0	0	0	0	0	0	22962402	0	0	35490898	0	5276010	37.332929432987555
GFP2	107052832	38246951	0	0	0	0	0	0	0	27935537	0	0	36074374	0	4795970	35.727173476363525
GFP3	81122154	28902584	0	0	0	0	0	0	0	17389449	0	0	30890448	0	3939673	35.62847209407186
YAF1	148393788	52728069	0	0	0	0	0	0	0	36155270	0	0	52542658	0	6967791	35.53253118654805
YAF2	159284650	51428865	0	0	0	0	0	0	0	44294750	0	0	56774061	0	6786974	32.28739555255324
YAF3	111010654	26411275	0	0	0	0	0	0	0	51477307	0	0	29418445	0	3703627	23.79165787096435
