Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37
C3_R1	(1, 36.147452925067554)	(2, 36.166448907874965)	(3, 36.32096547339374)	(4, 36.363843111975)	(5, 36.39236605743038)	(6, 36.37795856787979)	(7, 36.32911355372253)	(8, 36.407772978264276)	(9, 36.41893581984712)	(10, 36.43049210975937)	(15, 36.4287356771632)	(20, 36.393149984700855)	(25, 36.31450777647978)	(30, 36.273292798263284)	(35, 36.23551175297776)	(40, 36.2202552818877)	(45, 36.20023085963527)	(50, 36.18984996820021)	(55, 36.18847767496252)	(60, 36.184126471032506)	(65, 36.16366508055481)	(70, 36.16654334162776)	(75, 36.140241609708156)	(80, 36.10093592309077)	(85, 36.04631082104326)	(90, 36.03005594331474)	(95, 36.09373941486772)	(100, 36.06570495093528)	(105, 36.02896153373594)	(110, 35.999255188484945)	(115, 35.96226788986846)	(120, 35.91390828960847)	(125, 35.84449422953127)	(130, 35.75767189338758)	(135, 35.732096162226824)	(140, 35.62056241743586)	(145, 35.655880420759935)	(150, 36.3137686511627)
C3_R2	(1, 35.57728780145724)	(2, 36.1550717053624)	(3, 36.16244389065985)	(4, 36.1697052494515)	(5, 36.15384118296751)	(6, 36.12872585146607)	(7, 36.14578658581463)	(8, 36.2255413774077)	(9, 36.23807243691369)	(10, 36.22217831303751)	(15, 36.20917204629241)	(20, 36.17666017437799)	(25, 36.12813306433362)	(30, 36.1141656617791)	(35, 36.0585906656723)	(40, 36.00448357455421)	(45, 35.99047495132871)	(50, 35.997931971523215)	(55, 35.98316467237971)	(60, 36.03307450882076)	(65, 35.92630101507349)	(70, 35.84569355017832)	(75, 35.817575688724844)	(80, 35.840099450322164)	(85, 35.95477604700424)	(90, 35.896166467003)	(95, 35.90992465921319)	(100, 35.77627017591686)	(105, 35.771489222823455)	(110, 35.700063163579145)	(115, 35.66419316250298)	(120, 35.5258060935624)	(125, 35.51895846309634)	(130, 35.458514904284314)	(135, 35.425004217209924)	(140, 35.36350420006057)	(145, 35.140569164150286)	(150, 36.05786717426466)
GFP1_L001_R1_001	(1, 36.01111886197069)	(2, 36.049669640203)	(3, 36.20432450993342)	(4, 36.252683154799435)	(5, 36.28671765161126)	(6, 36.26881002099962)	(7, 36.22053939529245)	(8, 36.29914681456826)	(9, 36.31108302939154)	(10, 36.32430677866788)	(15, 36.32350265932224)	(20, 36.28246448008288)	(25, 36.18151959951813)	(30, 36.129365364301705)	(35, 36.083257824739846)	(40, 36.04827508997356)	(45, 36.0004001583773)	(50, 35.977989639144326)	(55, 35.94896378781525)	(60, 35.92567194969503)	(65, 35.886048607978026)	(70, 35.87624217905866)	(75, 35.850105369756854)	(80, 35.799045006421935)	(85, 35.731636344372774)	(90, 35.701598762846814)	(95, 35.73290365279918)	(100, 35.674742504137306)	(105, 35.61273550230512)	(110, 35.55797273048011)	(115, 35.496052306008025)	(120, 35.41976045636974)	(125, 35.31605871772383)	(130, 35.188861871840345)	(135, 35.107782944019085)	(140, 34.927129081342194)	(145, 34.86484970207863)	(150, 34.717024122477575)
GFP1_L001_R2_001	(1, 35.410528218697266)	(2, 36.03212390924657)	(3, 36.025018332899975)	(4, 36.035400938092266)	(5, 36.02426318569886)	(6, 36.00309988773575)	(7, 35.99910187782647)	(8, 36.06335020687157)	(9, 36.07913810741082)	(10, 36.06614850135027)	(15, 36.045521691392494)	(20, 36.010943714055614)	(25, 35.95598985284095)	(30, 35.93363307635006)	(35, 35.87344125830065)	(40, 35.80179025659361)	(45, 35.7747556477871)	(50, 35.76394449344382)	(55, 35.73244408251075)	(60, 35.76653835883111)	(65, 35.64357005544921)	(70, 35.550556885577464)	(75, 35.50958064241814)	(80, 35.52469060346671)	(85, 35.621595490412936)	(90, 35.5599638790611)	(95, 35.56412584967079)	(100, 35.42228182337793)	(105, 35.39760524579483)	(110, 35.3094108532565)	(115, 35.25444263532057)	(120, 35.102152989469644)	(125, 35.071637935661144)	(130, 34.99159961894035)	(135, 34.93779284545968)	(140, 34.84534909215283)	(145, 34.58305625882387)	(150, 34.50067944255567)
GFP1_R1	(1, 36.130221970351734)	(2, 36.15410408910547)	(3, 36.307599753098486)	(4, 36.352707648658075)	(5, 36.381420912183266)	(6, 36.364358941443236)	(7, 36.318261795438616)	(8, 36.397289547925205)	(9, 36.40687735863583)	(10, 36.419970636929584)	(15, 36.4199176900114)	(20, 36.38371202332711)	(25, 36.30517279758562)	(30, 36.264790441671195)	(35, 36.22758647735618)	(40, 36.213321013206105)	(45, 36.195865542820684)	(50, 36.18641597809349)	(55, 36.18566644032486)	(60, 36.18138347611375)	(65, 36.15965868636603)	(70, 36.16239916678445)	(75, 36.13785028023062)	(80, 36.10141483077468)	(85, 36.04529873083858)	(90, 36.02698115824762)	(95, 36.09108598569492)	(100, 36.06204211808058)	(105, 36.02615447803953)	(110, 35.99754412803617)	(115, 35.960411180674726)	(120, 35.913278105406036)	(125, 35.84163824594678)	(130, 35.74919556766092)	(135, 35.710424049757435)	(140, 35.58125612014574)	(145, 35.59893638693777)	(150, 36.265963671516666)
GFP1_R2	(1, 35.58104238397872)	(2, 36.20596708922665)	(3, 36.205035078693165)	(4, 36.21634293200903)	(5, 36.19992150014762)	(6, 36.1780563769613)	(7, 36.188605466712815)	(8, 36.25918177554858)	(9, 36.27413555599369)	(10, 36.26289767093813)	(15, 36.24767127286165)	(20, 36.2170615272144)	(25, 36.171472946108125)	(30, 36.157081083347336)	(35, 36.10547055440814)	(40, 36.05218466128789)	(45, 36.041717208894276)	(50, 36.04868998660807)	(55, 36.03627543541718)	(60, 36.08413544951195)	(65, 35.9818946125995)	(70, 35.903834239552125)	(75, 35.87809997881594)	(80, 35.89733525499536)	(85, 36.008927016317934)	(90, 35.953338903720464)	(95, 35.965787910270556)	(100, 35.83905073928348)	(105, 35.83363794844156)	(110, 35.76360318234956)	(115, 35.72901922194695)	(120, 35.59543264772596)	(125, 35.58474072904444)	(130, 35.52536485144275)	(135, 35.49068360392685)	(140, 35.42764377356805)	(145, 35.213563107698185)	(150, 36.08674875160705)
GFP2_L001_R1_001	(1, 36.002194415154676)	(2, 36.0431737861955)	(3, 36.20603263365593)	(4, 36.256244326791766)	(5, 36.29367590171844)	(6, 36.27717068611932)	(7, 36.229983456575695)	(8, 36.31381376130733)	(9, 36.32441932323145)	(10, 36.33804235488448)	(15, 36.33642984686296)	(20, 36.2944774274269)	(25, 36.1953440829844)	(30, 36.14072131841003)	(35, 36.093054494146706)	(40, 36.05677298720497)	(45, 36.011108266975796)	(50, 35.98712795957016)	(55, 35.95913897333547)	(60, 35.93375877859622)	(65, 35.89017785136849)	(70, 35.878250071015074)	(75, 35.84854582169584)	(80, 35.79702283552707)	(85, 35.729521825380615)	(90, 35.69898494013587)	(95, 35.72842994569454)	(100, 35.669850646411234)	(105, 35.60831961488521)	(110, 35.555421557927716)	(115, 35.499813881949464)	(120, 35.432380057960536)	(125, 35.34388804957611)	(130, 35.23798313641933)	(135, 35.18482603690562)	(140, 35.032765658054736)	(145, 34.99836458285086)	(150, 34.8651602872345)
GFP2_L001_R2_001	(1, 35.45610926233373)	(2, 36.027974044799436)	(3, 36.029163906981296)	(4, 36.03307304599286)	(5, 36.02701918930179)	(6, 36.00131199322408)	(7, 35.99611454274078)	(8, 36.0739967236688)	(9, 36.08754230371821)	(10, 36.070652485998494)	(15, 36.04930216495481)	(20, 36.012483973570276)	(25, 35.958004619410495)	(30, 35.93392565748653)	(35, 35.871017615561826)	(40, 35.80046948218893)	(45, 35.772070747313606)	(50, 35.75987178775742)	(55, 35.728437901314656)	(60, 35.765094638278235)	(65, 35.640434811459656)	(70, 35.5453377873002)	(75, 35.50265891552383)	(80, 35.520065019589055)	(85, 35.618404335197276)	(90, 35.55757099586135)	(95, 35.56190800397757)	(100, 35.41906096157894)	(105, 35.3939396846492)	(110, 35.30196446272382)	(115, 35.24314586305541)	(120, 35.08325783810672)	(125, 35.042817883863805)	(130, 34.94860553914779)	(135, 34.877998827139585)	(140, 34.77058149305461)	(145, 34.489189527538784)	(150, 34.399092033164756)
GFP2_R1	(1, 36.109318620785515)	(2, 36.13697869403617)	(3, 36.29850534360781)	(4, 36.345702097091404)	(5, 36.377258740165836)	(6, 36.3604933227392)	(7, 36.31619214796932)	(8, 36.39955062650565)	(9, 36.40815322965893)	(10, 36.42060217810363)	(15, 36.419987066534475)	(20, 36.38308185042509)	(25, 36.304586666179205)	(30, 36.261736461227784)	(35, 36.22420249109575)	(40, 36.20879156241476)	(45, 36.18935415721578)	(50, 36.17615124811375)	(55, 36.17475470465632)	(60, 36.17077812053792)	(65, 36.150098967346196)	(70, 36.15104513198141)	(75, 36.12653696015546)	(80, 36.090828735640535)	(85, 36.035012599740796)	(90, 36.0152866876874)	(95, 36.07900611462228)	(100, 36.050882312214824)	(105, 36.01553179354674)	(110, 35.988739542276164)	(115, 35.95682005889738)	(120, 35.916372732722834)	(125, 35.85501621212301)	(130, 35.77634191530448)	(135, 35.75560640552314)	(140, 35.643710454931885)	(145, 35.67694734894664)	(150, 36.28938466938722)
GFP2_R2	(1, 35.61423372057563)	(2, 36.184503580582216)	(3, 36.19136442297348)	(4, 36.196735903566264)	(5, 36.1856826157862)	(6, 36.15957592527657)	(7, 36.16641486468299)	(8, 36.250003674513906)	(9, 36.263474566002856)	(10, 36.249655614675774)	(15, 36.23428272479883)	(20, 36.20204116056671)	(25, 36.15811861512038)	(30, 36.14240316997124)	(35, 36.088830014462985)	(40, 36.03657622659661)	(45, 36.02526111083405)	(50, 36.03053924915126)	(55, 36.01807153480794)	(60, 36.06746609780926)	(65, 35.96510309322521)	(70, 35.88650651093693)	(75, 35.86015077594753)	(80, 35.88053737645684)	(85, 35.99207302670553)	(90, 35.93735895129358)	(95, 35.95095837208817)	(100, 35.82435033623479)	(105, 35.81921560843149)	(110, 35.746652026545235)	(115, 35.70886864217164)	(120, 35.5695959240796)	(125, 35.55017625897017)	(130, 35.47850942853305)	(135, 35.429671496862284)	(140, 35.35384399352655)	(145, 35.12576875900807)	(150, 36.05954391982442)
GFP3_L001_R1_001	(1, 36.019498605031835)	(2, 36.05856229001741)	(3, 36.21516083201314)	(4, 36.25941699403736)	(5, 36.29693498498693)	(6, 36.2791198381747)	(7, 36.22962099242588)	(8, 36.3107219314073)	(9, 36.32323588175029)	(10, 36.337871723240006)	(15, 36.33911465350112)	(20, 36.2984567342958)	(25, 36.20090536568746)	(30, 36.14998842706791)	(35, 36.1066640990188)	(40, 36.07299007796321)	(45, 36.027995755974345)	(50, 36.00491519752152)	(55, 35.980347627072774)	(60, 35.95733875995835)	(65, 35.91669469123814)	(70, 35.9085091815014)	(75, 35.87652888749337)	(80, 35.824514226506224)	(85, 35.754815331714624)	(90, 35.72517851545337)	(95, 35.75928583237686)	(100, 35.70333510476347)	(105, 35.64313575406448)	(110, 35.593811695300964)	(115, 35.5418791743566)	(120, 35.48179106135824)	(125, 35.400950006785045)	(130, 35.305944249416655)	(135, 35.26435679759643)	(140, 35.130421082787336)	(145, 35.11429023009105)	(150, 34.99373112124121)
GFP3_L001_R2_001	(1, 35.41231100740588)	(2, 35.9600741514131)	(3, 35.98338849102986)	(4, 35.98496285948503)	(5, 35.972230623803526)	(6, 35.94786178506724)	(7, 35.93855146039822)	(8, 36.01824727348333)	(9, 36.02884405850957)	(10, 36.01565375691764)	(15, 35.995362669239256)	(20, 35.95936665508933)	(25, 35.905447896279014)	(30, 35.88337112237337)	(35, 35.81976039401403)	(40, 35.74685174187839)	(45, 35.71743286707423)	(50, 35.705575978878265)	(55, 35.67164932666697)	(60, 35.70983306673706)	(65, 35.58135852202944)	(70, 35.485989128585985)	(75, 35.442405588020016)	(80, 35.46370918425246)	(85, 35.56530501619814)	(90, 35.5020842387775)	(95, 35.51070770000738)	(100, 35.36738032463992)	(105, 35.34865572788716)	(110, 35.26418974529762)	(115, 35.215028315988924)	(120, 35.06530429669242)	(125, 35.04516374442416)	(130, 34.96942108093566)	(135, 34.92704869069799)	(140, 34.84816392456512)	(145, 34.6030593224531)	(150, 34.53217452351924)
GFP3_R1	(1, 36.13211330413774)	(2, 36.1562451863174)	(3, 36.31112434651402)	(4, 36.352141262805326)	(5, 36.38418709311305)	(6, 36.366412176936635)	(7, 36.320034462006106)	(8, 36.40102296621089)	(9, 36.41117684180926)	(10, 36.424235361373675)	(15, 36.42584526404327)	(20, 36.39009768794533)	(25, 36.313186433001164)	(30, 36.273562666709)	(35, 36.23942737326403)	(40, 36.223616628866594)	(45, 36.203773845958196)	(50, 36.191195940734204)	(55, 36.18989131075567)	(60, 36.18613107759758)	(65, 36.16541946160951)	(70, 36.16904064114974)	(75, 36.14383391196157)	(80, 36.107117900069376)	(85, 36.04830279511684)	(90, 36.02826086423933)	(95, 36.093134373596556)	(100, 36.0649631733513)	(105, 36.02941661503966)	(110, 36.00387736661747)	(115, 35.973396430591855)	(120, 35.93598664243028)	(125, 35.878608339656985)	(130, 35.80468537420539)	(135, 35.78769423308385)	(140, 35.6824504704487)	(145, 35.717743003968884)	(150, 36.30822331056339)
GFP3_R2	(1, 35.580207602492116)	(2, 36.13256406865109)	(3, 36.15938545103226)	(4, 36.162995034141716)	(5, 36.145560615543566)	(6, 36.121249668095444)	(7, 36.12276659008835)	(8, 36.207152458921506)	(9, 36.21778822079899)	(10, 36.205557848983815)	(15, 36.190797556597396)	(20, 36.158331671835526)	(25, 36.112977556927305)	(30, 36.09884585920302)	(35, 36.044648329415466)	(40, 35.99080018016769)	(45, 35.97879322134323)	(50, 35.98443306600101)	(55, 35.969512791866386)	(60, 36.02143250012786)	(65, 35.913591697526655)	(70, 35.83443725360023)	(75, 35.80653632699263)	(80, 35.83131796326959)	(85, 35.9482286622413)	(90, 35.893960834855555)	(95, 35.91250407560331)	(100, 35.784966157756244)	(105, 35.78610774041853)	(110, 35.7198677240875)	(115, 35.69052499925712)	(120, 35.55923569718961)	(125, 35.55830906236952)	(130, 35.501355957096045)	(135, 35.47494380145856)	(140, 35.4180490451743)	(145, 35.21135999055873)	(150, 36.0877561317752)
YAF1_L001_R1_001	(1, 35.990790650672565)	(2, 36.03454202868777)	(3, 36.19774200099746)	(4, 36.24673474352995)	(5, 36.28219215454952)	(6, 36.26569725318479)	(7, 36.215643938709796)	(8, 36.2980817357397)	(9, 36.3084226861269)	(10, 36.3253476903948)	(15, 36.323830119264606)	(20, 36.28242085125231)	(25, 36.1778263451735)	(30, 36.121076515679725)	(35, 36.071505002569126)	(40, 36.035033903577435)	(45, 35.98263420421191)	(50, 35.95765890713518)	(55, 35.92632488665117)	(60, 35.90171137815164)	(65, 35.86316500713981)	(70, 35.85357427576721)	(75, 35.820589782397875)	(80, 35.76415795813249)	(85, 35.69975588965723)	(90, 35.67015203558183)	(95, 35.69747436059955)	(100, 35.63483933328304)	(105, 35.567600215639985)	(110, 35.50238634069116)	(115, 35.42767507733801)	(120, 35.330603705279124)	(125, 35.20331958584642)	(130, 35.04618926059877)	(135, 34.93570648403437)	(140, 34.722602443670034)	(145, 34.63329610443945)	(150, 34.47069521191896)
YAF1_L001_R2_001	(1, 35.33589153718193)	(2, 35.73982157362724)	(3, 35.75852605229476)	(4, 35.78213671241626)	(5, 35.77820738053059)	(6, 35.75705796809139)	(7, 35.77408808315101)	(8, 35.869363949282665)	(9, 35.8848944706663)	(10, 35.868051131011136)	(15, 35.84967712995508)	(20, 35.811005875747774)	(25, 35.74912533953763)	(30, 35.72360335730495)	(35, 35.654741023728505)	(40, 35.57208670881238)	(45, 35.54086121567516)	(50, 35.52818471719563)	(55, 35.49257056122816)	(60, 35.53153972114312)	(65, 35.39334454794699)	(70, 35.2915469730748)	(75, 35.24800883059261)	(80, 35.27587787990848)	(85, 35.37559202720316)	(90, 35.3033183696423)	(95, 35.30937024614462)	(100, 35.15160395517413)	(105, 35.12655652740672)	(110, 35.03271083905169)	(115, 34.97564183845107)	(120, 34.81169894714746)	(125, 34.78589888193655)	(130, 34.7003959149856)	(135, 34.64595889196478)	(140, 34.54520178671851)	(145, 34.2586027598272)	(150, 34.16417939407983)
YAF1_R1	(1, 36.12391973585189)	(2, 36.150380858107404)	(3, 36.31077154302493)	(4, 36.35545106065188)	(5, 36.38502048960023)	(6, 36.36843169791674)	(7, 36.32161654442182)	(8, 36.40338178901159)	(9, 36.411621351756295)	(10, 36.42706340755517)	(15, 36.42621576050629)	(20, 36.38998052831779)	(25, 36.30903744219602)	(30, 36.265375554937904)	(35, 36.2260194159518)	(40, 36.21115528191759)	(45, 36.18989352632637)	(50, 36.179088930260015)	(55, 36.17628451625164)	(60, 36.17230748137574)	(65, 36.1516506534731)	(70, 36.15460589731868)	(75, 36.126924081061745)	(80, 36.08708532130933)	(85, 36.03532501803188)	(90, 36.01825262823057)	(95, 36.08156690731344)	(100, 36.05101362607353)	(105, 36.011888121574266)	(110, 35.97601003311581)	(115, 35.93004494336698)	(120, 35.8680198866286)	(125, 35.7802086584952)	(130, 35.66858371560136)	(135, 35.61337434723925)	(140, 35.468164020726235)	(145, 35.477956733362525)	(150, 36.21967199033505)
