Sample	Uniquely mapped	Mapped to multiple loci	Mapped to too many loci	Unmapped: too short	Unmapped: other
C1	66562408.0	3476973.0	71216.0	6492816.0	30663.0
C2	50188150.0	4008913.0	85264.0	6989287.0	24524.0
C3	38081609.0	2488363.0	52053.0	5025671.0	18275.0
GFP1	39405473.0	2732983.0	57000.0	5579475.0	23885.0
GFP2	39596898.0	3180152.0	63475.0	5717897.0	19432.0
GFP3	31899908.0	2029078.0	38468.0	2933595.0	18450.0
YAF1	56187868.0	4186022.0	98710.0	9021822.0	34753.0
YAF2	57574383.0	4889377.0	119403.0	8054898.0	35329.0
YAF3	29795872.0	5386877.0	113386.0	6073993.0	24826.0
