Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23
C3_R2	(35, 73393.0)	(40, 90547.0)	(45, 87509.0)	(50, 88548.0)	(55, 84968.0)	(60, 83996.0)	(65, 90403.0)	(70, 93180.0)	(75, 89760.0)	(80, 80831.0)	(85, 83292.0)	(90, 80200.0)	(95, 79519.0)	(100, 83288.0)	(105, 85422.0)	(110, 89431.0)	(115, 93643.0)	(120, 100672.0)	(125, 102728.0)	(130, 112745.0)	(135, 126547.0)	(140, 155476.0)	(145, 1932272.0)	(150, 41677601.0)
GFP1_L001_R1_001	(150, 48966612.0)																							
GFP1_L001_R2_001	(150, 48966612.0)																							
GFP1_R1	(35, 70229.0)	(40, 89928.0)	(45, 88949.0)	(50, 88692.0)	(55, 91105.0)	(60, 91534.0)	(65, 89468.0)	(70, 86877.0)	(75, 87894.0)	(80, 91214.0)	(85, 85051.0)	(90, 90079.0)	(95, 96545.0)	(100, 98353.0)	(105, 102609.0)	(110, 105841.0)	(115, 114199.0)	(120, 126750.0)	(125, 149143.0)	(130, 173904.0)	(135, 215150.0)	(140, 269227.0)	(145, 1746225.0)	(150, 43549850.0)
GFP1_R2	(35, 73950.0)	(40, 91133.0)	(45, 87439.0)	(50, 87661.0)	(55, 84168.0)	(60, 83746.0)	(65, 89549.0)	(70, 92736.0)	(75, 88510.0)	(80, 80685.0)	(85, 82069.0)	(90, 80158.0)	(95, 80466.0)	(100, 83929.0)	(105, 87090.0)	(110, 90181.0)	(115, 94595.0)	(120, 102189.0)	(125, 104827.0)	(130, 115168.0)	(135, 130216.0)	(140, 157646.0)	(145, 1925187.0)	(150, 43805518.0)
GFP2_L001_R1_001	(150, 49700714.0)																							
GFP2_L001_R2_001	(150, 49700714.0)																							
GFP2_R1	(35, 71874.0)	(40, 92227.0)	(45, 90736.0)	(50, 91404.0)	(55, 94051.0)	(60, 94134.0)	(65, 92675.0)	(70, 89351.0)	(75, 91286.0)	(80, 94715.0)	(85, 87054.0)	(90, 92314.0)	(95, 99658.0)	(100, 101342.0)	(105, 104055.0)	(110, 104561.0)	(115, 110215.0)	(120, 117614.0)	(125, 132954.0)	(130, 152243.0)	(135, 184374.0)	(140, 237600.0)	(145, 1623647.0)	(150, 44527770.0)
GFP2_R2	(35, 74288.0)	(40, 91858.0)	(45, 89158.0)	(50, 89609.0)	(55, 86966.0)	(60, 86344.0)	(65, 92810.0)	(70, 96061.0)	(75, 92246.0)	(80, 82924.0)	(85, 85192.0)	(90, 82502.0)	(95, 83078.0)	(100, 86375.0)	(105, 89974.0)	(110, 94029.0)	(115, 101206.0)	(120, 110299.0)	(125, 115323.0)	(130, 127448.0)	(135, 142928.0)	(140, 173750.0)	(145, 2098425.0)	(150, 44305061.0)
GFP3_L001_R1_001	(150, 37803730.0)																							
GFP3_L001_R2_001	(150, 37803730.0)																							
GFP3_R1	(35, 49086.0)	(40, 64626.0)	(45, 64931.0)	(50, 64382.0)	(55, 66460.0)	(60, 66551.0)	(65, 65656.0)	(70, 64139.0)	(75, 65478.0)	(80, 66981.0)	(85, 62431.0)	(90, 65736.0)	(95, 71063.0)	(100, 71765.0)	(105, 73863.0)	(110, 75111.0)	(115, 76734.0)	(120, 79227.0)	(125, 85432.0)	(130, 91573.0)	(135, 104147.0)	(140, 125382.0)	(145, 1130742.0)	(150, 34168003.0)
GFP3_R2	(35, 59569.0)	(40, 73712.0)	(45, 70746.0)	(50, 70963.0)	(55, 68395.0)	(60, 67348.0)	(65, 72101.0)	(70, 74082.0)	(75, 71307.0)	(80, 64977.0)	(85, 66915.0)	(90, 64573.0)	(95, 64252.0)	(100, 67743.0)	(105, 68658.0)	(110, 71384.0)	(115, 74376.0)	(120, 79162.0)	(125, 78673.0)	(130, 82664.0)	(135, 85641.0)	(140, 96792.0)	(145, 1447104.0)	(150, 33878362.0)
YAF1_L001_R1_001	(150, 71534044.0)																							
YAF1_L001_R2_001	(150, 71534044.0)																							
YAF1_R1	(35, 104399.0)	(40, 135809.0)	(45, 134771.0)	(50, 134027.0)	(55, 138316.0)	(60, 138549.0)	(65, 134617.0)	(70, 130079.0)	(75, 134001.0)	(80, 139177.0)	(85, 128666.0)	(90, 136421.0)	(95, 145719.0)	(100, 149776.0)	(105, 156459.0)	(110, 165020.0)	(115, 184273.0)	(120, 211568.0)	(125, 260869.0)	(130, 316944.0)	(135, 402415.0)	(140, 514882.0)	(145, 2891395.0)	(150, 62541023.0)
YAF1_R2	(35, 135707.0)	(40, 166640.0)	(45, 158670.0)	(50, 159730.0)	(55, 152961.0)	(60, 150494.0)	(65, 161380.0)	(70, 166057.0)	(75, 159084.0)	(80, 142425.0)	(85, 145785.0)	(90, 140961.0)	(95, 140620.0)	(100, 147008.0)	(105, 149852.0)	(110, 155143.0)	(115, 163709.0)	(120, 175987.0)	(125, 182768.0)	(130, 204379.0)	(135, 234338.0)	(140, 294264.0)	(145, 3225449.0)	(150, 62615764.0)
YAF2_L001_R1_001	(150, 72771812.0)																							
YAF2_L001_R2_001	(150, 72771812.0)																							
YAF2_R1	(35, 108791.0)	(40, 141618.0)	(45, 142077.0)	(50, 142504.0)	(55, 145229.0)	(60, 145310.0)	(65, 141601.0)	(70, 138841.0)	(75, 140993.0)	(80, 148670.0)	(85, 138563.0)	(90, 148235.0)	(95, 161900.0)	(100, 172498.0)	(105, 190267.0)	(110, 221111.0)	(115, 273813.0)	(120, 354974.0)	(125, 469621.0)	(130, 592343.0)	(135, 722471.0)	(140, 827190.0)	(145, 3025911.0)	(150, 61978859.0)
YAF2_R2	(35, 150572.0)	(40, 184690.0)	(45, 176975.0)	(50, 177660.0)	(55, 170118.0)	(60, 167967.0)	(65, 177564.0)	(70, 182484.0)	(75, 173845.0)	(80, 156780.0)	(85, 159846.0)	(90, 154682.0)	(95, 154154.0)	(100, 160050.0)	(105, 164512.0)	(110, 168598.0)	(115, 176988.0)	(120, 188034.0)	(125, 188687.0)	(130, 205410.0)	(135, 227478.0)	(140, 277035.0)	(145, 3219682.0)	(150, 63509579.0)
YAF3_L001_R1_001	(150, 42298614.0)																							
YAF3_L001_R2_001	(150, 42298614.0)																							
YAF3_R1	(35, 84266.0)	(40, 111394.0)	(45, 113175.0)	(50, 112432.0)	(55, 115093.0)	(60, 116165.0)	(65, 112837.0)	(70, 107856.0)	(75, 106734.0)	(80, 113483.0)	(85, 104246.0)	(90, 106627.0)	(95, 117737.0)	(100, 120764.0)	(105, 131659.0)	(110, 146900.0)	(115, 178305.0)	(120, 224763.0)	(125, 291703.0)	(130, 356779.0)	(135, 441510.0)	(140, 517387.0)	(145, 2073041.0)	(150, 35490098.0)
YAF3_R2	(35, 64362.0)	(40, 83073.0)	(45, 82107.0)	(50, 80488.0)	(55, 78141.0)	(60, 77841.0)	(65, 81900.0)	(70, 82474.0)	(75, 77734.0)	(80, 71246.0)	(85, 73258.0)	(90, 71106.0)	(95, 70945.0)	(100, 73574.0)	(105, 77291.0)	(110, 79160.0)	(115, 85826.0)	(120, 93205.0)	(125, 94854.0)	(130, 105281.0)	(135, 119256.0)	(140, 150523.0)	(145, 1552064.0)	(150, 37969245.0)
