Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23
C1_L001_R1_001	(150, 78862210.0)																							
C1_L001_R2_001	(150, 78862210.0)																							
C1_R1	(35, 105160.0)	(40, 136910.0)	(45, 138468.0)	(50, 137680.0)	(55, 139726.0)	(60, 140832.0)	(65, 141726.0)	(70, 140055.0)	(75, 142545.0)	(80, 147796.0)	(85, 142033.0)	(90, 145590.0)	(95, 156607.0)	(100, 160863.0)	(105, 168532.0)	(110, 178179.0)	(115, 195391.0)	(120, 220068.0)	(125, 262919.0)	(130, 317385.0)	(135, 385792.0)	(140, 465565.0)	(145, 2970881.0)	(150, 69493373.0)
C1_R2	(35, 146798.0)	(40, 181977.0)	(45, 174752.0)	(50, 175963.0)	(55, 170723.0)	(60, 167883.0)	(65, 176054.0)	(70, 181623.0)	(75, 175640.0)	(80, 161507.0)	(85, 168301.0)	(90, 164325.0)	(95, 165073.0)	(100, 172636.0)	(105, 172495.0)	(110, 175707.0)	(115, 185018.0)	(120, 194535.0)	(125, 191540.0)	(130, 199378.0)	(135, 213303.0)	(140, 248322.0)	(145, 3451500.0)	(150, 69219023.0)
C2_L001_R1_001	(150, 62815339.0)																							
C2_L001_R2_001	(150, 62815339.0)																							
C2_R1	(35, 93636.0)	(40, 120843.0)	(45, 120579.0)	(50, 120569.0)	(55, 124168.0)	(60, 124291.0)	(65, 121583.0)	(70, 116997.0)	(75, 119753.0)	(80, 125064.0)	(85, 114938.0)	(90, 122324.0)	(95, 130341.0)	(100, 133270.0)	(105, 137372.0)	(110, 141654.0)	(115, 151755.0)	(120, 170019.0)	(125, 199148.0)	(130, 234333.0)	(135, 293478.0)	(140, 368377.0)	(145, 2402681.0)	(150, 55508965.0)
C2_R2	(35, 103058.0)	(40, 128621.0)	(45, 124596.0)	(50, 125251.0)	(55, 121046.0)	(60, 119173.0)	(65, 127504.0)	(70, 131776.0)	(75, 126726.0)	(80, 114335.0)	(85, 116609.0)	(90, 112450.0)	(95, 111805.0)	(100, 116796.0)	(105, 119862.0)	(110, 123424.0)	(115, 129346.0)	(120, 137562.0)	(125, 139134.0)	(130, 149589.0)	(135, 164538.0)	(140, 199414.0)	(145, 2462604.0)	(150, 55990919.0)
C3_L001_R1_001	(150, 46750335.0)																							
C3_L001_R2_001	(150, 46750335.0)																							
C3_R1	(35, 65428.0)	(40, 84577.0)	(45, 85305.0)	(50, 85219.0)	(55, 85479.0)	(60, 86679.0)	(65, 84446.0)	(70, 82651.0)	(75, 85417.0)	(80, 88868.0)	(85, 83146.0)	(90, 87737.0)	(95, 97454.0)	(100, 104150.0)	(105, 115560.0)	(110, 134947.0)	(115, 167551.0)	(120, 218709.0)	(125, 288404.0)	(130, 360293.0)	(135, 434981.0)	(140, 500606.0)	(145, 1839207.0)	(150, 40399157.0)
