Sample	Assigned	Unassigned: Multi Mapping	Unassigned: No Features	Unassigned: Ambiguity
C1	61792918.0	28606452.0	62856241.0	8320040.0
C2	47801477.0	35282338.0	45964077.0	6504832.0
C3	34327536.0	21172418.0	37070583.0	4687070.0
GFP1	37965742.0	22962402.0	35490898.0	5276010.0
GFP2	38246951.0	27935537.0	36074374.0	4795970.0
GFP3	28902584.0	17389449.0	30890448.0	3939673.0
YAF1	52728069.0	36155270.0	52542658.0	6967791.0
YAF2	51428865.0	44294750.0	56774061.0	6786974.0
YAF3	26411275.0	51477307.0	29418445.0	3703627.0
