Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26
C3_R1	(22.0, 14.0)	(23.0, 117.0)	(24.0, 827.0)	(25.0, 4309.0)	(26.0, 17795.0)	(27.0, 58606.0)	(28.0, 150632.0)	(29.0, 313596.0)	(30.0, 525852.0)	(31.0, 783423.0)	(32.0, 1068559.0)	(33.0, 1450454.0)	(34.0, 2148233.0)	(35.0, 4559113.0)	(36.0, 29143016.0)	(37.0, 5441425.0)											
C3_R2	(19.0, 1.0)	(20.0, 3.0)	(21.0, 76.0)	(22.0, 601.0)	(23.0, 2829.0)	(24.0, 8708.0)	(25.0, 23123.0)	(26.0, 49219.0)	(27.0, 96118.0)	(28.0, 172551.0)	(29.0, 294980.0)	(30.0, 470733.0)	(31.0, 734516.0)	(32.0, 1128034.0)	(33.0, 1816549.0)	(34.0, 3292139.0)	(35.0, 7912272.0)	(36.0, 27300891.0)	(37.0, 2362628.0)								
GFP1_L001_R1_001	(13.0, 7.0)	(14.0, 43.0)	(15.0, 158.0)	(16.0, 504.0)	(17.0, 1135.0)	(18.0, 2387.0)	(19.0, 4774.0)	(20.0, 9410.0)	(21.0, 18008.0)	(22.0, 32583.0)	(23.0, 56072.0)	(24.0, 90172.0)	(25.0, 139511.0)	(26.0, 208352.0)	(27.0, 299615.0)	(28.0, 409947.0)	(29.0, 544613.0)	(30.0, 705542.0)	(31.0, 902657.0)	(32.0, 1159459.0)	(33.0, 1584724.0)	(34.0, 2429235.0)	(35.0, 4726836.0)	(36.0, 29790785.0)	(37.0, 5850083.0)		
GFP1_L001_R2_001	(11.0, 10.0)	(12.0, 483.0)	(13.0, 1932.0)	(14.0, 3086.0)	(15.0, 3412.0)	(16.0, 4064.0)	(17.0, 5885.0)	(18.0, 9655.0)	(19.0, 16038.0)	(20.0, 27753.0)	(21.0, 46819.0)	(22.0, 76837.0)	(23.0, 119971.0)	(24.0, 163055.0)	(25.0, 203596.0)	(26.0, 246244.0)	(27.0, 294789.0)	(28.0, 360016.0)	(29.0, 455541.0)	(30.0, 587318.0)	(31.0, 794610.0)	(32.0, 1134344.0)	(33.0, 1756560.0)	(34.0, 3179197.0)	(35.0, 7694830.0)	(36.0, 28951901.0)	(37.0, 2828666.0)
GFP1_R1	(21.0, 1.0)	(22.0, 13.0)	(23.0, 155.0)	(24.0, 1002.0)	(25.0, 5612.0)	(26.0, 21550.0)	(27.0, 68512.0)	(28.0, 167717.0)	(29.0, 336467.0)	(30.0, 557022.0)	(31.0, 825484.0)	(32.0, 1124358.0)	(33.0, 1531529.0)	(34.0, 2336553.0)	(35.0, 4968169.0)	(36.0, 29973466.0)	(37.0, 5881206.0)										
GFP1_R2	(20.0, 7.0)	(21.0, 120.0)	(22.0, 671.0)	(23.0, 3061.0)	(24.0, 9559.0)	(25.0, 25142.0)	(26.0, 51938.0)	(27.0, 100442.0)	(28.0, 173789.0)	(29.0, 294822.0)	(30.0, 465473.0)	(31.0, 725916.0)	(32.0, 1112907.0)	(33.0, 1786788.0)	(34.0, 3224393.0)	(35.0, 7762171.0)	(36.0, 29193483.0)	(37.0, 2868134.0)									
GFP2_L001_R1_001	(13.0, 4.0)	(14.0, 48.0)	(15.0, 196.0)	(16.0, 530.0)	(17.0, 1193.0)	(18.0, 2619.0)	(19.0, 5378.0)	(20.0, 10659.0)	(21.0, 19796.0)	(22.0, 35676.0)	(23.0, 58857.0)	(24.0, 88254.0)	(25.0, 129923.0)	(26.0, 192226.0)	(27.0, 281227.0)	(28.0, 398724.0)	(29.0, 545950.0)	(30.0, 717922.0)	(31.0, 920577.0)	(32.0, 1180002.0)	(33.0, 1555022.0)	(34.0, 2351347.0)	(35.0, 4879629.0)	(36.0, 30421505.0)	(37.0, 5903450.0)		
GFP2_L001_R2_001	(11.0, 11.0)	(12.0, 500.0)	(13.0, 2271.0)	(14.0, 3420.0)	(15.0, 3611.0)	(16.0, 4221.0)	(17.0, 5981.0)	(18.0, 9846.0)	(19.0, 17570.0)	(20.0, 28432.0)	(21.0, 46214.0)	(22.0, 73325.0)	(23.0, 111171.0)	(24.0, 152099.0)	(25.0, 191944.0)	(26.0, 238141.0)	(27.0, 293266.0)	(28.0, 365634.0)	(29.0, 468326.0)	(30.0, 610711.0)	(31.0, 829913.0)	(32.0, 1192395.0)	(33.0, 1865506.0)	(34.0, 3371401.0)	(35.0, 7978692.0)	(36.0, 29138662.0)	(37.0, 2697451.0)
GFP2_R1	(22.0, 8.0)	(23.0, 113.0)	(24.0, 822.0)	(25.0, 4403.0)	(26.0, 18377.0)	(27.0, 62922.0)	(28.0, 163513.0)	(29.0, 340759.0)	(30.0, 573265.0)	(31.0, 853196.0)	(32.0, 1163329.0)	(33.0, 1583032.0)	(34.0, 2350881.0)	(35.0, 4836526.0)	(36.0, 30693198.0)	(37.0, 5933510.0)											
GFP2_R2	(20.0, 8.0)	(21.0, 85.0)	(22.0, 581.0)	(23.0, 2839.0)	(24.0, 8905.0)	(25.0, 22818.0)	(26.0, 48928.0)	(27.0, 97462.0)	(28.0, 176698.0)	(29.0, 305755.0)	(30.0, 485501.0)	(31.0, 756797.0)	(32.0, 1165432.0)	(33.0, 1879493.0)	(34.0, 3420629.0)	(35.0, 8111167.0)	(36.0, 29363578.0)	(37.0, 2731178.0)									
GFP3_L001_R1_001	(13.0, 3.0)	(14.0, 60.0)	(15.0, 229.0)	(16.0, 489.0)	(17.0, 964.0)	(18.0, 1892.0)	(19.0, 3609.0)	(20.0, 6563.0)	(21.0, 12185.0)	(22.0, 21959.0)	(23.0, 37021.0)	(24.0, 58931.0)	(25.0, 91305.0)	(26.0, 137860.0)	(27.0, 203967.0)	(28.0, 291508.0)	(29.0, 404032.0)	(30.0, 535451.0)	(31.0, 685692.0)	(32.0, 881506.0)	(33.0, 1161892.0)	(34.0, 1743481.0)	(35.0, 3608535.0)	(36.0, 23502480.0)	(37.0, 4412116.0)		
GFP3_L001_R2_001	(11.0, 5.0)	(12.0, 252.0)	(13.0, 1301.0)	(14.0, 2171.0)	(15.0, 2668.0)	(16.0, 3047.0)	(17.0, 4813.0)	(18.0, 8082.0)	(19.0, 13780.0)	(20.0, 22391.0)	(21.0, 36100.0)	(22.0, 55895.0)	(23.0, 84834.0)	(24.0, 116861.0)	(25.0, 150956.0)	(26.0, 189602.0)	(27.0, 233962.0)	(28.0, 294095.0)	(29.0, 376044.0)	(30.0, 488723.0)	(31.0, 659120.0)	(32.0, 939869.0)	(33.0, 1445138.0)	(34.0, 2573685.0)	(35.0, 6115220.0)	(36.0, 22020135.0)	(37.0, 1964981.0)
GFP3_R1	(21.0, 1.0)	(22.0, 6.0)	(23.0, 83.0)	(24.0, 550.0)	(25.0, 3124.0)	(26.0, 13238.0)	(27.0, 45412.0)	(28.0, 116804.0)	(29.0, 244507.0)	(30.0, 416650.0)	(31.0, 623813.0)	(32.0, 857196.0)	(33.0, 1173577.0)	(34.0, 1751323.0)	(35.0, 3629175.0)	(36.0, 23613007.0)	(37.0, 4431033.0)										
GFP3_R2	(20.0, 11.0)	(21.0, 84.0)	(22.0, 503.0)	(23.0, 2231.0)	(24.0, 7251.0)	(25.0, 19250.0)	(26.0, 40900.0)	(27.0, 80945.0)	(28.0, 144423.0)	(29.0, 247057.0)	(30.0, 391521.0)	(31.0, 605591.0)	(32.0, 926955.0)	(33.0, 1476392.0)	(34.0, 2628325.0)	(35.0, 6187751.0)	(36.0, 22170991.0)	(37.0, 1989318.0)									
YAF1_L001_R1_001	(13.0, 1.0)	(14.0, 55.0)	(15.0, 245.0)	(16.0, 737.0)	(17.0, 1893.0)	(18.0, 4203.0)	(19.0, 8829.0)	(20.0, 17725.0)	(21.0, 32570.0)	(22.0, 57572.0)	(23.0, 94717.0)	(24.0, 143575.0)	(25.0, 213696.0)	(26.0, 313470.0)	(27.0, 446310.0)	(28.0, 610804.0)	(29.0, 813516.0)	(30.0, 1059358.0)	(31.0, 1352672.0)	(32.0, 1756363.0)	(33.0, 2471114.0)	(34.0, 3798739.0)	(35.0, 7312751.0)	(36.0, 42981215.0)	(37.0, 8041914.0)		
YAF1_L001_R2_001	(11.0, 28.0)	(12.0, 942.0)	(13.0, 3480.0)	(14.0, 4511.0)	(15.0, 4866.0)	(16.0, 6269.0)	(17.0, 10640.0)	(18.0, 19301.0)	(19.0, 33831.0)	(20.0, 56357.0)	(21.0, 89526.0)	(22.0, 140312.0)	(23.0, 210021.0)	(24.0, 292456.0)	(25.0, 370120.0)	(26.0, 443679.0)	(27.0, 531291.0)	(28.0, 653708.0)	(29.0, 825858.0)	(30.0, 1066602.0)	(31.0, 1432003.0)	(32.0, 2034180.0)	(33.0, 3117349.0)	(34.0, 5548956.0)	(35.0, 12783932.0)	(36.0, 38781682.0)	(37.0, 3072144.0)
YAF1_R1	(22.0, 19.0)	(23.0, 206.0)	(24.0, 1350.0)	(25.0, 7021.0)	(26.0, 28150.0)	(27.0, 94208.0)	(28.0, 234321.0)	(29.0, 481851.0)	(30.0, 810352.0)	(31.0, 1208566.0)	(32.0, 1662765.0)	(33.0, 2291246.0)	(34.0, 3589476.0)	(35.0, 7768097.0)	(36.0, 43261868.0)	(37.0, 8089679.0)											
YAF1_R2	(19.0, 1.0)	(20.0, 18.0)	(21.0, 207.0)	(22.0, 1289.0)	(23.0, 6103.0)	(24.0, 18863.0)	(25.0, 47915.0)	(26.0, 98582.0)	(27.0, 190446.0)	(28.0, 330725.0)	(29.0, 558034.0)	(30.0, 870522.0)	(31.0, 1336215.0)	(32.0, 2020559.0)	(33.0, 3189199.0)	(34.0, 5629586.0)	(35.0, 12885672.0)	(36.0, 39215557.0)	(37.0, 3129682.0)								
YAF2_L001_R1_001	(13.0, 10.0)	(14.0, 108.0)	(15.0, 369.0)	(16.0, 1153.0)	(17.0, 2544.0)	(18.0, 5426.0)	(19.0, 10611.0)	(20.0, 20092.0)	(21.0, 35502.0)	(22.0, 61514.0)	(23.0, 98849.0)	(24.0, 150090.0)	(25.0, 221698.0)	(26.0, 319752.0)	(27.0, 455606.0)	(28.0, 629984.0)	(29.0, 847507.0)	(30.0, 1110949.0)	(31.0, 1500801.0)	(32.0, 2369030.0)	(33.0, 2775270.0)	(34.0, 3962359.0)	(35.0, 7419349.0)	(36.0, 42800797.0)	(37.0, 7972442.0)		
YAF2_L001_R2_001	(11.0, 21.0)	(12.0, 786.0)	(13.0, 2953.0)	(14.0, 4356.0)	(15.0, 4970.0)	(16.0, 6862.0)	(17.0, 11785.0)	(18.0, 21599.0)	(19.0, 38322.0)	(20.0, 63686.0)	(21.0, 99471.0)	(22.0, 155289.0)	(23.0, 228833.0)	(24.0, 308351.0)	(25.0, 390934.0)	(26.0, 479009.0)	(27.0, 582543.0)	(28.0, 716207.0)	(29.0, 902261.0)	(30.0, 1153869.0)	(31.0, 1530858.0)	(32.0, 2146482.0)	(33.0, 3235196.0)	(34.0, 5618019.0)	(35.0, 12618268.0)	(36.0, 39215420.0)	(37.0, 3235462.0)
YAF2_R1	(22.0, 13.0)	(23.0, 187.0)	(24.0, 1145.0)	(25.0, 6281.0)	(26.0, 26425.0)	(27.0, 90590.0)	(28.0, 232331.0)	(29.0, 482005.0)	(30.0, 811325.0)	(31.0, 1218257.0)	(32.0, 1684704.0)	(33.0, 2324672.0)	(34.0, 3507815.0)	(35.0, 7736890.0)	(36.0, 44522697.0)	(37.0, 8028053.0)											
YAF2_R2	(20.0, 14.0)	(21.0, 207.0)	(22.0, 1375.0)	(23.0, 6741.0)	(24.0, 20394.0)	(25.0, 52172.0)	(26.0, 108629.0)	(27.0, 210677.0)	(28.0, 366000.0)	(29.0, 612856.0)	(30.0, 949313.0)	(31.0, 1437214.0)	(32.0, 2149948.0)	(33.0, 3336655.0)	(34.0, 5744319.0)	(35.0, 12762946.0)	(36.0, 39622260.0)	(37.0, 3291670.0)									
YAF3_L001_R1_001	(11.0, 1.0)	(12.0, 0.0)	(13.0, 4.0)	(14.0, 70.0)	(15.0, 288.0)	(16.0, 736.0)	(17.0, 1564.0)	(18.0, 3208.0)	(19.0, 7007.0)	(20.0, 14124.0)	(21.0, 27435.0)	(22.0, 49070.0)	(23.0, 82206.0)	(24.0, 123605.0)	(25.0, 180156.0)	(26.0, 250172.0)	(27.0, 340313.0)	(28.0, 452417.0)	(29.0, 586955.0)	(30.0, 740278.0)	(31.0, 942984.0)	(32.0, 1402919.0)	(33.0, 1770176.0)	(34.0, 2409779.0)	(35.0, 4183328.0)	(36.0, 23534057.0)	(37.0, 5195762.0)
YAF3_L001_R2_001	(11.0, 6.0)	(12.0, 353.0)	(13.0, 1571.0)	(14.0, 2425.0)	(15.0, 2653.0)	(16.0, 3247.0)	(17.0, 3997.0)	(18.0, 6327.0)	(19.0, 10857.0)	(20.0, 19959.0)	(21.0, 36007.0)	(22.0, 60431.0)	(23.0, 93505.0)	(24.0, 129502.0)	(25.0, 163599.0)	(26.0, 200144.0)	(27.0, 239551.0)	(28.0, 291844.0)	(29.0, 365713.0)	(30.0, 469435.0)	(31.0, 619366.0)	(32.0, 862732.0)	(33.0, 1317792.0)	(34.0, 2380330.0)	(35.0, 5883726.0)	(36.0, 26014562.0)	(37.0, 3118980.0)
YAF3_R1	(21.0, 1.0)	(22.0, 9.0)	(23.0, 129.0)	(24.0, 913.0)	(25.0, 5169.0)	(26.0, 20746.0)	(27.0, 69164.0)	(28.0, 175193.0)	(29.0, 358009.0)	(30.0, 588575.0)	(31.0, 864091.0)	(32.0, 1156950.0)	(33.0, 1542130.0)	(34.0, 2282760.0)	(35.0, 4797491.0)	(36.0, 24299229.0)	(37.0, 5234395.0)										
YAF3_R2	(20.0, 6.0)	(21.0, 39.0)	(22.0, 378.0)	(23.0, 1638.0)	(24.0, 5341.0)	(25.0, 13874.0)	(26.0, 30418.0)	(27.0, 63114.0)	(28.0, 121501.0)	(29.0, 221358.0)	(30.0, 360530.0)	(31.0, 566031.0)	(32.0, 863624.0)	(33.0, 1364715.0)	(34.0, 2434883.0)	(35.0, 5948960.0)	(36.0, 26235765.0)	(37.0, 3162779.0)									
