"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0001667","ameboidal-type cell migration","149/3107","492/18903",7.80068273802085e-15,4.92535108078637e-11,3.85107389908608e-11,"84159/4233/57142/301/10371/306/8829/5747/9448/147372/10512/8754/407007/8828/9734/406991/2252/5728/23189/23603/2191/7114/64750/7291/8826/9350/2241/407029/2697/4163/23499/5291/2113/9314/23332/3673/54828/9475/5801/9839/27086/5581/3725/7763/11221/7162/9037/7048/3091/7857/9723/5586/1803/4208/4921/25/4780/7010/9404/4254/2247/1000/57381/673/5547/4763/7042/64805/3688/7057/90/5793/3791/9124/10000/59/1948/27302/54453/5587/9353/90627/6781/85329/9982/407035/1906/84830/23328/285/6093/55198/7046/1003/23122/57608/5048/79899/65979/22976/8394/652/6546/1647/2246/407021/9530/51057/6869/7424/7429/4070/3146/1950/8879/10163/411/8823/253943/1012/80005/407006/10487/10563/55294/8766/51094/10769/6672/168667/5879/152007/3690/493/223117/10982/6239/186/5168/574508/117584/4017/10672/154796/6868/284/7474/11167/4627",149
"GO:0007015","actin filament organization","138/3107","454/18903",5.70402182653894e-14,1.22416096550795e-10,9.57157015859874e-11,"4233/55704/2059/4739/8829/7082/55740/23075/56776/406991/1496/1739/1809/83872/136319/23189/23603/51429/10602/7114/90550/10529/5295/4643/2241/7840/23332/6711/9475/4430/10092/5962/10152/5999/10979/800/5581/55114/23607/4771/9037/85477/55604/342184/5358/90102/93661/6840/5921/830/399/93663/2693/25/5584/390/51474/80206/1490/1901/9886/253260/1729/961/9844/11034/56907/7401/1495/5071/673/4644/51571/57477/29766/4082/2195/22902/29119/55761/9124/10580/8470/123016/8440/9353/5074/85464/23671/10565/5058/55607/9873/51019/7168/57619/2764/6093/5734/10787/7046/57698/94134/171024/4646/23122/10395/22998/2909/22836/10788/30011/9530/6869/1073/7429/4070/6709/55909/10163/55971/8976/10097/9645/133746/3693/5879/4088/129446/2150/11113/10006/57553/23325/10391/9168/7171/9113",138
"GO:0032970","regulation of actin filament-based process","127/3107","406/18903",5.81641256972418e-14,1.22416096550795e-10,9.57157015859874e-11,"4233/55704/2059/4739/8829/7082/817/23075/11214/406991/1496/1739/5144/122786/2824/2042/136319/23189/51429/10602/7114/8826/5295/2241/5142/27067/7840/23332/6711/54828/9475/4853/10092/5962/10152/5999/10979/5581/55114/23607/27/4771/9037/85477/55604/5066/342184/90102/9723/93661/6840/5921/830/399/93663/25/7010/390/51474/10142/80206/1490/1901/9886/253260/961/11034/5156/4916/5071/673/51571/29766/2258/29119/83700/59/27302/123016/8440/5318/9353/6781/85464/23671/10565/5058/9873/51019/1906/7168/2764/6093/5734/10787/7046/171024/23122/10395/22998/2909/22836/10788/9530/6869/1073/57551/7429/4070/6709/10163/55971/8976/5879/4088/3690/2150/11113/857/23325/3759/10391/9168/91807/4627/1946/9113",127
"GO:0007163","establishment or maintenance of cell polarity","85/3107","234/18903",1.11009280683386e-13,1.75228149558724e-10,1.37008822738178e-10,"5747/667/10890/1739/23189/2697/85440/115701/23332/1794/54828/9475/10092/55691/27/56288/399/25/5584/7010/390/4478/10403/3480/9886/253260/25932/10207/10486/4131/55914/57381/1495/51571/143098/9265/2258/1740/3688/4926/2195/22902/23286/23255/83700/9124/55327/123016/4134/10565/55755/4983/55742/6093/57698/137886/9750/1003/23122/5048/4649/2909/56603/22836/117583/51057/84612/3320/8729/10090/10487/10097/57554/23291/5879/56253/10806/9826/55083/1741/154796/81609/7474/4627/10758",85
"GO:0090132","epithelium migration","117/3107","369/18903",2.05003730837616e-13,2.42053216991977e-10,1.89258554539182e-10,"4233/57142/301/306/8829/5747/9448/147372/8754/407007/8828/9734/406991/2252/5728/23189/23603/2191/7114/407029/4163/23499/5291/2113/9314/23332/3673/54828/9475/5801/9839/27086/5581/3725/11221/9037/7048/3091/7857/5586/1803/4208/25/4780/7010/9404/4254/2247/57381/5547/4763/7042/3688/7057/5793/3791/10000/1948/27302/54453/5587/9353/90627/6781/85329/9982/407035/1906/84830/23328/285/6093/7046/1003/23122/57608/22976/652/1647/2246/407021/51057/6869/7424/79977/7429/4070/3146/1950/411/8823/1012/80005/407006/10563/55294/8766/51094/10769/6672/168667/5879/152007/3690/493/10982/6239/186/5168/574508/4017/154796/6868/284/7474/11167/4627",117
"GO:0090130","tissue migration","118/3107","374/18903",2.36676157880526e-13,2.42053216991977e-10,1.89258554539182e-10,"4233/57142/301/306/8829/5747/9448/147372/8754/407007/8828/9734/406991/2252/5728/23189/23603/2191/7114/407029/4163/23499/5291/2113/9314/23332/3673/54828/9475/5801/9839/27086/5581/3725/11221/9037/7048/3091/7857/5586/1803/4208/25/4780/7010/9404/4254/2247/57381/5547/4763/7042/3688/7057/5793/3791/10000/59/1948/27302/54453/5587/9353/90627/6781/85329/9982/407035/1906/84830/23328/285/6093/7046/1003/23122/57608/22976/652/1647/2246/407021/51057/6869/7424/79977/7429/4070/3146/1950/411/8823/1012/80005/407006/10563/55294/8766/51094/10769/6672/168667/5879/152007/3690/493/10982/6239/186/5168/574508/4017/154796/6868/284/7474/11167/4627",118
"GO:0010631","epithelial cell migration","116/3107","366/18903",2.68351681809288e-13,2.42053216991977e-10,1.89258554539182e-10,"4233/57142/301/306/8829/5747/9448/147372/8754/407007/8828/9734/406991/2252/5728/23189/23603/2191/7114/407029/4163/23499/5291/2113/9314/23332/3673/54828/9475/5801/9839/27086/5581/3725/11221/9037/7048/3091/7857/5586/1803/4208/25/4780/7010/9404/4254/2247/57381/5547/4763/7042/3688/7057/5793/3791/10000/1948/27302/54453/5587/9353/90627/6781/85329/9982/407035/1906/84830/23328/285/6093/7046/1003/23122/57608/22976/652/1647/2246/407021/51057/6869/7424/7429/4070/3146/1950/411/8823/1012/80005/407006/10563/55294/8766/51094/10769/6672/168667/5879/152007/3690/493/10982/6239/186/5168/574508/4017/154796/6868/284/7474/11167/4627",116
"GO:0007254","JNK cascade","67/3107","172/18903",1.08166098090799e-12,8.03867637850032e-10,6.28534621728932e-10,"9867/8737/10371/351/6788/7164/9448/23043/8767/1386/2122/80824/23239/9821/260425/7099/171392/11221/153769/54986/51384/4790/7189/1490/10987/3480/29969/23236/4616/6416/5071/2218/8324/5599/1540/83737/222643/51284/55437/51776/9175/5911/55504/5734/57630/5048/8491/3553/1647/51347/57551/3146/331/9459/9611/1956/6386/9258/4088/2150/22881/10392/8600/3301/5602/7474/51495",67
"GO:0051403","stress-activated MAPK cascade","84/3107","239/18903",1.23271910409423e-12,8.03867637850032e-10,6.28534621728932e-10,"9867/8737/7498/10371/351/6788/7164/4281/9448/23043/1739/8767/1386/4216/2122/80824/23239/9821/260425/10550/7099/171392/11221/355/153769/54986/51384/4790/7189/1490/10987/3480/29969/5604/23236/4616/6416/5071/2218/8324/5599/23008/7042/1540/83737/222643/51284/55437/51776/9175/5911/55504/23328/5734/57630/5594/27347/5048/5608/4986/8491/652/3553/1647/51347/57551/3146/1432/2308/331/9459/9611/1956/6386/9258/4088/2150/22881/10392/8600/3301/5602/7474/51495",84
"GO:0032956","regulation of actin cytoskeleton organization","114/3107","365/18903",1.27315115275583e-12,8.03867637850032e-10,6.28534621728932e-10,"4233/55704/2059/4739/8829/7082/23075/11214/406991/1496/1739/2824/2042/136319/23189/51429/10602/7114/8826/5295/2241/27067/7840/23332/6711/54828/9475/4853/10092/5962/10152/5999/10979/5581/55114/23607/27/4771/9037/85477/55604/5066/342184/90102/9723/93661/6840/5921/830/399/93663/25/7010/390/51474/80206/1490/1901/9886/253260/961/11034/5156/4916/5071/673/51571/29766/83700/27302/123016/8440/9353/85464/23671/10565/5058/9873/51019/1906/7168/2764/6093/5734/10787/7046/171024/23122/10395/22998/2909/22836/10788/9530/6869/1073/57551/7429/4070/6709/10163/55971/8976/5879/4088/3690/2150/11113/23325/10391/9168/91807/1946/9113",114
