"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0001667","ameboidal-type cell migration","167/3754","492/18903",8.03735566811825e-14,5.13345906522712e-10,3.94591861432669e-10,"84159/4233/57142/301/10371/306/8829/5747/9448/147372/10512/8754/407007/8828/9734/406991/2252/5728/23189/23603/2191/7114/64750/7291/8826/9350/2241/407029/2697/4163/23499/5291/2113/9314/23332/3673/54828/9475/5801/9839/27086/5581/3725/7763/11221/7162/9037/7048/3091/7857/9723/5586/1803/4208/4921/25/4780/7010/9404/4254/2247/1000/57381/673/5547/4763/7042/64805/3688/7057/90/5793/3791/9124/10000/59/1948/27302/54453/5587/9353/90627/6781/85329/9982/407035/1906/84830/23328/285/6093/55198/7046/1003/23122/57608/5048/79899/65979/22976/8394/652/6546/1647/2246/407021/9530/51057/6869/7424/7429/4070/3146/1950/8879/10163/411/8823/253943/1012/80005/407006/10487/10563/55294/8766/51094/10769/6672/168667/5879/152007/3690/493/223117/10982/6239/186/5168/574508/117584/4017/10672/154796/6868/284/7474/11167/4627/1201/9922/5979/6899/575/5606/2523/64094/949/619552/55698/100126351/207/5339/3164/57449/2324/83481",167
"GO:0007015","actin filament organization","156/3754","454/18903",1.72270095908503e-13,5.50144551283804e-10,4.22877751219609e-10,"4233/55704/2059/4739/8829/7082/55740/23075/56776/406991/1496/1739/1809/83872/136319/23189/23603/51429/10602/7114/90550/10529/5295/4643/2241/7840/23332/6711/9475/4430/10092/5962/10152/5999/10979/800/5581/55114/23607/4771/9037/85477/55604/342184/5358/90102/93661/6840/5921/830/399/93663/2693/25/5584/390/51474/80206/1490/1901/9886/253260/1729/961/9844/11034/56907/7401/1495/5071/673/4644/51571/57477/29766/4082/2195/22902/29119/55761/9124/10580/8470/123016/8440/9353/5074/85464/23671/10565/5058/55607/9873/51019/7168/57619/2764/6093/5734/10787/7046/57698/94134/171024/4646/23122/10395/22998/2909/22836/10788/30011/9530/6869/1073/7429/4070/6709/55909/10163/55971/8976/10097/9645/133746/3693/5879/4088/129446/2150/11113/10006/57553/23325/10391/9168/7171/9113/147872/4647/9051/5345/85358/50944/246/395/256949/133522/79778/57471/5339/79816/9639/114822/84501/4645",156
"GO:0032970","regulation of actin filament-based process","142/3754","406/18903",4.59910457227806e-13,9.36389063922797e-10,7.19771014171207e-10,"4233/55704/2059/4739/8829/7082/817/23075/11214/406991/1496/1739/5144/122786/2824/2042/136319/23189/51429/10602/7114/8826/5295/2241/5142/27067/7840/23332/6711/54828/9475/4853/10092/5962/10152/5999/10979/5581/55114/23607/27/4771/9037/85477/55604/5066/342184/90102/9723/93661/6840/5921/830/399/93663/25/7010/390/51474/10142/80206/1490/1901/9886/253260/961/11034/5156/4916/5071/673/51571/29766/2258/29119/83700/59/27302/123016/8440/5318/9353/6781/85464/23671/10565/5058/9873/51019/1906/7168/2764/6093/5734/10787/7046/171024/23122/10395/22998/2909/22836/10788/9530/6869/1073/57551/7429/4070/6709/10163/55971/8976/5879/4088/3690/2150/11113/857/23325/3759/10391/9168/91807/4627/1946/9113/9620/7226/5345/85358/50944/1020/246/395/374872/4089/6331/6262/256949/9639/114822",142
"GO:0007163","establishment or maintenance of cell polarity","94/3754","234/18903",5.8643435974498e-13,9.36389063922797e-10,7.19771014171207e-10,"5747/667/10890/1739/23189/2697/85440/115701/23332/1794/54828/9475/10092/55691/27/56288/399/25/5584/7010/390/4478/10403/3480/9886/253260/25932/10207/10486/4131/55914/57381/1495/51571/143098/9265/2258/1740/3688/4926/2195/22902/23286/23255/83700/9124/55327/123016/4134/10565/55755/4983/55742/6093/57698/137886/9750/1003/23122/5048/4649/2909/56603/22836/117583/51057/84612/3320/8729/10090/10487/10097/57554/23291/5879/56253/10806/9826/55083/1741/154796/81609/7474/4627/10758/5310/3064/10252/126353/3834/85302/5590/9024/26086",94
"GO:0090132","epithelium migration","131/3754","369/18903",1.09713804370055e-12,1.16548035634211e-09,8.95865842950664e-10,"4233/57142/301/306/8829/5747/9448/147372/8754/407007/8828/9734/406991/2252/5728/23189/23603/2191/7114/407029/4163/23499/5291/2113/9314/23332/3673/54828/9475/5801/9839/27086/5581/3725/11221/9037/7048/3091/7857/5586/1803/4208/25/4780/7010/9404/4254/2247/57381/5547/4763/7042/3688/7057/5793/3791/10000/1948/27302/54453/5587/9353/90627/6781/85329/9982/407035/1906/84830/23328/285/6093/7046/1003/23122/57608/22976/652/1647/2246/407021/51057/6869/7424/79977/7429/4070/3146/1950/411/8823/1012/80005/407006/10563/55294/8766/51094/10769/6672/168667/5879/152007/3690/493/10982/6239/186/5168/574508/4017/154796/6868/284/7474/11167/4627/1201/9922/575/5606/2523/64094/949/619552/100126351/207/3164/57449/2324/83481",131
"GO:0030010","establishment of cell polarity","68/3754","150/18903",1.27974209039992e-12,1.16548035634211e-09,8.95865842950664e-10,"5747/10890/23189/2697/85440/115701/23332/1794/54828/9475/55691/27/56288/25/5584/4478/10403/3480/253260/10207/4131/51571/143098/9265/2258/3688/4926/2195/22902/23286/83700/123016/4134/10565/55755/4983/6093/57698/137886/9750/1003/5048/4649/56603/117583/51057/3320/8729/10090/23291/56253/10806/9826/55083/154796/81609/7474/4627/10758/5310/3064/10252/126353/3834/85302/5590/9024/26086",68
"GO:0010631","epithelial cell migration","130/3754","366/18903",1.28477602294656e-12,1.16548035634211e-09,8.95865842950664e-10,"4233/57142/301/306/8829/5747/9448/147372/8754/407007/8828/9734/406991/2252/5728/23189/23603/2191/7114/407029/4163/23499/5291/2113/9314/23332/3673/54828/9475/5801/9839/27086/5581/3725/11221/9037/7048/3091/7857/5586/1803/4208/25/4780/7010/9404/4254/2247/57381/5547/4763/7042/3688/7057/5793/3791/10000/1948/27302/54453/5587/9353/90627/6781/85329/9982/407035/1906/84830/23328/285/6093/7046/1003/23122/57608/22976/652/1647/2246/407021/51057/6869/7424/7429/4070/3146/1950/411/8823/1012/80005/407006/10563/55294/8766/51094/10769/6672/168667/5879/152007/3690/493/10982/6239/186/5168/574508/4017/154796/6868/284/7474/11167/4627/1201/9922/575/5606/2523/64094/949/619552/100126351/207/3164/57449/2324/83481",130
"GO:0090130","tissue migration","132/3754","374/18903",1.45981569606026e-12,1.16548035634211e-09,8.95865842950664e-10,"4233/57142/301/306/8829/5747/9448/147372/8754/407007/8828/9734/406991/2252/5728/23189/23603/2191/7114/407029/4163/23499/5291/2113/9314/23332/3673/54828/9475/5801/9839/27086/5581/3725/11221/9037/7048/3091/7857/5586/1803/4208/25/4780/7010/9404/4254/2247/57381/5547/4763/7042/3688/7057/5793/3791/10000/59/1948/27302/54453/5587/9353/90627/6781/85329/9982/407035/1906/84830/23328/285/6093/7046/1003/23122/57608/22976/652/1647/2246/407021/51057/6869/7424/79977/7429/4070/3146/1950/411/8823/1012/80005/407006/10563/55294/8766/51094/10769/6672/168667/5879/152007/3690/493/10982/6239/186/5168/574508/4017/154796/6868/284/7474/11167/4627/1201/9922/575/5606/2523/64094/949/619552/100126351/207/3164/57449/2324/83481",132
"GO:0010634","positive regulation of epithelial cell migration","75/3754","176/18903",4.15907820423013e-12,2.95155916560198e-09,2.26876499936015e-09,"4233/57142/301/306/8829/5747/9448/147372/8754/407007/8828/9734/406991/2252/7114/407029/5291/2113/23332/3673/54828/9475/27086/5581/3725/9037/7048/3091/25/4780/7010/2247/57381/7042/7057/3791/10000/54453/5587/9982/407035/1906/23328/23122/57608/652/2246/407021/6869/7424/7429/3146/1950/8823/80005/407006/8766/10769/5879/152007/3690/10982/6239/5168/6868/284/7474/9922/5606/2523/64094/949/100126351/207/2324",75
"GO:0007254","JNK cascade","73/3754","172/18903",1.01181943041695e-11,6.46249070207305e-09,4.9675008668049e-09,"9867/8737/10371/351/6788/7164/9448/23043/8767/1386/2122/80824/23239/9821/260425/7099/171392/11221/153769/54986/51384/4790/7189/1490/10987/3480/29969/23236/4616/6416/5071/2218/8324/5599/1540/83737/222643/51284/55437/51776/9175/5911/55504/5734/57630/5048/8491/3553/1647/51347/57551/3146/331/9459/9611/1956/6386/9258/4088/2150/22881/10392/8600/3301/5602/7474/51495/6885/5345/7186/8312/1852/2324",73
