Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
ESCAPE	SUZ12-17339329 UP	103/315	1.363347e-08	3.980972e-06	0	0	2.041619e+00	3.697523e+01	APP;TES;GMFB;LPGAT1;IRS1;EFEMP1;AMMECR1L;CDH2;CFL2;GRB10;KPNA4;PITX2;PHLDA1;SOX4;SH3GLB1;TPM4;ACSL4;SOX11;FOXP1;PKP2;MYADM;COL4A5;PHIP;DDX6;LPAR4;LPP;UBE2J1;CORO1C;FLRT3;CALD1;SOCS6;SKIL;CD276;WWTR1;JUN;JAG1;CAV2;PLK2;HMGA2;PARVA;AIF1L;FOSL2;MLLT11;CDK6;PKIA;ID2;DYRK2;CITED2;TGFB1I1;RND3;CYR61;TMEM47;TUBA1A;TMEM43;GLIPR2;NEFL;ITGAV;YAF2;ANXA1;ANXA2;TNFRSF12A;ANXA5;TCF12;TNFRSF19;PAWR;BAZ1A;DUSP6;ARL4C;VCAN;GAP43;RAP2B;PALLD;PXDN;RBMS1;CRYAB;DBN1;SEMA3C;COL11A1;PRICKLE1;TROVE2;THBS1;TCEAL8;PRTG;GNG2;STX6;FLNA;BNIP2;GPC4;GBP2;PDLIM5;PDLIM7;SLC25A24;SUZ12;CMTM7;CMTM3;PTPN12;SULF1;DCBLD2;KLF7;MARCKS;KLF6;SYT11;VIM
ESCAPE	JARID2-20075857 UP	252/1005	4.042579e-06	5.464427e-04	0	0	1.414140e+00	1.756168e+01	APP;MLC1;IFIT2;ALCAM;EDNRB;OPHN1;AKT3;DPYSL3;THSD7A;SOX9;PRKACB;HOXA5;SOX4;EPHA5;CACNA2D1;CIRBP;RFX3;ANK2;SOX11;ANK3;TMEM170B;DAAM1;RFX4;FEZ1;RUFY3;MTHFD2L;AKAP9;SPARCL1;ULK2;EPHA3;TSPYL4;PFN2;GPM6A;TSHZ3;PCDH10;LYPD1;MGST1;NEDD4L;PHYHIPL;SLCO5A1;PCDH17;TTBK2;TMTC4;FLRT2;RAB11FIP2;SCN3A;GPM6B;JUN;FZD3;BCL11A;NR2F1;DCLK2;RAB39B;TMEM198;MLLT11;MEX3A;PCDHB2;SESTD1;PKIA;ID4;PLCH1;FAT4;XKR4;CDK14;DDR1;ROBO2;TOP2B;WDR47;CSRNP3;BTG1;GDI1;SLC35F1;GRIK2;FMN2;SH3RF1;ROBO1;ADAMTSL1;TRIM9;TRIM2;DNER;TCP11L2;JARID2;ZIK1;PARP6;TSC22D1;LRRC49;STRADB;TCF12;ELMOD1;IL18;GFRA1;PROX1;DUSP8;RGMB;PGM2L1;TOX3;ZEB2;TUBB2B;TUBB2A;MMP16;VSNL1;ARHGEF4;RARB;PLCB1;PDZRN3;MAPRE2;VAMP2;DBN1;NAPB;RNASEL;STAU2;FIGN;AKAP6;PTN;FAM117B;FSTL5;TMEM169;CREG2;CHN1;PDPN;ANO10;ZSWIM6;CKB;CTNNA2;PAK3;ARNT2;KIDINS220;GSX2;GABRA3;SORBS2;PCDHB12;PCDHB10;HIPK2;NFIB;KIF26B;PCDHB16;APBA1;MEGF9;IRS1;CTNND2;POGK;UBE2D1;ZBTB20;PLAT;CDH8;IGF1R;RGS4;RGS2;DACH1;CDH2;SALL3;NRCAM;RGS8;PPFIA2;KIRREL3;GUCY1A2;LMO4;LMO3;TMOD2;FRMD4A;POU3F2;TANC2;POU3F4;FRMD3;FRMD5;TNIK;ARL8A;XPR1;BRSK1;ZC4H2;NTM;LIN7A;NPAS3;ZKSCAN2;LRRC4C;MARK1;TIA1;VCAM1;WSCD1;CRIM1;ESRRG;ZFHX4;IGSF11;BCL9;LRCH2;NBEA;GNAQ;CNTN1;FGF12;NES;LRP12;SNAP25;CNTNAP2;DOCK4;THRA;COL14A1;DOCK7;SOBP;FBLL1;BICD1;RND3;ELAVL2;TTC28;DUSP10;LRRTM1;LRRTM2;ITGB8;CEP170;EDIL3;DACT1;SGIP1;TBC1D9;VEZF1;PJA2;PTBP2;DNM3;GAP43;NAV3;CDH10;FAM84A;ZMYND11;NLGN1;SEMA3A;USP11;RBM4B;NTN1;HDAC9;JAKMIP2;STOX2;GNG2;ERBB4;DNAJB4;LEPROTL1;SLITRK6;FYN;VAT1L;LGI1;NTRK2;PCDH9;GDAP1;MYO16;ACVR2A;NELL2;MAPK10;DBNDD1;MARCKS;MEIS1;SYT11;PPP2R2B;MAB21L1;TRIM36;VIM
ESCAPE	KLF5-20875108 DOWN	75/238	5.614137e-06	5.464427e-04	0	0	1.925225e+00	2.327640e+01	FOXA1;BTG1;TNFAIP6;TGFB1I1;SLC40A1;BACH1;CYR61;CTGF;RGS4;GLIPR1;RGS2;ALCAM;NHSL1;CDH2;KDR;GRB10;PLS3;NRCAM;ITGAV;PITX2;YAF2;SOX4;CGNL1;RAB2A;EDN1;ANXA5;DNMT3A;SHROOM3;ACSL4;DKK1;RUNX1;CTTNBP2NL;ETV6;SLC22A23;ADAM19;ZEB2;TMEM2;VCAN;GAP43;FRMD6;CDH10;FEZ2;CDC42EP1;PDZRN3;ATF3;PRICKLE1;LTBP1;THBS1;PTHLH;EFNB2;CALD1;NRIP1;APBB2;SLIT2;MPDZ;CAP2;SPECC1;DTNA;VCAM1;CADM1;TPBG;HMGA2;FBXO32;MARCKS;TMEM98;SYT11;FABP7;COL5A2;ID4;CACHD1;GNB4;PTX3;INTS6;VIM;PLCD1
ESCAPE	ZFP281-21915945 UP	38/110	1.353781e-04	9.882599e-03	0	0	2.199554e+00	1.959239e+01	APP;CITED2;WWC2;HSD17B11;LPP;CYR61;CTGF;GJA1;TUBA1A;CALD1;LAMP2;PDPN;GBP2;SOX4;ATP6V1G1;MBNL2;WSB2;TPM4;RBPMS;DST;STX7;ARHGAP29;HMGA2;PAWR;SOX11;VEZF1;KTN1;ARL4C;RAP2C;TMEM2;MARCKS;STAG2;PALLD;CAPRIN1;RBMS1;MALAT1;KRAS;RHOQ
ESCAPE	TBX3-16767105 DOWN	93/346	4.248178e-04	2.480936e-02	0	0	1.536626e+00	1.193014e+01	CEP57;APP;NCKAP1;MIDN;PRDM4;CITED2;SLC40A1;PTEN;HMGB3;PTPN21;CYR61;CTGF;GJA1;SIPA1L1;SESN3;TMEM88;GLIPR2;CFL2;GRB10;BBX;PLS3;SEC62;PITX2;PHLDA1;AASS;SCYL2;TLE4;SH3GLB1;CADPS2;GAS2L3;ANXA1;TPM4;LMO4;ANXA5;SOX11;DCK;RAB33B;ARL4C;ARL4A;FNDC4;FRMD6;PALLD;IMPAD1;CNKSR3;PXDN;RBMS1;ERGIC2;PFN2;NSMAF;TBCEL;CLDND1;NUFIP2;CEBPD;TAF9;XIAP;NOL8;RNF6;ADD3;THBS1;UBE2J1;PURB;PRTG;CALD1;FCHO2;ZSWIM6;LRIG3;GPC4;MBNL3;GBP2;SLC38A2;SKIL;SASH1;CD276;UBQLN2;FKRP;PLK2;PARVA;SULF1;ELL2;ACVR2B;PBX1;AIF1L;KTN1;HIPK2;IRAK1BP1;STAG2;CDK6;ID2;COL5A2;POLR3F;ID3;RBM43;LIMS1
ESCAPE	SALL4-19060217 DOWN	150/606	6.416821e-04	3.122853e-02	0	0	1.378199e+00	1.013171e+01	APP;SAMD9L;TES;WIPF1;IRS1;POGK;PLAT;ANTXR2;ACTG2;CTGF;ZXDB;DPYSL3;AP1S2;PITX2;SOX6;PHLDA1;SLC16A4;SOX4;MBNL1;MEF2C;MBNL2;LIMCH1;ANKRD44;ARRDC3;FNDC3B;KCTD1;SOX11;RUNX1;FEZ2;PPP1R3D;ADAM9;ULK2;COL8A1;COL4A5;PRKD1;KCTD12;HIST1H2BG;ZFPM2;EPHA3;NSMAF;PFN2;DLX2;FOXG1;GLIS3;ARHGAP18;LPAR4;PCDH18;LPP;LTBP1;EFNB2;FLRT2;TSPAN8;CALD1;PDGFC;RNF217;SOCS5;ABCA1;STARD13;TIA1;SLC37A1;CAV2;PLK2;CRIM1;HMGA2;PARVA;GNG12;SSH2;PHC3;ESR1;FOSL2;GULP1;BCL6;ID1;COL5A2;CDK14;HOXD8;BTG1;CSRNP3;BNC2;MAST4;TNFAIP6;CRYBG3;CITED2;TGFB1I1;STON1;RND3;CYR61;SYNE2;SGCE;DUSP10;TRIM5;TRPS1;SH3PXD2B;ITGAV;OVGP1;EDN1;ANXA1;ANXA2;TNFRSF12A;ANXA5;TCF12;TNFRSF19;GPX8;COMMD3;ZHX1;LRRC41;TOX3;ZEB2;PXDN;CDC42EP1;RBMS1;CRYAB;PDZRN3;CD44;DBN1;FOXC1;CAMK2D;SEMA3C;PLAG1;LRRC17;NEDD9;PTN;PRICKLE1;NTN1;STOX2;SRPX2;DNAJB4;NRIP1;GPC4;FILIP1L;LEFTY2;GPC6;VAT1L;SLC25A24;ANGPT1;EGF;EYA4;LHFPL2;BICC1;KLF6;MEIS1;KLHL5;NFIB;RAB12;RIMBP2;CACHD1;PTPN9;PTX3;VIM;MEGF9
ESCAPE	PRDM14-20953172 DOWN	155/638	1.233444e-03	5.145223e-02	0	0	1.344008e+00	9.002093e+00	FOXA1;TRIO;TMEM41B;IRS1;IL1RAP;ANTXR2;AMOT;IGF1R;GPR176;DACH1;AMMECR1L;CDH2;TMEM88;KIF5B;SIRPA;SBF2;MBNL2;FBXW7;LIMCH1;ARID5B;KCTD1;PRKCA;RUNX1;KIAA1217;TANC1;SLFN13;FRMD6;ZNF436;PRKD1;ALPK2;SKAP2;MACF1;TBC1D19;SLC35D1;USP53;DLX5;ENDOD1;LPP;UBE2J1;EFNB2;ARHGAP21;DHX32;FLRT2;CALD1;PMAIP1;PPARGC1A;ST3GAL1;SRGAP1;SOCS5;STARD13;UBE2H;JAG1;OSBPL6;SLC10A7;CADM1;TRIP4;HMGA2;PARVA;MEX3D;ELL2;SMAD5;FOSL2;DERA;PPFIBP1;CDK6;RCAN2;ID3;XKR4;GLIPR1L1;ZNF532;SFXN5;CPEB4;PICALM;DDR1;SNAP25;CNTNAP2;NRP2;MCTP1;MAST4;THRA;CHD9;STON1;PTPRJ;AKAP13;DUSP10;YWHAQ;ZNF800;PHGDH;SERAC1;CCDC50;DACT1;ACTR3;TGIF1;PARP6;CHST7;ANXA2;PDE4D;TCF12;TNFRSF19;ZFR;NBPF10;TBC1D9;GFRA1;ZDHHC14;SLC7A5;TOX3;ZEB2;IQCK;DDAH1;GFOD1;PALLD;CDH10;CDC42EP3;IL1RAPL1;RAPGEF1;CDC42EP1;LCOR;RP9;LCP1;RBM24;CAMK2D;SEMA3C;ZNF518B;CEBPG;FAM129A;PRICKLE2;IER5L;NT5C2;PTHLH;SERTAD2;C11ORF49;SPP1;FYN;IGF2BP2;CD58;GPC4;FILIP1L;GPC6;TRIM44;CAP2;MAP4K4;GABBR2;SVIL;SAMD4A;LSAMP;C20ORF194;CDC42BPA;HIPK2;MYO1D;MEIS1;WEE1;UFM1;KLF9;SPAG1;LIMS1
ESCAPE	ZFX-17448993 DOWN	58/206	1.505975e-03	5.496810e-02	0	0	1.633992e+00	1.061819e+01	VIT;DOCK4;MAST4;TGFB1I1;CTNND2;CYR61;IFIT2;IGF1R;TTC28;UBASH3B;ADAMTS1;AP1S2;PHLDA1;EDIL3;ADAMTS6;MEF2C;ANXA5;GPX8;SOX11;POU3F4;ITPKB;ARL4C;ZEB2;VCAN;GAP43;PALLD;CDH10;RHOJ;COL4A5;ANG;NUPR1;CRYAB;PDZRN3;COL11A1;NEXN;PRICKLE1;LTBP3;PCDH18;BAG2;DNAJB4;SLIT2;IGF2BP2;SNX7;FILIP1L;SASH1;SOCS5;BCL11A;CAV2;NR2F1;AIF1L;FOSL2;DAB2;MARCKS;PTX3;TLL1;INTS6;FAT4;CPEB2
ESCAPE	NIPBL-20720539 DOWN	521/2422	3.455345e-03	1.121068e-01	0	0	1.157169e+00	6.558639e+00	USP6NL;VIT;VPS29;GMFB;TES;TRIO;WIPF1;MAML1;LIPA;SOX21;FGFRL1;GJA1;ALCAM;TMEM88;LIPH;AKT3;DPYSL3;CREB3L2;PLCE1;BVES;MEF2A;UNC13B;CUBN;FNDC3B;RFX3;FRS2;LDOC1;WDR72;SOX11;SYTL5;EML1;DKK1;DYNC1LI1;DYNC1LI2;RUFY3;SPARCL1;FREM2;TSPYL4;ENDOD1;BAZ2B;FLRT3;PTPMT1;ST3GAL6;ST3GAL1;JUN;FZD3;JAG1;H3F3B;PLK2;FZD6;NR2F1;TRIP4;PBX1;GPR137B;FOSL2;PKIB;TMEM98;PKIA;SNAI2;PLCH1;FAT4;CPEB2;TMEM9B;HOXD8;PHF2;CDKN1B;TGFB1I1;LRRC1;TMEM47;NHSL1;TUBA1A;TMEM43;SMPD1;PEA15;GPRASP1;CHST7;ANXA1;ANXA2;ANXA5;TCF12;SLC2A12;SERPINB7;PHF20L1;PLSCR1;TUBB2A;MMP16;PXDN;RAPGEF2;RARB;CDC42EP1;VAMP4;CRYAB;RNASEL;STAU2;COL11A1;PELI2;FIGN;TANK;PAPSS1;EXTL2;RNF139;FRZB;STX6;PLAGL2;HAS2;FLNA;MBNL3;LEFTY2;PAIP1;AGL;ADAM32;WTIP;SULF1;HIPK2;KTN1;LYRM2;TAOK3;DHRS9;FABP7;GOPC;LGR5;EBAG9;LGR4;IRS1;CTNND2;UBE2D1;ZBTB20;SAT1;CDC14A;CTGF;FGF5;CDH6;SMCHD1;EFEMP1;DACH1;SESN3;ZFP30;CDH2;SALL3;LAMP2;KPNA4;PITX2;SLC16A4;MAP3K5;FBXW4;SH3GLB1;SLC38A1;TPM4;MAGI3;UBE2E3;ANKRD44;STX7;MAGI2;ZBTB34;CASD1;DISP1;RAB32;ST7L;MINPP1;CLIP1;TXLNB;PKP2;ANAPC4;PHIP;STAMBP;TOX;DSC2;NSMAF;LRRC58;CD274;KHDRBS3;CALCRL;DLX5;LY96;SPATA6;RHOBTB1;RAP1B;ATXN1;BAG2;ZKSCAN3;MBP;MPDZ;CD276;OSBPL9;OSBPL8;TIA1;FBXO32;FBXO30;IGSF11;BCL9;DAB2;DAB1;SCCPDH;NBEA;UST;MYD88;SERINC5;CNTNAP2;MOXD1;MCFD2;BMPR2;ITGB3;PTPN21;SYNE2;SGCE;DUSP10;SCRN1;ADAMTS1;SGCB;PSD3;NCK2;TRIM69;ITGB8;PHACTR2;ITGAV;HMG20A;YAF2;EDIL3;PRKG1;ADAMTS6;CCDC50;SGIP1;TRPC1;TNFRSF19;VEZF1;TIRAP;PTBP2;ARL4C;IMPAD1;TRAF6;LCOR;LCP1;SMPDL3A;SEC23A;SRF;SEMA3A;ATP10D;TULP4;LRP4;FURIN;SRI;HDAC9;NTN1;STOX2;ABLIM1;ABLIM3;DNAJB4;FCHO2;UBQLN2;SLC25A24;SMARCE1;IRX1;FKRP;PLCL2;FOXJ2;MYO1D;DBNDD1;MARCKS;KLF6;DNAJA4;MFAP3;MGP;PTPN9;RECK;VEZT;APP;CCNJ;LPGAT1;ANTXR2;ZDHHC2;IFIT2;CCAR1;OPHN1;RASSF3;CPNE3;TRIM27;HMCN1;SOX9;SOX6;FBXO7;TRIM21;SOX4;ACVR1;ALG9;ANK3;ACSL3;THAP2;RUNX1;CCNY;PPP1R3D;AKAP9;ULK2;COL8A1;EIF1B;CCDC82;KCTD15;PFN2;GPM6A;L3MBTL3;SLC35D1;TSHZ3;STXBP4;SLC35D2;DCUN1D1;MGST1;TWIST1;PCDH18;UBE2J1;TMTC4;ARSJ;SNX9;SNX7;GPM6B;DECR1;STAT5B;DTNA;PARVA;PARP14;GNG12;ICK;STAG2;MYO5B;ID1;ID4;ID3;FBXL7;ITM2B;DDR1;ROBO2;TOP2B;PCSK1;SLC35F1;PTPRJ;SH3RF1;ZCCHC14;GLIPR1;PPP3CC;NCOA2;ZFR;IL18;COMMD3;PROX1;PARP9;RGMB;ZHX1;COMMD7;CTTNBP2NL;PARP8;RGMA;TOX3;UGDH;MDFIC;B3GNT5;RHOJ;TLR4;PDZRN3;VGLL4;CD44;DBN1;RHOQ;DNASE1L1;DYNC1I2;FOXC1;NEXN;NEDD9;ZDHHC21;AKAP6;PRICKLE1;PTN;TCEAL8;PURB;PDPN;CREG2;METTL6;CTNNA2;PAK3;MAP4K5;GPC6;CAP2;PURG;ARNT2;SORT1;PLEKHA5;SORBS2;LHFPL2;RANBP6;RAB11B;RIT1;PRKRA;CACHD1;MEGF9;FOXA1;ZFAND3;POGK;WWC2;PLAT;ARID4B;TMEM140;MANEA;ACTG2;IGF1R;AMOT;RGS4;RGS2;CAST;PDGFRA;CADPS2;POSTN;LMO4;ARID5B;KCTD1;CGRRF1;COL4A5;WDFY3;ARHGAP18;LPP;LTBP1;EFNB2;CALD1;UBC;NPHP3;SPECC1;SMAD1;UBE2H;SMAD4;UBE2B;CAV2;KLHL26;SMURF1;CRIM1;HMGA2;DNAJC12;TDRD7;ZFHX4;ARHGAP24;GULP1;SDK1;GNAQ;TMEM117;GNB1;CHMP2B;COL5A2;CNTN1;PHF14;TCF4;MANSC1;FGF13;BMPR1B;LRP12;BMPR1A;RERE;TTC23;DOCK4;TNFAIP6;DOCK7;SLC40A1;TNFAIP3;HMGB3;PCTP;PPP1R9A;RND3;SENP6;HEBP2;HEPH;MAN1A2;CASP6;ZC3H7B;KYNU;CASP4;GATAD1;PDE4B;SCYL2;USP47;PCDHGA7;ARHGEF12;RBM18;CTPS2;ARID1B;PJA2;ETV6;ARHGAP10;CREB1;PALLD;CDH10;IRF2;RBMS1;ZMYND11;ITGB3BP;RBMS3;CREB5;CAMK2D;MOSPD1;TFPI;TROVE2;PRTG;CNR1;KDELC2;NRIP1;LRIG3;GBP2;PDLIM7;SASH1;ARFGEF1;IGBP1;TCF7L2;CMTM8;USP25;GALNT5;CMTM3;TPBG;EYA4;PDE4DIP;HS3ST1;MAPK10;MEIS1;GNPDA2;PPP2R2B;PTX3;VIM;RBMX;ASB3
ESCAPE	POU5F1-20526341 DOWN	308/1406	8.979972e-03	2.622152e-01	0	0	1.176825e+00	5.546094e+00	TRIO;TMEM41B;FAM89B;ADARB1;ANTXR1;LGALS3;RASSF1;ALCAM;ZNF608;TMEM88;PEG10;RPS6KA2;EPSTI1;HABP4;PLCE1;CPNE3;SOX9;LGALS8;KIFAP3;PRKACB;ANKS1B;ARL6IP6;EPHA4;MBNL2;SOX11;DKK1;RUNX1;RRAGB;FEZ1;MAP1B;PRR16;COL8A1;ALPK2;PRKD1;ATF3;HS3ST3A1;PCDH10;LYPD1;C1ORF198;TWIST1;GATA3;UBE2J1;FLRT2;FLRT3;MAP2;EPB41L2;PDGFC;EPB41L3;ST3GAL6;ARSD;JUN;JAG1;CADM1;GADD45B;TIPARP;PCDH20;RDX;FZD8;PARVA;MEX3D;MEX3C;ELL2;DERA;MLLT11;EHD1;PPFIBP1;SESTD1;ID2;TNFSF4;ID1;NMT2;ID3;FBXL2;FERMT2;PCDHB8;C5ORF30;DDR1;SRPX;NRP2;GDI1;CITED2;TGFB1I1;CROT;VLDLR;LRRC2;SH3RF1;AKAP12;AKAP13;GLIPR1;TUBA1A;PPP3CC;ENC1;DNER;SH3BGRL2;C19ORF12;CGNL1;CHST9;EDN1;WARS;ANXA1;ANXA2;TSC22D1;SLC2A12;TSC22D2;NBPF10;COMMD3;NBPF11;DUSP8;RAP2C;NCOR2;ZEB2;RAP2B;TUBB2A;PXDN;CDC42EP3;CNKSR3;CDC42EP1;RARB;STK40;CD44;CHST3;GAS7;PTGER4;FOXC1;ZNF518B;COL11A1;GCNT1;PRICKLE2;NEDD9;NEXN;TANK;SSFA2;SRPX2;FRZB;SERTAD2;HAS2;ZSWIM6;APBB2;FILIP1L;DYNC1I1;CAP2;MAP4K4;SVIL;MAP3K1;AGL;SAMD4A;AKR1C3;LSAMP;PRSS35;WTIP;DCBLD1;TJP1;RNF145;KITLG;NFIB;ETNK1;NEDD4;CLCF1;TACC1;YPEL5;LIMS1;ZFAND3;IRS1;IRS2;MSI2;PRDM1;HNMT;SAT1;MANEA;CTGF;ACTG1;AMOT;CDH6;DACH1;CDH2;LAMP2;LEPR;PLS3;SVEP1;FAM3C;PITX2;LZTS1;FBXW4;SH3GLB1;CAST;SPINK1;MAGI3;ARID5B;ZBTB33;TICAM1;ADAM19;RAB32;TANC1;CLIP1;TMEM135;FRMD6;PKP2;ELMO1;COL4A5;ZNF433;DSC2;PFKFB3;DLX5;GLIS3;LPP;CNN3;STK3;EFNB2;ARHGAP21;CALD1;BTBD3;IVNS1ABP;CAV2;CRIM1;LAYN;TDRD7;SMAD5;ARHGAP24;RCAN1;DAB2;CDK6;RCAN2;COL5A2;NES;PICALM;CNTNAP2;MOXD1;DYRK2;BMPR2;WNT2B;USP38;WDR1;THRA;DOCK7;SLC40A1;CYR61;DUSP10;PSTPIP2;ADAMTS1;NFKBIZ;ME1;PDE4B;PMEPA1;ITGAV;YAF2;CCDC50;MMP7;ITGA2;PDE4D;TNFRSF19;TBC1D9;NRG1;ARHGAP10;ELF1;ELF4;RP2;PALLD;IL1RAPL1;RBM20;RBMS1;BCAT1;ZMYND11;RBM24;RBMS2;LEPROT;CAMK2D;CEBPD;NTN4;IER5L;MOSPD1;FURIN;SLC3A2;NOD1;NT5C2;ADD3;TFPI;NTN1;HDAC9;THBS1;MALT1;DNAJB2;OGFRL1;FZR1;NRIP1;CCL2;VPS54;FYN;HES1;LRIG3;SLIT2;PDLIM7;SLC12A2;CMTM7;LGI1;CMTM3;FOXJ2;DDHD2;MYO16;TBX3;MYO1D;MAPK10;SLC4A7;MARCKS;KLF6;CTH;KLF9;SPRY2;VIM
