"Category","Count"
"Total V5 Narrow Peaks",180
"Total V5 Broad Peaks",366
"Total H2AK119Ub Broad Peaks",20827
"Narrow V5 + Broad H2AK119Ub",6
"Broad V5 + Broad H2AK119Ub",25
