## htsjdk.samtools.metrics.StringHeader
# CollectInsertSizeMetrics HISTOGRAM_FILE=analysis/qc/GFP_3_insert_size_histogram.pdf HISTOGRAM_WIDTH=1000 MINIMUM_PCT=0.5 INPUT=analysis/aligned_new/GFP_3.dedup.bam OUTPUT=analysis/qc/GFP_3_insert_size_metrics.txt    DEVIATIONS=10.0 METRIC_ACCUMULATION_LEVEL=[ALL_READS] INCLUDE_DUPLICATES=false ASSUME_SORTED=true STOP_AFTER=0 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Thu Feb 06 14:20:12 CET 2025

## METRICS CLASS	picard.analysis.InsertSizeMetrics
MEDIAN_INSERT_SIZE	MODE_INSERT_SIZE	MEDIAN_ABSOLUTE_DEVIATION	MIN_INSERT_SIZE	MAX_INSERT_SIZE	MEAN_INSERT_SIZE	STANDARD_DEVIATION	READ_PAIRS	PAIR_ORIENTATION	WIDTH_OF_10_PERCENT	WIDTH_OF_20_PERCENT	WIDTH_OF_30_PERCENT	WIDTH_OF_40_PERCENT	WIDTH_OF_50_PERCENT	WIDTH_OF_60_PERCENT	WIDTH_OF_70_PERCENT	WIDTH_OF_80_PERCENT	WIDTH_OF_90_PERCENT	WIDTH_OF_95_PERCENT	WIDTH_OF_99_PERCENT	SAMPLE	LIBRARY	READ_GROUP
204	205	26	30	1102	227.352973	81.306849	24336750	FR	9	17	29	39	53	67	81	105	297	389	713			

## HISTOGRAM	java.lang.Integer
insert_size	All_Reads.fr_count
30	1
31	1
33	2
34	3
35	2
36	2
37	1
38	10
39	10
40	26
41	31
42	45
43	48
44	45
45	45
46	43
47	54
48	51
49	85
50	83
51	152
52	221
53	233
54	208
55	183
56	153
57	113
58	102
59	114
60	174
61	235
62	297
63	325
64	354
65	316
66	228
67	213
68	196
69	195
70	195
71	234
72	290
73	342
74	375
75	357
76	305
77	264
78	231
79	248
80	246
81	246
82	307
83	347
84	375
85	328
86	344
87	332
88	264
89	259
90	267
91	280
92	302
93	309
94	324
95	396
96	411
97	344
98	371
99	299
100	341
101	320
102	318
103	361
104	415
105	434
106	417
107	466
108	398
109	420
110	409
111	419
112	427
113	480
114	454
115	482
116	523
117	542
118	523
119	523
120	516
121	518
122	445
123	456
124	480
125	534
126	519
127	578
128	583
129	616
130	655
131	659
132	618
133	557
134	531
135	538
136	525
137	595
138	620
139	701
140	632
141	758
142	922
143	979
144	1060
145	1079
146	1362
147	1949
148	3774
149	10964
150	122398
151	146674
152	160656
153	163250
154	163426
155	163869
156	165601
157	162533
158	131118
159	116940
160	121439
161	135423
162	167078
163	204878
164	238098
165	267187
166	285248
167	278972
168	242162
169	196574
170	156885
171	144650
172	161723
173	203517
174	255908
175	306761
176	338735
177	338005
178	302363
179	248793
180	198294
181	167459
182	165350
183	189989
184	234499
185	282370
186	321177
187	335042
188	317604
189	273327
190	224619
191	189568
192	176204
193	185547
194	215010
195	248891
196	285205
197	303517
198	304641
199	272486
200	257278
201	221474
202	340619
203	276421
204	222072
205	377856
206	365389
207	319374
208	312303
209	372174
210	265813
211	232936
212	176730
213	168014
214	193942
215	336151
216	241665
217	206286
218	211226
219	189770
220	166073
221	147632
222	135349
223	130795
224	133639
225	139204
226	144995
227	148104
