## htsjdk.samtools.metrics.StringHeader
# CollectInsertSizeMetrics HISTOGRAM_FILE=analysis/qc/YAF_2_insert_size_histogram.pdf HISTOGRAM_WIDTH=1000 MINIMUM_PCT=0.5 INPUT=analysis/aligned_new/YAF_2.dedup.bam OUTPUT=analysis/qc/YAF_2_insert_size_metrics.txt    DEVIATIONS=10.0 METRIC_ACCUMULATION_LEVEL=[ALL_READS] INCLUDE_DUPLICATES=false ASSUME_SORTED=true STOP_AFTER=0 VERBOSITY=INFO QUIET=false VALIDATION_STRINGENCY=STRICT COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false USE_JDK_DEFLATER=false USE_JDK_INFLATER=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Thu Feb 06 15:58:51 CET 2025

## METRICS CLASS	picard.analysis.InsertSizeMetrics
MEDIAN_INSERT_SIZE	MODE_INSERT_SIZE	MEDIAN_ABSOLUTE_DEVIATION	MIN_INSERT_SIZE	MAX_INSERT_SIZE	MEAN_INSERT_SIZE	STANDARD_DEVIATION	READ_PAIRS	PAIR_ORIENTATION	WIDTH_OF_10_PERCENT	WIDTH_OF_20_PERCENT	WIDTH_OF_30_PERCENT	WIDTH_OF_40_PERCENT	WIDTH_OF_50_PERCENT	WIDTH_OF_60_PERCENT	WIDTH_OF_70_PERCENT	WIDTH_OF_80_PERCENT	WIDTH_OF_90_PERCENT	WIDTH_OF_95_PERCENT	WIDTH_OF_99_PERCENT	SAMPLE	LIBRARY	READ_GROUP
202	202	21	29	1107	219.074219	76.024678	36625661	FR	5	9	19	29	43	59	75	95	195	357	713			

## HISTOGRAM	java.lang.Integer
insert_size	All_Reads.fr_count
29	1
30	1
31	2
33	2
34	2
35	5
36	8
37	6
38	7
39	40
40	75
41	119
42	223
43	260
44	233
45	194
46	137
47	107
48	126
49	135
50	249
51	391
52	610
53	847
54	847
55	683
56	477
57	337
58	276
59	277
60	359
61	520
62	734
63	1026
64	1061
65	1005
66	812
67	604
68	486
69	453
70	472
71	571
72	666
73	889
74	1057
75	1103
76	1016
77	876
78	805
79	592
80	551
81	686
82	708
83	877
84	1026
85	1133
86	1095
87	1142
88	959
89	889
90	884
91	849
92	869
93	970
94	1112
95	1157
96	1291
97	1346
98	1268
99	1203
100	1195
101	1112
102	1172
103	1290
104	1327
105	1545
106	1606
107	1697
108	1663
109	1628
110	1535
111	1526
112	1514
113	1517
114	1572
115	1678
116	1805
117	1884
118	1935
119	1934
120	1943
121	1778
122	1670
123	1651
124	1621
125	1687
126	1846
127	1841
128	1914
129	1977
130	1926
131	1946
132	1908
133	1812
134	1701
135	1793
136	1699
137	1793
138	1908
139	1988
140	1992
141	2058
142	2122
143	2377
144	2539
145	2610
146	3310
147	4576
148	9081
149	26634
150	291161
151	260121
152	289774
153	303536
154	310982
155	309488
156	306777
157	294068
158	211788
159	192490
160	216265
161	230052
162	260341
163	308003
164	345493
165	381657
166	397940
167	388196
168	352260
169	299255
170	248993
171	227791
172	236800
173	276928
174	329090
175	381928
176	412377
177	413467
178	381474
179	333266
180	280530
181	245501
182	233884
183	253482
184	289066
185	332761
186	367445
187	386206
188	365353
189	337846
190	300011
191	263658
192	251740
193	259675
194	300344
195	291941
196	351648
197	341667
198	784455
199	429290
200	807684
201	480971
202	2385524
203	627213
204	369084
205	935660
206	597184
207	389104
208	435667
209	942074
210	320636
211	343203
212	191214
213	176330
214	283585
215	1117322
216	278378
217	342120
218	251110
219	215415
220	165083
221	146763
222	133597
223	130433
224	131314
225	137428
226	142142
227	144359
228	142135
229	135054
230	125395
231	116256
232	110373
233	108620
234	111964
235	118140
236	120047
237	117422
238	111502
239	104051
240	96849
241	89819
242	85568
243	85389
244	91801
245	103155
246	112157
247	109684
248	96040
249	82838
250	74636
251	69214
252	64929
253	63954
254	64815
255	70434
256	76000
257	78949
258	70584
259	61424
260	55165
261	50693
262	47643
263	45452
264	43855
265	42898
266	43148
267	42545
268	42300
269	41259
270	39146
271	37196
272	35944
273	34803
274	33431
275	32925
276	32837
277	32528
278	32415
279	31482
280	30842
281	29682
282	28332
283	27423
284	26869
285	26449
286	26335
287	26651
288	26608
289	26471
290	25814
291	25017
292	23705
293	23044
294	22265
295	22184
296	22293
297	22730
298	22973
299	23664
300	23363
301	23263
302	21927
303	20755
304	19925
305	19617
306	19929
307	20512
308	21445
309	22024
310	22367
311	22447
312	21804
313	20521
314	19330
315	18781
316	18802
317	19453
318	20381
319	21633
320	22444
321	22879
322	22239
323	21408
324	20265
325	19306
326	19285
327	19465
328	20372
329	21891
330	23229
331	23704
332	23546
333	23173
334	21566
335	20663
336	20194
337	20513
338	21243
339	22699
340	23729
341	24627
342	24729
343	23896
344	22819
345	21913
346	21497
347	21502
348	21850
349	22838
350	24124
351	24758
352	25012
353	24596
354	23733
355	22937
356	22143
357	21983
358	22348
359	22709
360	23787
361	24534
362	24825
363	23994
364	23581
365	22955
366	21922
367	22455
368	22483
369	23075
370	23294
371	23490
372	23539
373	23284
374	22701
375	21809
376	21673
377	21289
378	21269
379	21642
380	21981
381	22145
382	21972
383	21632
384	21390
385	20620
386	20153
387	19737
388	19599
389	19890
390	20038
391	20346
392	20190
393	19688
394	19317
395	18679
396	18271
397	17686
398	17865
399	18286
400	17617
401	17680
402	17872
403	17191
404	17036
405	16706
406	16197
407	15580
408	15765
409	15644
410	15361
411	15166
412	15383
413	15046
414	14470
415	14156
416	13854
417	13381
418	13156
419	13035
420	12911
421	12700
422	12609
423	12349
424	12197
425	11889
426	11205
427	11170
428	10728
429	10784
430	10640
431	10460
432	10509
433	10245
434	9923
435	9684
436	9527
437	9117
438	9157
439	8814
440	8897
441	8502
442	8650
443	8365
444	8149
445	7968
446	7771
447	7458
448	7595
449	7206
450	7132
451	7127
452	6777
453	6789
454	6707
455	6406
456	6251
457	6334
458	5996
459	5992
