,C1,C2,C3,GFP1,GFP2,GFP3,YAF1,YAF2,YAF3
ENSG00000186891.14,4,2,2,4,0,2,17,21,18
ENSG00000186827.12,6,6,7,14,12,9,25,39,8
ENSG00000078808.20,12331,11644,7699,7909,8202,5864,14232,14805,8255
ENSG00000176022.7,2226,2210,1341,1318,1273,983,2201,1888,1669
ENSG00000184163.3,32,45,55,49,34,35,38,62,56
ENSG00000260179.1,44,22,25,28,24,16,40,55,26
ENSG00000160087.21,3300,2860,1859,2680,2827,1903,3435,3320,2340
ENSG00000230415.1,73,77,57,75,22,48,166,136,94
ENSG00000162572.21,407,420,270,302,185,279,861,994,403
ENSG00000131584.19,3963,3698,2627,2716,1713,2133,3793,4064,2509
ENSG00000278073.1,0,0,0,0,0,1,0,0,0
ENSG00000169972.13,738,750,475,602,644,448,992,1013,912
ENSG00000127054.22,4218,4105,2628,3235,3183,2299,4543,5073,2339
ENSG00000283712.1,0,0,0,0,0,0,1,0,0
ENSG00000240731.1,298,200,164,140,107,109,235,307,149
ENSG00000224051.7,1484,1578,996,1258,1563,823,2011,2036,1226
ENSG00000169962.5,182,152,97,125,120,97,322,326,150
ENSG00000107404.21,3780,3597,2311,2555,2879,1943,4687,4497,2648
ENSG00000284372.1,0,0,0,0,0,0,0,0,0
ENSG00000162576.17,334,297,205,163,63,140,677,878,396
ENSG00000175756.14,2650,2890,1769,2175,2500,1514,3384,3411,2831
ENSG00000223663.2,15,13,7,6,2,11,13,8,2
ENSG00000221978.13,10965,8864,6449,6554,3163,5196,7943,8900,4551
ENSG00000224870.9,842,740,499,614,439,461,739,921,417
ENSG00000242485.6,2201,1955,1352,1512,1570,1103,2108,1975,2103
ENSG00000264293.2,0,0,0,0,0,0,0,0,0
ENSG00000272455.1,194,151,105,118,94,112,170,161,178
ENSG00000235098.9,8,3,10,2,4,1,14,7,13
ENSG00000225905.1,0,0,0,0,0,0,0,4,0
ENSG00000205116.4,4,2,2,0,2,4,23,15,39
ENSG00000225285.1,7,0,1,1,1,0,13,15,12
ENSG00000179403.12,261,238,156,168,96,104,1500,1497,1047
ENSG00000215915.10,24,21,12,16,21,6,79,56,35
ENSG00000160072.20,1275,1362,689,1103,1413,951,1669,1865,1165
ENSG00000290916.1,3,1,2,5,2,1,10,10,0
ENSG00000284740.3,0,0,0,0,0,0,0,0,0
ENSG00000197785.14,2054,1990,1299,1653,2414,1298,2700,2995,1900
ENSG00000205090.9,137,128,75,102,101,97,174,160,90
ENSG00000160075.12,7250,5890,4125,4626,5029,3516,7153,6711,3421
ENSG00000215014.5,105,72,40,36,37,33,55,94,45
ENSG00000274481.1,0,0,0,4,0,0,0,1,2
ENSG00000228594.4,2,0,0,0,0,0,0,0,0
ENSG00000286989.1,1,0,2,0,0,0,0,4,0
ENSG00000272106.1,350,253,198,187,111,102,201,237,120
ENSG00000197530.13,3124,3064,2120,2026,1603,1536,3164,3209,2754
ENSG00000189409.14,4,22,17,13,5,6,24,33,9
ENSG00000248333.9,2114,1711,1124,1423,1324,1013,2286,2580,1016
ENSG00000272004.1,4,11,2,6,7,5,15,23,13
ENSG00000189339.12,10013,8102,5795,5338,3574,3991,5790,6061,4184
ENSG00000269737.2,644,478,362,378,265,287,489,481,270
ENSG00000215914.4,7,2,4,4,2,6,3,9,3
ENSG00000008128.23,80,60,54,54,47,47,83,131,68
ENSG00000268575.1,882,666,551,468,277,296,698,655,295
ENSG00000227775.3,24,25,28,26,20,17,52,70,25
ENSG00000290854.1,772,652,479,441,269,321,544,566,310
ENSG00000215790.9,0,0,0,0,0,0,0,0,0
ENSG00000008130.15,5380,4477,3199,3434,3390,2655,4642,4425,2492
ENSG00000078369.19,36472,28087,19181,21325,22716,15669,26027,24802,11398
ENSG00000231050.3,36,33,22,30,20,17,56,70,39
ENSG00000169885.10,9,7,6,2,3,1,12,26,11
ENSG00000178821.13,1,1,0,0,0,0,6,1,0
ENSG00000142609.20,1,0,0,1,6,0,48,37,13
ENSG00000233542.2,4,2,2,0,0,2,6,4,6
ENSG00000187730.9,0,0,0,0,0,1,14,14,8
ENSG00000226969.1,0,1,0,0,0,0,0,0,0
ENSG00000067606.17,186,133,133,112,172,92,202,211,96
ENSG00000271806.1,20,27,19,3,20,2,19,26,8
ENSG00000182873.5,81,47,36,64,54,46,146,124,30
ENSG00000162585.17,2367,2391,1589,1615,1632,1240,2046,2225,1768
ENSG00000234396.3,18,6,12,5,6,1,15,19,5
ENSG00000157933.11,9429,7485,4838,5127,5097,3904,8675,8582,3059
ENSG00000287356.1,56,47,45,54,34,16,145,157,69
ENSG00000116151.14,337,277,209,198,173,152,412,484,193
ENSG00000272161.1,4,1,0,0,0,0,4,2,4
ENSG00000269896.2,94,90,57,62,40,53,99,152,37
ENSG00000272420.1,24,16,17,20,3,11,39,22,11
ENSG00000157916.20,7481,5522,4181,4320,4127,3233,7051,7078,3555
ENSG00000157911.11,1357,1255,836,906,731,664,1189,1189,841
ENSG00000149527.18,14,14,14,20,16,18,86,171,54
ENSG00000224387.1,0,0,0,0,0,0,5,8,0
ENSG00000229393.1,0,0,0,0,2,0,3,4,0
ENSG00000157881.16,1606,1361,852,1063,930,771,1316,1449,749
ENSG00000197921.6,6,12,3,22,22,10,16,8,2
ENSG00000272449.3,25,29,15,20,14,18,43,40,35
ENSG00000238164.6,22,24,7,24,25,6,105,58,40
ENSG00000157873.18,227,230,109,151,112,91,347,332,194
ENSG00000225931.3,2,3,0,7,5,0,5,10,2
ENSG00000228037.1,23,15,12,10,11,10,11,21,3
ENSG00000289610.2,14,10,16,17,13,6,16,15,0
ENSG00000157870.17,1433,1407,859,847,888,653,1716,1745,1325
ENSG00000142606.16,1,0,8,6,2,6,23,49,18
ENSG00000237058.1,5,7,5,4,3,8,11,10,0
ENSG00000215912.13,297,210,143,148,114,116,270,298,98
ENSG00000285945.1,0,0,0,0,0,0,0,0,0
ENSG00000283259.1,0,0,0,0,0,0,0,0,0
ENSG00000233234.1,0,0,0,0,0,0,0,0,0
ENSG00000287396.1,0,0,0,17,3,0,7,12,3
ENSG00000231630.1,0,0,0,2,2,0,3,0,0
ENSG00000284745.1,0,0,0,0,0,0,0,0,0
ENSG00000169717.7,0,0,0,0,0,0,0,2,0
ENSG00000177133.14,303,297,170,177,138,132,150,130,102
ENSG00000142611.17,3277,2597,1769,1684,1524,1368,1029,1218,425
ENSG00000283572.1,29,24,21,8,19,12,9,12,0
ENSG00000226286.1,40,37,24,37,28,32,34,36,22
ENSG00000279839.1,235,141,91,114,144,82,95,111,54
ENSG00000272235.1,536,391,302,273,338,273,261,332,109
ENSG00000287828.1,164,147,92,127,195,124,135,108,66
ENSG00000286518.1,183,136,96,72,85,75,70,96,25
ENSG00000130762.15,69,59,61,99,118,67,1472,1664,876
ENSG00000272088.1,0,5,4,4,2,1,86,72,24
ENSG00000162591.17,1726,1504,893,939,939,679,9836,11540,7413
ENSG00000207776.1,0,1,0,0,0,1,11,17,0
ENSG00000238260.3,20,23,30,13,9,8,16,37,14
ENSG00000158109.15,1592,1209,796,886,768,591,2053,1958,742
ENSG00000116213.16,1341,1140,797,814,880,633,1446,1549,731
ENSG00000078900.15,627,619,389,484,513,340,1368,1466,601
ENSG00000227589.1,18,5,29,7,6,12,25,47,16
ENSG00000235131.1,14,12,11,7,5,10,43,40,14
ENSG00000227372.12,1857,1704,1133,1279,1518,1075,1324,1545,891
ENSG00000276189.1,0,0,0,0,0,0,0,0,0
ENSG00000162592.10,7,3,2,5,7,3,16,12,0
ENSG00000235169.11,10,7,10,2,11,5,11,28,11
ENSG00000130764.10,4213,3734,2510,2779,3363,2250,3837,3943,2872
ENSG00000266075.2,22,11,4,11,10,20,15,17,7
ENSG00000272153.1,84,82,44,40,43,48,75,87,34
ENSG00000116198.14,4644,3656,2419,3086,2759,2143,3971,3859,2005
ENSG00000169598.17,501,464,326,326,393,262,562,571,306
ENSG00000198912.12,1949,1564,1089,1174,1593,1023,2147,2025,1144
ENSG00000236423.8,194,140,126,118,182,96,571,701,325
ENSG00000233304.7,0,0,0,4,0,0,3,3,0
ENSG00000226374.3,0,0,0,0,0,0,0,1,2
ENSG00000284668.2,0,2,2,4,8,3,2,8,5
ENSG00000284703.1,7,0,0,4,6,5,6,10,2
ENSG00000229280.1,0,0,0,0,0,0,0,0,0
ENSG00000235054.4,14,10,6,2,15,4,8,2,8
ENSG00000284694.1,0,0,0,0,0,0,2,0,0
ENSG00000227169.2,0,0,0,0,0,0,0,0,0
ENSG00000232596.3,0,0,0,0,0,0,0,0,0
ENSG00000196581.11,212,142,121,106,87,66,413,274,163
ENSG00000287586.1,12,13,16,12,11,13,72,95,32
ENSG00000284739.1,0,0,0,0,0,0,0,0,0
ENSG00000284674.1,0,0,0,0,0,0,0,0,0
ENSG00000231510.1,0,0,0,0,0,0,0,0,0
ENSG00000284616.1,0,0,0,0,0,2,0,0,0
ENSG00000284692.2,35,12,14,9,0,14,6,4,4
ENSG00000284666.1,3,0,0,0,0,2,4,2,0
ENSG00000260972.1,8,3,6,2,1,6,4,0,0
ENSG00000283356.1,0,0,0,0,0,0,0,0,0
ENSG00000236948.2,0,0,0,0,0,0,0,0,0
ENSG00000264341.1,0,0,0,0,0,0,0,0,0
ENSG00000289893.1,4,0,6,0,0,0,0,2,2
ENSG00000264101.1,2,2,5,1,1,11,1,1,5
ENSG00000131697.18,1451,1235,908,1027,1119,770,1716,1695,850
ENSG00000069424.16,1346,1124,838,733,617,578,1568,1499,732
ENSG00000116254.18,23,31,33,17,26,17,82,122,44
ENSG00000285629.1,9,4,1,2,0,0,4,2,3
ENSG00000116251.11,2738,2113,1456,1550,1275,1118,1869,1882,1109
ENSG00000226944.1,2,2,0,0,2,0,0,0,0
ENSG00000158286.13,156,133,69,78,116,86,191,239,95
ENSG00000116237.16,9415,7187,5037,4880,5911,3868,7873,7646,3349
ENSG00000225077.3,42,35,13,21,38,33,52,42,48
ENSG00000173673.9,0,2,0,0,2,0,3,3,0
ENSG00000158292.7,604,500,388,402,302,252,1836,1773,1079
ENSG00000097021.21,5164,4700,3083,3575,5037,2670,6574,6105,4162
ENSG00000271746.1,40,18,12,18,20,10,34,25,18
ENSG00000069812.11,6,10,13,15,8,10,85,72,33
ENSG00000187017.18,17,19,12,22,21,9,138,168,108
ENSG00000265392.1,1,0,0,0,0,0,1,0,0
ENSG00000231868.1,0,0,0,0,0,0,5,4,1
ENSG00000215788.11,1155,960,706,675,353,457,1340,1648,899
ENSG00000171680.23,3598,3015,2451,2209,1411,1664,4784,5336,2520
ENSG00000162408.11,5832,4488,3061,3906,3941,3022,5999,5722,2619
ENSG00000253022.1,16,26,25,18,19,20,18,31,18
ENSG00000229519.2,138,117,61,101,64,72,138,151,82
ENSG00000173662.21,6,14,13,8,15,13,21,30,13
ENSG00000204859.13,1033,954,672,1165,1113,820,1219,1324,775
ENSG00000162413.17,8043,7382,4752,4733,5234,3614,6593,7072,4343
ENSG00000116273.6,2312,1692,1297,1358,1470,1171,2077,2134,1328
ENSG00000041988.16,887,689,508,826,1038,621,781,717,529
ENSG00000007923.17,2508,1890,1398,1459,1879,1233,2976,3118,1281
ENSG00000228750.7,0,0,0,0,0,0,0,0,0
ENSG00000284744.1,0,0,0,2,0,0,0,1,0
ENSG00000237436.1,19,30,12,16,28,17,24,28,18
ENSG00000171735.20,2453,1683,1263,1353,1444,1105,2187,2033,1139
ENSG00000227950.1,57,15,25,47,36,22,36,47,18
ENSG00000237365.1,2,5,0,4,0,1,2,3,1
ENSG00000207056.1,1,0,0,0,1,0,1,0,0
ENSG00000237402.1,0,3,0,7,4,2,7,4,0
ENSG00000237728.2,10,8,5,8,7,4,6,11,2
ENSG00000225126.1,0,2,1,6,4,0,6,1,3
ENSG00000270171.1,2,4,0,4,0,2,6,27,3
ENSG00000270035.1,4,4,6,0,0,0,10,18,8
ENSG00000269978.1,5,6,3,3,5,3,7,14,5
ENSG00000049245.13,6126,4812,3228,3226,3169,2282,4426,3802,2178
ENSG00000269925.1,74,39,35,23,24,28,45,34,32
ENSG00000049246.15,4083,2838,2367,2814,1922,2247,4388,4200,1838
ENSG00000236266.1,78,58,43,68,33,50,96,114,50
ENSG00000049247.14,35,8,5,3,9,2,22,19,4
ENSG00000049249.10,152,106,99,219,402,204,2111,1885,958
ENSG00000270330.1,0,0,0,0,0,0,3,0,0
ENSG00000116288.13,9456,7440,5046,5437,5383,4446,10434,10176,6002
ENSG00000200344.1,11,28,16,14,15,6,19,14,14
ENSG00000284747.1,224,159,103,77,190,127,450,473,180
ENSG00000284716.1,31,16,13,8,16,8,32,42,21
ENSG00000116285.13,6346,4566,3407,4313,4545,3441,12934,12094,4900
ENSG00000238290.1,38,31,8,10,7,2,38,47,8
ENSG00000232848.1,0,0,2,0,1,0,2,8,3
ENSG00000229305.1,3,0,1,3,4,0,14,9,3
ENSG00000288816.1,0,0,0,1,2,0,6,6,8
ENSG00000227634.3,6,3,1,1,1,1,20,17,6
ENSG00000200975.1,0,0,0,0,0,0,2,3,3
ENSG00000233645.1,0,0,0,0,0,0,10,8,0
ENSG00000251977.1,0,0,0,0,0,0,0,0,0
ENSG00000162426.16,425,266,227,188,168,149,756,756,296
ENSG00000252254.1,3,5,0,4,1,3,16,13,3
ENSG00000142599.20,12285,9332,6497,7776,7523,5547,7608,8333,2491
ENSG00000232912.6,128,84,70,61,69,44,82,71,18
ENSG00000221083.1,15,9,8,6,4,9,12,18,1
ENSG00000270282.1,26,24,14,16,23,20,17,18,17
ENSG00000234619.1,36,27,24,21,15,18,59,57,21
ENSG00000224315.2,80,61,57,43,36,38,68,72,38
ENSG00000222511.2,31,33,21,13,30,13,35,51,5
ENSG00000226545.1,60,37,52,61,43,20,94,83,33
ENSG00000228423.2,58,58,39,36,35,28,61,74,46
ENSG00000229716.2,2,1,0,1,0,1,9,5,2
ENSG00000074800.16,193804,148041,105438,104052,97787,82116,194471,201763,76539
ENSG00000274258.1,33,17,22,10,16,12,19,29,31
ENSG00000230679.1,137,98,76,58,88,61,216,195,163
ENSG00000201725.1,10,0,2,0,0,0,20,11,1
ENSG00000238249.2,20,17,13,10,4,12,43,40,17
ENSG00000232208.2,0,0,0,0,2,0,0,0,0
ENSG00000232663.2,0,0,0,0,0,0,0,2,0
ENSG00000131686.15,26,31,14,12,0,13,4,2,5
ENSG00000290109.1,0,0,0,0,0,0,0,0,0
ENSG00000265141.2,0,0,0,0,0,0,0,0,1
ENSG00000197241.4,0,0,0,2,0,0,0,0,0
ENSG00000142583.18,143,89,71,53,6,38,166,137,42
ENSG00000252404.1,1,2,0,1,0,1,2,3,0
ENSG00000180758.12,754,618,505,403,434,338,1117,1163,779
ENSG00000228526.8,98,75,72,97,45,51,484,660,364
ENSG00000284357.1,0,0,0,0,0,0,0,0,0
ENSG00000289914.1,25,5,5,10,18,4,74,73,56
ENSG00000234546.5,8,9,4,13,10,5,103,100,50
ENSG00000049239.13,9742,7180,5808,4428,2149,3065,7130,7250,3625
ENSG00000171621.14,879,691,463,662,1138,443,3926,3781,1584
ENSG00000284652.1,12,6,4,9,4,6,24,38,10
ENSG00000284693.2,66,27,43,52,34,22,83,117,46
ENSG00000252956.1,0,0,0,0,0,0,0,1,0
ENSG00000235263.1,0,0,0,0,0,0,0,0,2
ENSG00000171612.7,1420,1053,746,830,933,667,1181,962,739
ENSG00000231181.1,62,48,41,53,32,30,57,92,24
ENSG00000188807.13,3043,2874,1873,2079,2668,1555,3988,4192,2127
ENSG00000171608.18,2042,1363,1080,1424,1680,1149,2670,2905,1208
ENSG00000179840.5,0,0,0,0,0,0,6,8,4
ENSG00000233268.3,0,0,0,0,0,0,3,2,2
ENSG00000231789.4,91,43,56,46,34,34,92,54,26
ENSG00000171603.18,27881,22307,15221,14469,14289,10198,22477,23272,10306
ENSG00000271264.1,18,31,14,22,8,9,19,17,4
ENSG00000280113.2,6,2,3,12,10,5,11,15,2
ENSG00000178585.15,1161,1031,743,638,532,496,1878,1600,1170
ENSG00000223989.1,0,0,0,0,0,0,0,0,0
ENSG00000285701.1,107,34,52,47,51,33,156,173,72
ENSG00000162441.12,3438,2819,1866,1984,1851,1495,3319,2997,2035
ENSG00000228150.1,93,74,68,36,54,50,87,84,46
ENSG00000173614.14,631,438,333,386,340,322,699,701,391
ENSG00000202415.1,104,57,52,34,40,42,60,96,27
ENSG00000283611.2,108,80,48,66,49,49,118,95,40
ENSG00000265521.1,25,26,16,18,15,14,24,24,8
ENSG00000241326.1,0,0,0,0,0,0,0,0,0
ENSG00000162444.12,2,0,0,0,2,2,6,2,0
ENSG00000130939.20,9887,7203,5239,5227,4108,3914,7534,7187,3149
ENSG00000224340.1,40,26,27,21,10,15,39,38,11
ENSG00000233623.2,59,34,22,15,17,16,42,51,19
ENSG00000201746.1,12,15,15,13,13,4,25,18,12
ENSG00000054523.20,18473,13689,10460,10914,8480,8585,12626,12541,5852
ENSG00000264881.1,4,0,2,2,4,2,3,4,4
ENSG00000199562.1,41,17,27,16,6,23,31,16,3
ENSG00000264501.2,0,0,0,0,0,0,0,0,0
ENSG00000284735.1,193,153,142,110,61,100,181,260,135
ENSG00000284642.1,112,65,89,82,47,40,103,140,78
ENSG00000142657.21,11252,9013,6117,6306,6029,4537,8892,8600,4126
ENSG00000271989.1,10,6,4,3,1,0,4,7,3
ENSG00000251503.8,147,161,76,138,130,85,183,209,241
ENSG00000175279.22,37,31,21,16,27,24,36,41,14
ENSG00000241563.4,21,16,19,21,8,16,26,33,12
ENSG00000160049.12,4741,3673,2541,2870,3072,2191,5045,4970,2878
ENSG00000203469.2,0,0,0,0,0,0,0,0,0
ENSG00000142655.13,1628,1308,936,1306,1503,871,1634,1743,977
ENSG00000287727.1,184,183,126,128,106,102,179,198,110
ENSG00000243267.3,35,26,20,13,20,7,17,25,8
ENSG00000130940.15,318,213,163,211,335,172,638,619,291
ENSG00000272078.1,50,50,24,48,47,46,138,115,55
ENSG00000225158.2,0,0,0,0,0,0,3,0,0
ENSG00000175262.15,14,4,2,2,2,2,21,23,11
ENSG00000215785.2,0,1,0,0,0,4,0,4,0
ENSG00000120948.19,10853,7855,5767,6432,5737,4843,8770,8097,4713
ENSG00000009724.18,838,481,330,453,251,359,551,469,186
ENSG00000116649.10,4336,4039,2325,2844,4440,2234,5467,5370,2681
ENSG00000171824.14,4531,3500,2284,3189,3824,2511,4935,4764,1721
ENSG00000226849.1,266,239,170,183,147,153,295,293,136
ENSG00000230337.3,21,28,13,15,25,22,32,40,21
ENSG00000198793.14,11854,8909,6554,7364,7263,5510,11179,11330,4736
ENSG00000225602.5,36,49,22,30,34,39,47,63,22
ENSG00000253086.1,16,16,10,13,6,9,20,18,4
ENSG00000171819.5,275,177,148,140,159,125,203,284,134
ENSG00000207451.1,11,8,7,13,9,4,8,7,21
ENSG00000238173.1,15,19,7,6,6,6,15,19,4
ENSG00000120942.14,1335,1248,780,1062,1174,845,1607,1528,778
ENSG00000238199.1,56,10,18,24,23,23,34,40,8
ENSG00000284646.1,0,1,0,4,0,1,4,3,0
ENSG00000224338.2,0,0,0,0,0,0,0,0,0
ENSG00000204624.8,5,7,7,3,8,2,65,73,33
ENSG00000285833.1,0,0,0,0,0,0,0,0,0
ENSG00000235643.2,2,0,2,0,2,0,0,6,4
ENSG00000284708.1,5,0,0,0,0,0,42,34,17
ENSG00000116661.11,39,18,19,12,24,14,947,875,787
ENSG00000132879.14,1471,1243,946,990,744,729,2622,2735,1460
ENSG00000116670.16,1722,1530,960,1332,1896,1047,3073,2675,1675
ENSG00000116663.11,143,120,69,81,101,50,206,221,104
ENSG00000162490.7,244,176,147,113,89,104,449,465,193
ENSG00000177674.16,804,735,430,568,1009,451,1778,1654,819
ENSG00000215910.8,5,2,2,1,0,1,11,9,6
ENSG00000177553.6,0,0,2,0,0,1,1,3,0
ENSG00000177000.13,1372,1136,852,1031,924,790,1602,1931,840
ENSG00000011021.23,2648,1945,1446,2189,1954,1732,2255,2364,852
ENSG00000276470.1,12,27,3,9,6,14,13,14,1
ENSG00000278852.1,6,5,6,8,5,2,11,3,2
ENSG00000175206.11,48,23,16,18,29,15,25,41,9
ENSG00000275915.1,0,0,0,0,0,0,0,0,0
ENSG00000120937.9,0,0,0,0,2,0,65,65,20
ENSG00000224904.1,2,2,0,4,0,0,0,0,0
ENSG00000285646.2,143,86,60,59,90,52,131,92,29
ENSG00000199347.1,0,0,0,0,0,0,0,0,0
ENSG00000201801.1,38,21,14,22,32,17,44,29,13
ENSG00000116685.16,6391,5912,3700,3969,5009,2865,5901,5551,3496
ENSG00000083444.17,36014,26910,20019,18474,19246,13650,28335,29095,10645
ENSG00000287384.1,62,54,30,41,41,31,58,63,32
ENSG00000116688.18,9731,7985,5514,6682,7627,4905,9701,9606,4681
ENSG00000270914.1,3,0,0,0,3,0,0,1,0
ENSG00000116691.11,724,708,462,741,939,589,1086,950,836
ENSG00000202461.1,36,45,25,32,36,12,38,35,18
ENSG00000276869.1,0,0,0,0,0,0,1,0,0
ENSG00000243539.3,0,2,0,0,0,0,0,2,2
ENSG00000120949.15,22,16,1,3,6,4,59,83,55
ENSG00000201135.1,0,0,0,0,0,0,0,0,0
ENSG00000227875.2,0,0,0,0,0,0,0,0,0
ENSG00000285604.1,0,0,2,0,0,0,0,1,0
ENSG00000283789.1,0,0,0,0,0,0,0,0,0
ENSG00000028137.19,15,8,10,19,19,14,653,722,303
ENSG00000263676.1,0,0,0,0,0,0,0,0,0
ENSG00000225196.2,0,0,0,0,0,0,0,0,0
ENSG00000252969.1,0,0,0,0,0,0,0,0,0
ENSG00000048707.15,20456,14648,11216,10622,8627,8190,10022,10473,4777
ENSG00000239149.1,60,76,57,39,44,40,35,51,7
ENSG00000229484.3,101,85,48,59,24,60,40,40,32
ENSG00000162496.9,20977,16115,11382,10909,7980,8219,4189,3981,1658
ENSG00000221340.1,101,75,45,43,14,25,25,24,4
ENSG00000276830.1,28,27,23,14,5,21,5,4,4
ENSG00000288927.2,1677,1146,801,967,578,604,334,444,127
ENSG00000272482.2,521,414,332,294,191,220,137,151,61
ENSG00000204518.3,0,2,2,0,0,0,2,0,1
ENSG00000226166.2,0,0,0,0,1,0,0,0,0
ENSG00000188984.12,2,0,0,4,0,0,0,0,0
ENSG00000157330.10,0,0,6,7,0,4,2,2,0
