Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Human_Gene_Atlas	PrefrontalCortex	147/521	6.032280e-07	5.067116e-05	0	0	1.654060e+00	2.368774e+01	ATF2;TRIO;CTNND2;GLS;NR3C2;RGS4;SLK;CFL2;RPS6KA2;SIRPA;NRCAM;DIP2B;SOX9;PRKACB;LZTS1;RGS7;MEF2A;MBNL2;FBXW7;LIMCH1;LMO4;LMO3;MAGI2;PAQR3;PRKCA;ANK2;DNAJB14;ACSL3;ANK3;SUPT7L;DYNC1LI2;RUFY3;CRYZL1;SIK3;SPARCL1;WDFY3;TNIK;MACF1;PXK;C1ORF198;PHYHIPL;AK5;PIK3R1;DTX3;NPAS3;TMTC4;ARHGAP21;ATXN2;ATXN1;KLC2;FLRT2;CHST10;VPS8;STK38L;IP6K1;RAB11FIP2;GPM6B;TRPM3;SRPK2;CDK19;DTNA;KLHL26;NR1D2;PUM1;APPBP2;GNAQ;NMT1;PLEKHM2;TCF4;TMCC1;CALM1;CDK14;TECPR2;RERE;CNTNAP2;WDR47;MCTP1;GDI1;HTR2A;PTPRK;NR2E1;TMEM47;TRIM9;DSTYK;SIPA1L1;AKAP11;TRIM2;TRIM3;PSD3;EDIL3;ZNF365;NCOA1;ARHGEF12;TSC22D1;VPS13D;TERF1;RGMA;GAP43;DDAH1;GFOD1;MMP17;IL1RAPL1;RAPGEF2;ARHGEF4;PLCB1;SSX2IP;GAS7;RABGAP1;STAU2;COL11A1;WBP4;LRP4;AKAP6;ADD3;SSFA2;JAKMIP2;DNAJB2;FAM168A;CHN1;LRRC8B;CTNNA2;PAK3;EPS15;CAMK2G;SASH1;PAIP1;CAP2;MAP4K4;NTRK2;GABBR2;ARNT2;NLGN4X;PCDH9;MYO10;PLEKHA5;SORBS1;ATP2B1;RANBP6;HIPK2;RNF146;TJP1;MAPK10;DBNDD1;FMNL2;C12ORF29;YIPF6;TRIM37
Human_Gene_Atlas	Fetalbrain	91/325	1.065205e-04	4.473860e-03	0	0	1.626756e+00	1.488022e+01	WDR47;CSRNP2;PANK3;TRIO;UBXN2B;UBE2D2;PTPRK;SOBP;ROBO1;TTC28;TRO;TUBA1A;ZNF606;TRIM2;PAPOLG;CREB3L2;AKT3;DPYSL3;CEP170;THSD7A;KIFAP3;SYBU;DACT1;EPHA5;SH3GLB1;PARP6;MEF2C;WSB2;TUBB;LMO3;ELMOD1;MAGI2;NPY1R;SOX11;ANK2;RGMB;EML1;POU3F2;THAP2;PTBP2;ZEB2;TUBB2B;GAP43;TUBB2A;DAAM1;NAV3;RUFY3;ULK2;TNIK;ZMYND11;EPHA3;DBN1;DLX1;DLX2;FOXG1;NEDD4L;AKAP7;RBM4B;HMGCR;EFNB2;FLRT2;PTPRZ1;CNR1;NT5DC3;SCN3A;LEFTY2;SRGAP1;DYNC1I1;AASDHPPT;PAIP1;MARK1;ANKRD28;LGI1;CDK19;NLGN4X;BCL11A;KIDINS220;NR2F1;PDE4DIP;MYO16;MLLT11;NELL2;NBEA;DLG3;APC;PKIA;FABP7;TCF4;FBXL2;FAT4;FGF13
Human_Gene_Atlas	Uterus	56/201	2.320491e-03	6.497376e-02	0	0	1.609750e+00	9.764705e+00	RERGL;MOXD1;TES;BNC2;COL14A1;ZNF292;TGFB1I1;STON1;THUMPD1;ACTG2;CYR61;TTC28;EPS8;TMEM47;PPP1CB;AKAP13;SH3PXD2B;RSPRY1;CADPS2;TRPC1;PAWR;MITF;TIAM2;RAP2C;SFRP4;PALLD;CDC42EP3;ZNF516;COL4A5;C9ORF3;PDZRN3;PTGFR;SYNPO2;KLHL13;LPP;STRN3;SOCS2;PLN;BAG2;CALD1;PDGFC;FLNA;RAB11FIP2;FILIP1L;MAP4K5;PDLIM5;PDLIM7;SVIL;TCF7L2;SAMD4A;PARVA;ESR1;PBX1;KLHL20;MEIS1;FERMT2
Human_Gene_Atlas	SmoothMuscle	91/363	4.659603e-03	9.785167e-02	0	0	1.396140e+00	7.495630e+00	SRPX;MCFD2;TNFAIP6;WDR1;DOCK7;CXCL3;FGF2;RND3;CYR61;CTGF;CDH6;SGCE;GPR176;GLIPR1;ALCAM;SIPA1L1;EFEMP1;CDH2;ZMYM4;SGCB;PLS3;RIOK2;ITGAV;EDIL3;RAB2A;TGIF1;POSTN;TPM4;RIPK2;DAPK3;MYOF;FNDC3B;ARID5B;C6ORF62;ANXA10;ENAH;ADAM19;RAB32;IMPAD1;PXDN;ADAM9;BCAT1;DBN1;MTMR2;SEC23A;LAMA4;LRRC17;LYPD1;TWF1;ATP2C1;LTBP1;THBS1;SRPX2;CALD1;ARSJ;PDGFC;ABL1;CCL2;CD59;IGF2BP2;SNX7;PDLIM5;ST3GAL1;GPC6;SLC38A2;PDLIM7;SOCS5;ABCA1;WWTR1;CSNK1A1;PLK2;TPBG;ARHGAP29;PARVA;LHFPL2;SULF1;ZFHX4;DHRS3;GTF2H5;FOSL2;MARCKS;KLHL5;FAP;NFIB;NEDD4;COL5A2;PTX3;NF2;FERMT2;LRP12;ASB1
Human_Gene_Atlas	ParietalLobe	11/26	6.293719e-03	1.057345e-01	0	0	3.045717e+00	1.543631e+01	NLN;UGT8;EPHA4;ARHGAP32;GPRC5B;MBNL2;CNP;FRMPD4;MAST2;TRIM2;TMCC1
Human_Gene_Atlas	Amygdala	83/345	1.884088e-02	2.637724e-01	0	0	1.320058e+00	5.242908e+00	NCKAP1;MOXD1;WDR47;DOCK4;THRA;CTNND2;UBE2D2;SLC7A11;NR2E1;CCDC91;SIPA1L1;YWHAQ;LRRTM1;SNAPC3;ENC1;PSD3;SACS;NEFL;RAB2A;EPHA4;MAP2K4;LMO3;KCTD1;PRKCA;KCNAB1;PPM1B;TUBB2A;DNAJC6;SIK3;ARHGEF4;ZMYND11;SSX2IP;TSPYL4;VAMP2;RAPGEF4;GPM6A;BRSK1;NLGN1;CAMK2D;FOXG1;AK5;SRI;ATP2C1;ARPP19;HSPA13;GNAI1;NPAS3;PPP2CB;FAM168A;PTPRZ1;BTBD3;MAPK1;NDP;LRRC8B;RAB6A;MPDZ;GPM6B;MAP4K3;MAP2K5;CDK17;NTRK2;DTNA;NLGN4X;UBE2B;PCDH9;NDUFA5;KLHL2;PDE4DIP;ATP2B1;LRP1B;GLUD1;UFM1;GLRB;SYT11;PKIA;C12ORF29;ZNF615;TRIM36;CALM1;FGF13;RAB5A;FGF12;C5ORF30
Human_Gene_Atlas	colon	63/258	2.757208e-02	3.308649e-01	0	0	1.344858e+00	4.829322e+00	EHF;AHCYL2;GMFB;GOLIM4;WASL;ACTG2;LRRC1;NR3C2;EPS8;PPP1CB;LGALS3;RASSF3;HEPH;NNT;CASP6;ARFIP1;TMED7;MID1;TANC2;UGDH;TOX3;KCTD9;PLSCR1;PCCA;PKP2;SMPDL3A;DSC2;FH;PRKAA1;SLC35D1;SYNPO2;SLC35D2;ATP10B;BCL10;LIN7C;ADH5;SSFA2;ADAMTS15;PGRMC2;PLN;TSPAN8;MIER1;LRIG3;SOCS6;LEFTY2;SLC25A24;SVIL;CSNK1A1;DSTN;SORBS1;LARP4;NET1;MARCKS;KLF5;DLG3;MYO5B;ETNK1;SLMAP;SPAG1;MANSC1;LGR4;SERINC5;BMPR1A
Human_Gene_Atlas	WholeBlood	115/514	5.134439e-02	5.391161e-01	0	0	1.200715e+00	3.565163e+00	LPGAT1;STEAP4;FAM89B;UBXN2B;ZFAND3;UBE2D3;IFIT5;UBE2D1;RNF19B;JMJD1C;ARID4A;TMEM140;NR3C1;BACH1;IFIT2;SMCHD1;RGS2;PPP4R1;RPS6KA5;NAMPT;LAMP2;SIRPA;ARFIP1;NBN;TRIM21;RNF111;MAP2K4;MORC3;CSGALNACT2;CRNKL1;DYNC1LI1;PPP1R3D;WDFY3;FAM8A1;SKAP2;NSMAF;ZCCHC6;TRANK1;LY96;BCL10;PIK3R1;CYB5R4;ST3GAL6;MBP;NRBF2;SLC38A2;ZNF267;N4BP1;OSBPL8;STAT5B;UBE2B;MARCH7;ARHGAP26;BCL6;SELL;GNB2;TAB2;HPSE;TMCC1;FBXL5;TECPR2;PICALM;RNF13;TNFAIP6;ITGB3;PTEN;PCTP;OSBPL11;NIPBL;XPO6;CASP4;RBM7;ZNF641;ACTR3;NCOA1;KDM6B;NCOA2;CHST7;PPP1R12A;BAZ1A;PARP9;TLR1;RP2;ELF4;DPYD;CDC42EP3;IRF2;PELI1;LCP1;RGR;SOS2;STK40;IRF9;CREB5;RNASEL;ROCK1;FAM129A;HSD17B11;TANK;ZBTB40;OGFRL1;STX6;SHOC2;PAK3;GBP2;PAK2;KCNJ2;RNF146;RIT1;REST;CLEC2B;ABI1;ZNF217;PKN2;MEGF9
Human_Gene_Atlas	OccipitalLobe	11/35	6.270220e-02	5.830625e-01	0	0	1.902509e+00	5.268730e+00	RGS4;ARHGAP32;MBNL2;VSNL1;TRIM2;LANCL1;NRCAM;PRKACB;EDIL3;SSX2IP;FGF12
Human_Gene_Atlas	Spinalcord	27/105	6.941220e-02	5.830625e-01	0	0	1.437973e+00	3.836071e+00	DDR1;DYNC1I2;FAM69A;AMOT;ARHGAP12;UGT8;GJA1;EDNRB;PEA15;SPP1;GPM6B;MARCKSL1;DTNA;TRPC4;SAMD4A;PDE4DIP;S100B;QKI;RGMA;BACE1;SCCPDH;FMNL2;FEZ1;ULK2;CDK2AP1;ACSBG1;ARL8A
