"gene_id","gene_name","log2FC_expr","regulation","YAF_1","YAF_2","YAF_3","GFP_1","GFP_2","GFP_3","YAF_avg","GFP_avg","log2FC_binding"
"ENSG00000004799","PDK4",1.45351966062814,"Upregulated",20.7805360243238,23.4148183635929,19.5465485425222,24.0959826203879,17.5887238204479,27.3954839769163,21.247300976813,23.0267301392507,-0.115507623694425
"ENSG00000006062","MAP3K14",1.33769266916796,"Upregulated",23.3988672724004,40.8968003765354,39.5742527745728,31.3035808105384,23.9589479200503,36.8823220203449,34.6233068078362,30.7149502503112,0.172273884706691
"ENSG00000013588","GPRC5A",1.97567569194425,"Upregulated",19.8397568258293,30.3690537742765,32.4388631652067,15.4996183081107,10.9771162758271,19.349893135586,27.5492245884375,15.2755425731746,0.846601699946539
"ENSG00000043462","LCP2",3.00863338111831,"Upregulated",26.2884966496092,21.1999196257085,18.9289652395923,18.7230882560549,23.5158529771587,20.4815768282464,22.1391271716367,20.90683935382,0.0822410537272165
"ENSG00000066827","ZFAT",1.04445388956497,"Upregulated",12.4721372928822,12.3574689052233,12.2239838390067,9.82035580190429,15.0897186927257,8.42070157560584,12.3511966790374,11.1102586900786,0.15146483530805
"ENSG00000069702","TGFBR3",3.66390642657333,"Upregulated",15.3111841759604,9.25893447015967,8.07261614854099,8.10684864070472,11.6939042903352,6.25369747082392,10.8809115982204,8.68481680062129,0.321913721423218
"ENSG00000074416","MGLL",2.81055710992658,"Upregulated",18.7163486287125,14.8249492631899,13.6018728590248,19.868153183691,4.97397113717004,15.679229267077,15.7143902503091,13.507117862646,0.216876410951285
"ENSG00000079101","CLUL1",1.53930546390395,"Upregulated",10.3115947968081,14.636773896514,13.6629072930362,12.4684602706074,23.864389888354,16.0952559659601,12.8704253287861,17.4760353749738,-0.438383889053253
"ENSG00000087253","LPCAT2",1.05633818975783,"Upregulated",18.5912089611029,19.3233783330236,17.9799072606054,19.8874940114601,18.9546327935825,25.8464474765533,18.6314981849106,21.5628580938653,-0.209757303784119
"ENSG00000089723","OTUB2",1.42890941255554,"Upregulated",18.6835653480731,19.1988140630283,17.413154944513,22.2470515152228,19.948239072149,29.6897828330084,18.4318447852048,23.9616911401267,-0.376731539611165
"ENSG00000090776","EFNB1",2.14005225077061,"Upregulated",39.1876316992104,41.5945611689953,32.061321421153,58.6920233781117,44.9748094928892,74.7096458169921,37.6145047631196,59.458826229331,-0.659195840196863
"ENSG00000095380","NANS",1.14757320688367,"Upregulated",36.0387800421911,26.3088447568612,22.9861052446305,22.0608866289258,16.0505012401865,32.7282134536045,28.4445766812276,23.6132004409056,0.267526278571767
"ENSG00000095981","KCNK16",5.69283064648384,"Upregulated",14.1607409102737,16.9791589742987,12.8097951504343,16.6930930897133,20.4651603058907,26.1391960272422,14.6498983450023,21.0991498076154,-0.523301395049445
"ENSG00000099338","CATSPERG",1.12772374826508,"Upregulated",15.1385203089522,29.7627504431586,30.9902073426276,39.2372556175153,26.2875383868313,33.8975965939655,25.2971593649128,33.1407968661041,-0.388287824884435
"ENSG00000103888","CEMIP",1.24935241464677,"Upregulated",24.1048239034257,45.5064384820031,38.3233702898026,59.32068159932,29.363805048588,65.447796692664,35.9782108917438,51.3774277801907,-0.512812169365566
"ENSG00000105467","SYNGR4",4.51605698135957,"Upregulated",17.6740189412798,37.009932724521,41.206679639682,51.4025580168096,36.9948053595367,74.6228487742575,31.9635437684943,54.3400707168679,-0.76373505516951
"ENSG00000106351","AGFG2",2.11728620762355,"Upregulated",52.7867720265319,62.834878757184,86.7183849602415,78.5066343650625,60.3942699438179,116.523768396939,67.4466785813191,85.1415575686063,-0.335672124067094
"ENSG00000107731","UNC5B",2.38250201703976,"Upregulated",13.4768155665206,39.762151101404,29.2585176688768,64.4376397836404,41.2321506593182,67.550792880853,27.4991614456005,57.7401944412705,-1.06744796841092
"ENSG00000108370","RGS9",1.13183338217201,"Upregulated",37.4533777351423,27.7265708911522,31.4800231646924,18.7064237457183,27.1173428689085,25.2328337778166,32.2199905969956,23.6855334641478,0.442342395798588
"ENSG00000109101","FOXN1",9.55744819350976,"Upregulated",26.9147520695093,30.7116675676162,26.8526592737778,61.487857015618,45.3021436975357,63.2835725799936,28.1596929703011,56.6911910977158,-1.00692137865017
"ENSG00000110328","GALNT18",1.62792560098171,"Upregulated",17.4428625584367,21.2462038452886,16.1717248104586,21.8144906373091,19.5778347860884,33.4904190978812,18.286930404728,24.9609148404262,-0.446758430749845
"ENSG00000111817","DSE",1.59718824320502,"Upregulated",24.1492601403823,16.9143711257008,14.4515629222859,6.52041963446006,9.23644543370021,9.11919064606939,18.5050647294563,8.29201857140989,1.14860563410376
"ENSG00000115255","REEP6",2.19976413719656,"Upregulated",9.25097762118094,31.414611419984,28.1834433253218,63.1156383729996,38.8178124502691,81.0578298864157,22.9496774554956,60.9970935698948,-1.40635718918128
"ENSG00000115257","PCSK4",1.23117641147224,"Upregulated",12.4708977350752,36.5666103833864,32.0030824808847,64.729734522601,47.1778278384728,82.6156429423661,27.0135301997821,64.84106843448,-1.26011815530653
"ENSG00000117016","RIMS3",1.30294578943842,"Upregulated",25.9192155296152,23.5843183081187,18.4609552630397,35.4116203806325,21.7289952635765,33.1297107338905,22.6548297002579,30.0901087926999,-0.40790316668659
"ENSG00000122696","SLC25A51",1.00873894164405,"Upregulated",21.1089606419304,28.5415881317829,25.4821262920005,14.7639942556312,21.15828099676,15.1688449984615,25.0442250219046,17.0303734169509,0.553670487947587
"ENSG00000126353","CCR7",5.38663208939717,"Upregulated",17.124355635964,17.5767362295669,20.3246255327637,23.6561695690128,38.6178827877702,25.0467714597197,18.3419057994315,29.1069412721676,-0.66332352572822
"ENSG00000126895","AVPR2",4.49146294038318,"Upregulated",21.7017375168773,39.3546904140462,29.2215373735679,35.1215788897024,22.1997526076933,37.9467868445671,30.0926551014971,31.7560394473209,-0.0773692815683919
"ENSG00000130270","ATP8B3",1.24842845049112,"Upregulated",31.2068174555898,70.9150240588695,73.5267150632797,94.6995948787428,50.4182806868179,125.51998681854,58.5495188592463,90.2126207947004,-0.622808339209964
"ENSG00000131094","C1QL1",2.98688498692894,"Upregulated",22.0767666190124,44.6669529630783,42.9193056642753,99.954299647439,63.7993622956701,115.371721710902,36.5543417487887,93.0417945513369,-1.3454445812895
"ENSG00000133805","AMPD3",1.47249866699458,"Upregulated",21.0314046148868,24.6836907873469,23.2678187142855,29.3902603999703,16.8624024620535,26.9600796652312,22.9943047055064,24.404247509085,-0.0854947323162805
"ENSG00000134470","IL15RA",1.22711053682018,"Upregulated",12.351613626155,9.95875296872674,6.0135080232972,18.2358251179087,12.9282906374761,21.3899715117046,9.44129153939297,17.5180290890298,-0.884796068135606
"ENSG00000136111","TBC1D4",1.29089155398182,"Upregulated",15.8330165614253,9.61287197470665,11.1827847510576,12.9345902833905,8.42331968479686,14.4924534096135,12.2095577623965,11.9501211259336,0.0307312836988795
"ENSG00000138606","SHF",1.24969853961315,"Upregulated",26.9760537557304,16.8218498174651,23.1081050975782,17.6755461839575,23.1494007627447,21.1311493049617,22.3020028902579,20.652032083888,0.11037510952615
"ENSG00000139547","RDH16",1.55836087605979,"Upregulated",15.0494576749893,3.37637469462223,3.52786014590945,2.34514246295605,8.71006471933203,3.29208024572103,7.31789750517367,4.7824291426697,0.603411227089661
