"Category","Count"
"Total V5 Narrow Peaks",180
"Total V5 Broad Peaks",366
"Total H2AK119Ub Narrow Peaks",98023
"Total H2AK119Ub Broad Peaks",38277
"Narrow V5 + Narrow H2AK119Ub",16
"Narrow V5 + Broad H2AK119Ub",13
"Broad V5 + Narrow H2AK119Ub",51
"Broad V5 + Broad H2AK119Ub",45
